name,OOF_mean,OOF_recency,OOF_bias_recency_pct,OOF_folds,in_sample,gap
v10+v11_g93_tau0.55_ch08,0.3908,0.4155,-1.542,"[0.3136, 0.3835, 0.4754]",0.3568,0.034
v10_baseline_tau0.5_chABC05_brand03,0.3983,0.4222,-2.772,"[0.325, 0.3883, 0.4815]",0.3633,0.035
v10_baseline_tau0.52_chABC05_brand03,0.3982,0.4222,-2.765,"[0.325, 0.3883, 0.4814]",0.3632,0.035
v10+v11_chronos_tau0.5_chABC05_brand03,0.3983,0.4222,-2.772,"[0.325, 0.3883, 0.4815]",0.3634,0.0349
v10+v11_chronos_tau0.52_chABC05_brand03,0.3982,0.4222,-2.765,"[0.325, 0.3883, 0.4814]",0.3634,0.0348
v10_baseline_tau0.55_chABC05_brand03,0.3984,0.4223,-2.759,"[0.3254, 0.3884, 0.4813]",0.3633,0.0351
v10+v11_g90_tau0.5_chABC05_brand03,0.3991,0.4223,-2.951,"[0.3295, 0.3873, 0.4804]",0.3626,0.0365
v10+v11_g90_tau0.52_chABC05_brand03,0.3992,0.4223,-2.951,"[0.3298, 0.3874, 0.4803]",0.3626,0.0366
v10+v11_chronos_tau0.55_chABC05_brand03,0.3984,0.4223,-2.759,"[0.3254, 0.3884, 0.4813]",0.3634,0.035
v10+v11_recent_only_tau0.52_chABC05_brand03,0.3988,0.4224,-2.94,"[0.3281, 0.3867, 0.4816]",0.3628,0.036
v10+v11_recent_only_tau0.5_chABC05_brand03,0.3987,0.4224,-2.939,"[0.3277, 0.3868, 0.4817]",0.3628,0.0359
v10+v11_g90_tau0.55_chABC05_brand03,0.3993,0.4224,-2.952,"[0.3302, 0.3875, 0.4802]",0.3626,0.0367
v10+v11_recent_only_tau0.55_chABC05_brand03,0.399,0.4225,-2.945,"[0.329, 0.3867, 0.4814]",0.3628,0.0362
v10+g93+g90_tau0.52_chABC05_brand03,0.3997,0.4227,-3.016,"[0.3314, 0.387, 0.4807]",0.3625,0.0372
v10+v11_g93_tau0.52_chABC05_brand03,0.3991,0.4227,-2.86,"[0.3283, 0.3871, 0.4818]",0.363,0.0361
v10+v11_g93_tau0.5_chABC05_brand03,0.3991,0.4227,-2.858,"[0.3282, 0.3871, 0.4819]",0.363,0.0361
v10+g93+g90_tau0.5_chABC05_brand03,0.3996,0.4227,-3.013,"[0.3311, 0.387, 0.4808]",0.3625,0.0371
v10+v11_g93_tau0.55_chABC05_brand03,0.3993,0.4228,-2.865,"[0.3289, 0.3872, 0.4817]",0.363,0.0363
v10+g93+g90_tau0.55_chABC05_brand03,0.3999,0.4228,-3.019,"[0.3318, 0.3871, 0.4807]",0.3625,0.0374
v10+ro+g93_tau0.52_chABC05_brand03,0.3995,0.4228,-2.987,"[0.3304, 0.3862, 0.4818]",0.3626,0.0369
v10+ro+g93_tau0.5_chABC05_brand03,0.3993,0.4228,-2.979,"[0.3299, 0.3862, 0.4819]",0.3626,0.0367
v10+all_v11_tau0.5_chABC05_brand03,0.3998,0.4229,-3.059,"[0.3315, 0.387, 0.481]",0.3624,0.0374
v10+all_v11_tau0.52_chABC05_brand03,0.3999,0.4229,-3.07,"[0.332, 0.3869, 0.4809]",0.3624,0.0375
v10+ro+g93_tau0.55_chABC05_brand03,0.3997,0.423,-3.005,"[0.3314, 0.3861, 0.4817]",0.3626,0.0371
v10+all_v11_tau0.55_chABC05_brand03,0.4002,0.423,-3.088,"[0.3328, 0.3868, 0.4809]",0.3624,0.0378
