a,b,OOF_recency,OOF_bias_recency_pct,OOF_folds
0.225,0.025,0.4141,-0.982,"[0.323, 0.3936, 0.4628]"
0.225,0.05,0.4166,-1.08,"[0.3334, 0.3951, 0.4627]"
0.225,0.075,0.4193,-1.178,"[0.3443, 0.397, 0.4627]"
0.225,0.1,0.4223,-1.276,"[0.3557, 0.3991, 0.4629]"
0.225,0.125,0.4256,-1.374,"[0.3677, 0.4014, 0.4633]"
0.225,0.15,0.4292,-1.473,"[0.3803, 0.404, 0.4638]"
0.225,0.175,0.433,-1.571,"[0.3933, 0.407, 0.4645]"
0.225,0.2,0.4383,-1.67,"[0.4067, 0.4129, 0.4661]"
0.25,0.0,0.4116,-1.093,"[0.3152, 0.3923, 0.4618]"
0.25,0.025,0.4137,-1.191,"[0.325, 0.3935, 0.4613]"
0.25,0.05,0.4162,-1.29,"[0.3354, 0.395, 0.4612]"
0.25,0.075,0.419,-1.388,"[0.3464, 0.3969, 0.4613]"
0.25,0.1,0.422,-1.486,"[0.3579, 0.399, 0.4615]"
0.25,0.125,0.4253,-1.584,"[0.37, 0.4013, 0.4619]"
0.25,0.15,0.4289,-1.682,"[0.3826, 0.4039, 0.4624]"
0.25,0.175,0.4327,-1.781,"[0.3957, 0.4067, 0.4632]"
0.25,0.2,0.4376,-1.879,"[0.4092, 0.4121, 0.4642]"
0.275,0.0,0.4127,-1.303,"[0.3171, 0.3922, 0.4632]"
0.275,0.025,0.4147,-1.401,"[0.3271, 0.3934, 0.4626]"
0.275,0.05,0.4172,-1.499,"[0.3375, 0.395, 0.4623]"
0.275,0.075,0.4197,-1.598,"[0.3485, 0.3968, 0.462]"
0.275,0.1,0.4227,-1.696,"[0.3602, 0.399, 0.4619]"
0.275,0.125,0.4259,-1.794,"[0.3724, 0.4013, 0.462]"
0.275,0.15,0.4293,-1.892,"[0.385, 0.4039, 0.4622]"
0.275,0.175,0.4329,-1.99,"[0.3981, 0.4067, 0.4626]"
0.275,0.2,0.4374,-2.089,"[0.4117, 0.4112, 0.4633]"
0.3,0.0,0.4138,-1.512,"[0.3191, 0.3922, 0.4646]"
0.3,0.025,0.4159,-1.611,"[0.3291, 0.3934, 0.4641]"
0.3,0.05,0.4182,-1.709,"[0.3396, 0.3949, 0.4637]"
0.3,0.075,0.4209,-1.807,"[0.3507, 0.3968, 0.4635]"
0.3,0.1,0.4239,-1.905,"[0.3624, 0.399, 0.4634]"
0.3,0.125,0.427,-2.004,"[0.3747, 0.4013, 0.4634]"
0.3,0.15,0.4305,-2.102,"[0.3874, 0.404, 0.4637]"
0.3,0.175,0.4342,-2.2,"[0.4006, 0.4067, 0.4642]"
0.3,0.2,0.4383,-2.298,"[0.4142, 0.4103, 0.4648]"
0.325,0.0,0.4149,-1.722,"[0.3211, 0.3921, 0.466]"
0.325,0.025,0.417,-1.82,"[0.3312, 0.3933, 0.4655]"
0.325,0.05,0.4194,-1.918,"[0.3417, 0.3949, 0.4651]"
0.325,0.075,0.4221,-2.017,"[0.3529, 0.3968, 0.4649]"
0.325,0.1,0.425,-2.115,"[0.3647, 0.399, 0.4648]"
0.325,0.125,0.4283,-2.213,"[0.377, 0.4014, 0.4649]"
0.325,0.15,0.4318,-2.312,"[0.3899, 0.404, 0.4652]"
0.325,0.175,0.4355,-2.41,"[0.4031, 0.4068, 0.4657]"
0.325,0.2,0.4395,-2.508,"[0.4167, 0.4097, 0.4664]"
0.35,0.0,0.416,-1.932,"[0.3231, 0.3921, 0.4675]"
0.35,0.025,0.4181,-2.03,"[0.3332, 0.3933, 0.4669]"
0.35,0.05,0.4205,-2.128,"[0.3438, 0.3949, 0.4666]"
0.35,0.075,0.4233,-2.226,"[0.3551, 0.3968, 0.4664]"
0.35,0.1,0.4263,-2.325,"[0.367, 0.399, 0.4664]"
0.35,0.125,0.4295,-2.423,"[0.3794, 0.4014, 0.4665]"
0.35,0.15,0.4331,-2.521,"[0.3923, 0.404, 0.4668]"
0.35,0.175,0.4368,-2.62,"[0.4056, 0.4068, 0.4673]"
