Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн
Січень 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";14,000;6 018,48
Січень 2024;Djeco;DJ00014;"Djeco Набір для виготовлення браслетів дружби ""Веселка Куміхімо""";4,000;1 424,58
Січень 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";23,000;10 031,40
Січень 2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";6,000;2 454,78
Січень 2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";15,000;6 767,94
Січень 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";16,000;7 229,76
Січень 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";16,000;8 055,24
Січень 2024;Djeco;DJ01663;"Djeco Розвиваюча гра ""Застібки""";6,000;3 871,80
Січень 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";2,000;1 322,94
Січень 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";1,000;530,64
Січень 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";10,000;7 134,54
Січень 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";23,000;4 801,86
Січень 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";6,000;1 255,26
Січень 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";26,000;5 409,42
Січень 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";33,000;9 895,89
Січень 2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";16,000;4 758,76
Січень 2024;Djeco;DJ05101;"Djeco Гра ""Міні сім'я""";1,000;192,90
Січень 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";35,000;7 470,30
Січень 2024;Djeco;DJ05105;"Djeco Гра ""Містігрі""";2,000;282,60
Січень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";33,000;6 782,34
Січень 2024;Djeco;DJ05115;"Djeco Гра ""Щаслива сімейка""";1,000;249,30
Січень 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";45,000;8 968,86
Січень 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";22,000;4 438,39
Січень 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";30,000;6 052,56
Січень 2024;Djeco;DJ05125;"Djeco Гра ""Бата пазл""";1,000;192,90
Січень 2024;Djeco;DJ05127;"Djeco Гра ""Пітіт Кемс""";1,000;124,45
Січень 2024;Djeco;DJ05128;"Djeco Гра ""Міні природа""";3,000;504,42
Січень 2024;Djeco;DJ05133;"Djeco Гра ""Чапо магія""";3,000;358,74
Січень 2024;Djeco;DJ05135;"Djeco Гра ""RECTO VERSO""";1,000;115,02
Січень 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";24,000;5 140,62
Січень 2024;Djeco;DJ05145;"Djeco Гра ""Збери баранчиків""";51,000;10 704,24
Січень 2024;Djeco;DJ05153;"Djeco Гра ""Занімалка""";36,000;10 668,30
Січень 2024;Djeco;DJ05161;"Djeco Гра ""Сардини"" ";37,000;10 633,14
Січень 2024;Djeco;DJ05169;"Djeco Гра ""Гримаси""";19,000;5 244,48
Січень 2024;Djeco;DJ05172;"Djeco Гра ""Атлетика""";1,000;245,16
Січень 2024;Djeco;DJ05180;"Djeco Гра ""Лісові пригоди""";11,000;3 387,78
Січень 2024;Djeco;DJ05181;"Djeco Гра настільна ""Божевільні качки""";4,000;1 170,48
Січень 2024;Djeco;DJ05182;"Djeco Гра ""Geomemorix""";2,000;394,92
Січень 2024;Djeco;DJ05186;"Djeco Гра ""Мармозетки""";2,000;284,28
Січень 2024;Djeco;DJ05188;"Djeco Гра ""Зоопарк""";2,000;385,80
Січень 2024;Djeco;DJ05190;"Djeco Гра ""Сови""";5,000;714,06
Січень 2024;Djeco;DJ05193;"Djeco Гра ""Швидкі монстри""";6,000;996,84
Січень 2024;Djeco;DJ05208;"Djeco Гра настільна бродилка ""Сачки і сходи""";59,000;21 162,84
Січень 2024;Djeco;DJ05212;"Djeco Гра ""З гусені на метелика""";1,000;225,18
Січень 2024;Djeco;DJ05218;Djeco Набір класичних ігор 12в1;22,000;17 497,20
Січень 2024;Djeco;DJ05270;"Djeco Гра настільна тактика ""Морський бій""";54,000;26 462,88
Січень 2024;Djeco;DJ05640;Djeco Конструктор Zig & Go - 28 дет;4,000;3 372,90
Січень 2024;Djeco;DJ05641;Djeco Конструктор Zig & Go - 27 дет;16,000;12 589,26
Січень 2024;Djeco;DJ05642;Djeco Конструктор Zig & Go - 25 дет;13,000;9 130,20
Січень 2024;Djeco;DJ06432;"Djeco Дерев'яний конструктор ""Геонімо""";1,000;856,44
Січень 2024;Djeco;DJ06481;"Djeco Гра ""Дзеркальні картинки""";12,000;5 291,82
Січень 2024;Djeco;DJ06970;"Djeco Карткова гра ""Міні Містігрі""";18,000;3 210,57
Січень 2024;Djeco;DJ06971;"Djeco Карткова гра ""Мелі Мело""";9,000;2 026,56
Січень 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";17,000;3 774,30
Січень 2024;Djeco;DJ07901;"Djeco Набір головних прикрас з мозаїкою Зроби сам ""Принцеса""";35,000;9 372,36
Січень 2024;Djeco;DJ07906;"Djeco Набір Зроби сам ""Скринька""";33,000;11 552,34
Січень 2024;Djeco;DJ07922;"Djeco Набір Зроби сам ""Космічний калейдоскоп""";52,000;18 769,80
Січень 2024;Djeco;DJ07955;"Djeco Набір для творчості ""Кітті - дзвіночок""";24,000;7 700,40
Січень 2024;Djeco;DJ07956;"Djeco Набір для творчості ""Зоряний передзвін""";8,000;2 744,94
Січень 2024;Djeco;DJ07970;"Djeco Набір Зроби сам ""Блокнотики""";5,000;1 572,96
Січень 2024;Djeco;DJ08131;"Djeco Гра ""Маленькі друзі"" 3в1";2,000;747,12
Січень 2024;Djeco;DJ08132;"Djeco Набір настільних ігор ""Динозаври""";31,000;12 868,08
Січень 2024;Djeco;DJ08152;"Djeco Гра ""Знайди емоції""";3,000;367,38
Січень 2024;Djeco;DJ08198;"Djeco Гра настільна ""Анімо Мондо""";13,000;5 363,22
Січень 2024;Djeco;DJ08310;"Djeco Розвиваюча гра ""Спасіо""";3,000;1 748,78
Січень 2024;Djeco;DJ08356;"Djeco Настільна гра ""Палички""";2,000;842,76
Січень 2024;Djeco;DJ08358;"Djeco Гра настільна ""Quantitix""";3,000;1 298,34
Січень 2024;Djeco;DJ08400;"Djeco Настільна гра ""Tulum""";1,000;554,22
Січень 2024;Djeco;DJ08402;"Djeco Настільна гра ""Wonderzoo""";1,000;599,34
Січень 2024;Djeco;DJ08404;"Djeco Гра настільна ""Кольорові кубики""";10,000;6 012,97
Січень 2024;Djeco;DJ08417;"Djeco Гра ""Блеф пірата""";40,000;22 547,15
Січень 2024;Djeco;DJ08443;"Djeco Гра ""Pixel Tamgram""";13,000;6 570,24
Січень 2024;Djeco;DJ08451;"Djeco Настільна гра ""Поліссімо""";38,000;18 406,18
Січень 2024;Djeco;DJ08454;"Djeco Гра настільна Балансування ""Тотем зен""";3,000;1 933,56
Січень 2024;Djeco;DJ08463;"Djeco Гра головоломка ""Кразікс""";44,000;17 519,88
Січень 2024;Djeco;DJ08464;"Djeco Гра головоломка ""Вудікс""";25,000;11 765,46
Січень 2024;Djeco;DJ08477;"Djeco Настільна гра ""Кубіссімо""";39,000;19 280,64
Січень 2024;Djeco;DJ08478;"Djeco Настільна гра ""Кунаяла""";1,000;321,96
Січень 2024;Djeco;DJ08487;"Djeco Гра настільна ""Лабіринт""";4,000;1 438,44
Січень 2024;Djeco;DJ08488;"Djeco Гра настільна ""Божевільне судоку""";1,000;502,56
Січень 2024;Djeco;DJ08526;"Djeco Настільна гра ""Шкарпетковий монстр""";10,000;5 931,18
Січень 2024;Djeco;DJ08527;"Djeco Настільна гра ""Рапідо Метео""";29,000;12 610,92
Січень 2024;Djeco;DJ08533;"Djeco Гра настільна ""Маленький магазин""";52,000;25 239,90
Січень 2024;Djeco;DJ08535;"Djeco Гра ""Катуді""";13,000;6 273,90
Січень 2024;Djeco;DJ08538;"Djeco Гра ""Мемо Дінго""";32,000;11 001,66
Січень 2024;Djeco;DJ08540;"Djeco Настільна гра ""Логічний фініш""";5,000;2 391,54
Січень 2024;Djeco;DJ08542;"Djeco Гра настільна ""Знайди пропажу""";29,000;10 123,02
Січень 2024;Djeco;DJ08550;"Djeco Настільна гра ""Маленька доріжка""";60,000;25 101,78
Січень 2024;Djeco;DJ08557;"Djeco Настільна гра балансир ""Пірамідки""";38,000;18 824,23
Січень 2024;Djeco;DJ08570;"Djeco Гра ""Логіка підземелля""";13,000;5 832,42
Січень 2024;Djeco;DJ08571;"Djeco Гра ""Пожежники""";26,000;11 157,36
Січень 2024;Djeco;DJ08577;"Djeco Настільна гра ""Паніка в джунглях""";5,000;2 180,70
Січень 2024;Djeco;DJ08597;"Djeco Гра ""Космічний кіт""";14,000;6 612,18
Січень 2024;Djeco;DJ08630;"Djeco Художній комплект малювання кольоровим піском ""Панда та його друзі""";3,000;1 062,54
Січень 2024;Djeco;DJ08633;"Djeco Художній комплект малювання кольоровим піском ""Тотемні тварини""";4,000;1 738,92
Січень 2024;Djeco;DJ08660;"Djeco Художній комплект малювання кольоровим піском ""Прогулянка""";1,000;142,14
Січень 2024;Djeco;DJ08661;"Djeco Художній комплект малювання кольоровим піском і блискітками ""Райдужні рибки""";10,000;4 108,44
Січень 2024;Djeco;DJ08662;"Djeco Художній комплект малювання кольоровим піском ""Дива лісу""";2,000;901,92
Січень 2024;Djeco;DJ08663;"Djeco Художній комплект малювання кольоровим піском ""Сліпучі птахи""";1,000;499,26
Січень 2024;Djeco;DJ08664;Djeco Художній комплект колаж для найменших, 4 фігурки;19,000;8 511,42
Січень 2024;Djeco;DJ08669;"Djeco Художній комплект вишивання ""Елегантний карнавал""";1,000;160,62
Січень 2024;Djeco;DJ08674;"Djeco Художній комплект шиття стрічками ""Фламенко""";1,000;128,40
Січень 2024;Djeco;DJ08678;"Djeco Художній комплект малювання кольоровим піском ""Чудово мило""";10,000;4 040,28
Січень 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";37,000;2 809,98
Січень 2024;Djeco;DJ08841;"Djeco Набір наліпок 160 шт ""Тварини""";63,000;4 866,06
Січень 2024;Djeco;DJ08842;"Djeco Набір наліпок 160 шт ""Маленькі друзі""";62,000;4 777,62
Січень 2024;Djeco;DJ08844;"Djeco Набір наліпок 160 шт ""Веселий транспорт""";1,000;55,02
Січень 2024;Djeco;DJ08884;"Djeco Набір наліпок 160 шт ""Чаювання принцес""";47,000;3 577,62
Січень 2024;Djeco;DJ08885;"Djeco Набір наліпок 160 шт ""Русалки""";29,000;2 249,28
Січень 2024;Djeco;DJ08886;"Djeco Набір наліпок 160 шт ""Лицарі""";2,000;143,28
Січень 2024;Djeco;DJ08897;"Djeco Набір для творчості - мозаїка ""Білочка""";35,000;13 060,92
Січень 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";24,000;4 228,22
Січень 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";40,000;6 886,14
Січень 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";21,000;3 603,90
Січень 2024;Djeco;DJ08952;"Djeco Набір для творчості з наліпками, що переміщуються ""Ярмарок""";6,000;1 185,12
Січень 2024;Djeco;DJ08953;"Djeco Набір з переміщуваними наліпками ""Пригоди в морі""";5,000;1 108,20
Січень 2024;Djeco;DJ08966;"Djeco Набір для творчості зі штампами ""Тварини та візерунки""";10,000;5 473,66
Січень 2024;Djeco;DJ08970;"Djeco Художній комплект ""Рухомі тварини""";2,000;707,22
Січень 2024;Djeco;DJ08977;"Djeco Набір для творчості з фігурками ""Лицарі""";3,000;437,34
Січень 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";29,000;14 592,12
Січень 2024;Djeco;DJ08997;"Djeco Набір для творчості ""Світ для створення тварин""";18,000;9 759,42
Січень 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";31,000;24 449,88
Січень 2024;Djeco;DJ09055;"Djeco Набір для створення колажу ""Обійми""";7,000;1 791,42
Січень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";40,000;10 089,78
Січень 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";21,000;5 745,72
Січень 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";51,000;13 053,66
Січень 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";35,000;9 339,72
Січень 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";28,000;7 486,80
Січень 2024;Djeco;DJ09071;"Djeco Набір для творчості з наліпками, що переміщуються ""Тварини""";31,000;6 401,52
Січень 2024;Djeco;DJ09072;"Djeco Набір з переміщуваними наклейками ""Будинок""";18,000;3 838,86
Січень 2024;Djeco;DJ09073;"Djeco Набір для творчості з наліпками, що переміщуються ""Автомобілі""";23,000;4 915,44
Січень 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";31,000;7 095,60
Січень 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";24,000;5 471,88
Січень 2024;Djeco;DJ09077;"Djeco Набір наліпок 120 шт ""Мама і малюк""";2,000;210,00
Січень 2024;Djeco;DJ09101;"Djeco Гра ""Великі джунглі""";3,000;2 721,54
Січень 2024;Djeco;DJ09102;"Djeco Гра ""Кубанімо""";3,000;2 611,80
Січень 2024;Djeco;DJ09201;"Djeco Грим для обличчя ""Пірат""";1,000;163,56
Січень 2024;Djeco;DJ09210;"Djeco Набір наліпок для обличчя ""Птахи""";2,000;101,88
Січень 2024;Djeco;DJ09212;"Djeco Набір наліпок для обличчя ""Весняна казка""";2,000;94,80
Січень 2024;Djeco;DJ09215;"Djeco Набір наліпок для обличчя ""Леопард""";2,000;101,88
Січень 2024;Djeco;DJ09217;"Djeco Набір наліпок для обличчя ""Дракон""";1,000;43,86
Січень 2024;Djeco;DJ09218;"Djeco Набір наліпок для обличчя ""Череп""";1,000;50,94
Січень 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";45,000;9 057,84
Січень 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";43,000;8 603,70
Січень 2024;Djeco;DJ09232;"Djeco Грим для обличчя, палітра 6 кольорів ""Металік""";45,000;9 088,74
Січень 2024;Djeco;DJ09262;"Djeco Набір наліпок ""Каліфорнія""";3,000;172,26
Січень 2024;Djeco;DJ09263;"Djeco Набір наліпок ""Ретро іграшки""";1,000;57,42
Січень 2024;Djeco;DJ09265;"Djeco Набір наліпок ""Галактика""";1,000;49,44
Січень 2024;Djeco;DJ09268;"Djeco Набір наліпок ""Екзотика""";19,000;1 777,38
Січень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";31,000;2 768,76
Січень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";58,000;40 160,90
Січень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";39,000;26 560,68
Січень 2024;Djeco;DJ09311;"Djeco Набір для творчості Фабрика мистецтва ""Колесо огляду""";8,000;3 916,92
Січень 2024;Djeco;DJ09312;"Djeco Набір для творчості Фабрика мистецтва ""Діадеми""";11,000;4 853,28
Січень 2024;Djeco;DJ09314;"Djeco Набір для творчості Фабрика мистецтва ""На глибині""";2,000;554,40
Січень 2024;Djeco;DJ09321;"Djeco Набір для творчості ""Брошка Sweet Unicorn E - texti""";2,000;954,48
Січень 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";67,000;58 243,14
Січень 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";42,000;35 889,04
Січень 2024;Djeco;DJ09332;"Djeco Набір для творчості ""Казкова скринька""";71,000;61 280,22
Січень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";15,000;8 093,04
Січень 2024;Djeco;DJ09373;"DJECO Художній комплект для малювання ""Пустеля""";3,000;1 603,02
Січень 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";43,000;20 462,94
Січень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";20,000;9 223,38
Січень 2024;Djeco;DJ09413;"Djeco Набір для творчості з тасьмою ""Чарівні єдинороги""";7,000;2 976,84
Січень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";21,000;10 278,24
Січень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";39,000;14 719,92
Січень 2024;Djeco;DJ09442;"Djeco Художній комплект декорування гофрованим папером ""Сукні Арт Деко""";1,000;249,36
Січень 2024;Djeco;DJ09443;"Djeco Художній комплект декорування гофрованим папером ""Птахи"" ";1,000;63,90
Січень 2024;Djeco;DJ09460;"Djeco Художні патчі металізовані ""Мелодії""";10,000;2 911,92
Січень 2024;Djeco;DJ09461;"Djeco Художні патчі металізовані ""Природа""";2,000;455,10
Січень 2024;Djeco;DJ09462;"Djeco Художні патчі металізовані ""Космос""";6,000;1 740,54
Січень 2024;Djeco;DJ09463;"Djeco Художні патчі металізовані ""Динозаври""";8,000;2 316,18
Січень 2024;Djeco;DJ09464;"Djeco Художні патчі з блискітками ""Феї""";13,000;3 952,50
Січень 2024;Djeco;DJ09465;"Djeco Художні патчі з блискітками ""Пелюстки""";8,000;2 387,58
Січень 2024;Djeco;DJ09466;"Djeco Художні патчі з блискітками ""Океан""";14,000;4 200,66
Січень 2024;Djeco;DJ09467;"Djeco Художні патчі з вельветом ""Легкість""";8,000;2 288,58
Січень 2024;Djeco;DJ09468;"Djeco Художні патчі з вельветом ""Прекрасні діви""";8,000;2 281,50
Січень 2024;Djeco;DJ09469;"Djeco Художні патчі з вельветом ""Маленькі тварини""";9,000;2 729,82
Січень 2024;Djeco;DJ09470;"Djeco Художні патчі з блискітками ""Солодощі""";10,000;2 918,64
Січень 2024;Djeco;DJ09471;"Djeco Художні патчі з вельветом ""Савана""";2,000;481,26
Січень 2024;Djeco;DJ09496;"Djeco Художній комплект для творчості, пластик ""Райдужний кінь""";1,000;332,70
Січень 2024;Djeco;DJ09498;Djeco Набір для створення аксесуарів для волосся;15,000;4 333,80
Січень 2024;Djeco;DJ09499;Djeco Набір для створення каблучок;16,000;4 449,18
Січень 2024;Djeco;DJ09500;"Djeco Художній комплект малювання блискітками ""Блискучі вбрання""";5,000;2 016,54
Січень 2024;Djeco;DJ09501;"Djeco Художній комплект малювання блискітками ""Птахи з блискітками""";3,000;1 290,24
Січень 2024;Djeco;DJ09503;"Djeco Художній комплект малювання блискітками ""Блискучі метелики""";21,000;8 300,34
Січень 2024;Djeco;DJ09505;"Djeco Художній комплект малювання блискітками ""Золото і шовк""";3,000;1 367,94
Січень 2024;Djeco;DJ09507;"Djeco Художній комплект малювання блискітками ""Сяючі русалки""";19,000;7 595,28
Січень 2024;Djeco;DJ09508;"Djeco Художній комплект малювання блискітками ""Аромат квітів""";13,000;5 099,22
Січень 2024;Djeco;DJ09509;"Djeco Художній комплект малювання кольоровими блискітками ""Тропіки""";6,000;2 803,32
Січень 2024;Djeco;DJ09513;"Djeco Художній комплект ""Чарівність""";3,000;830,34
Січень 2024;Djeco;DJ09514;"Djeco Художній комплект ""Світлячки""";2,000;708,36
Січень 2024;Djeco;DJ09521;"Djeco Набір для творчості ""Шикарні птахи""";3,000;1 491,06
Січень 2024;Djeco;DJ09522;"Djeco Набір для творчості ""Райські пташки""";17,000;7 976,70
Січень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";18,000;8 415,12
Січень 2024;Djeco;DJ09575;"Djeco Набір наліпок на тіло ""Єдиноріг""";71,000;8 271,72
Січень 2024;Djeco;DJ09579;"Djeco Набір наліпок на тіло ""Забавні маленькі картинки""";17,000;2 040,18
Січень 2024;Djeco;DJ09584;"Djeco Набір наліпок на тіло ""Пірати""";34,000;3 912,06
Січень 2024;Djeco;DJ09585;"Djeco Набір наліпок на тіло ""Польові квіти""";91,000;10 403,46
Січень 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";23,000;2 748,36
Січень 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";51,000;5 928,98
Січень 2024;Djeco;DJ09590;"Djeco Набір наліпок на тіло ""Космос""";28,000;3 187,02
Січень 2024;Djeco;DJ09591;"Djeco Набір наліпок на тіло ""Щаслива весна""";35,000;4 207,98
Січень 2024;Djeco;DJ09596;"Djeco Набір наліпок на тіло з райдужним переливом ""Талісмани""";63,000;7 350,90
Січень 2024;Djeco;DJ09602;"Djeco Тату для тіла ""Індія""";2,000;101,88
Січень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";14,000;1 642,08
Січень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";42,000;4 924,98
Січень 2024;Djeco;DJ09624;"Djeco Художній комплект для малювання ""Забавні тварини""";5,000;714,06
Січень 2024;Djeco;DJ09628;"Djeco Художній комплект для малювання - розмальовка ""Глибоке море""";3,000;283,86
Січень 2024;Djeco;DJ09657;"Djeco Художній комплект для малювання - розмальовка ""Лісові друзі""";2,000;161,46
Січень 2024;Djeco;DJ09707;"Djeco Набір для скретчингу ""Вишукані сукні""";9,000;1 680,54
Січень 2024;Djeco;DJ09736;"Djeco Набір скретч - наліпок ""Діамант""";2,000;359,04
Січень 2024;Djeco;DJ09737;"Djeco Набір скретч - наліпок ""Метал""";2,000;385,80
Січень 2024;Djeco;DJ09807;"Djeco Набір для творчості з дерев'яними намистинами ""Маленькі тварини""";18,000;5 192,76
Січень 2024;Djeco;DJ09808;"Djeco Набір для творчості з дерев'яними намистинами ""Квіти""";29,000;8 285,40
Січень 2024;Djeco;DJ09809;"Djeco Набір для творчості з дерев'яними намистинами ""Пташки""";25,000;7 056,78
Січень 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";75,000;20 978,04
Січень 2024;Djeco;DJ09837;"DJECO Набір для виготовлення обручів ""Скарби мрій""";8,000;4 500,18
Січень 2024;Djeco;DJ09838;"Djeco Набір для плетіння браслетів ""Яскраві браслети""";46,000;22 244,46
Січень 2024;Djeco;DJ09839;"Djeco Набір для виготовлення прикрас ""Намистинки""";64,000;25 975,32
Січень 2024;Djeco;DJ09844;"Djeco Художній комплект вишивка ""Коктельна мода""";1,000;160,62
Січень 2024;Djeco;DJ09861;"Djeco Набір для творчості ""Всі друзі""";1,000;276,78
Січень 2024;Djeco;DJ09863;"Djeco Художній комплект аплікація ""М'які істоти""";39,000;12 258,42
Січень 2024;Djeco;DJ09864;"Djeco Художній комплект аплікація ""Солодка природа""";31,000;9 752,10
Січень 2024;Djeco;DJ09865;"Djeco Набір для творчості ""Помпони""";2,000;501,96
Січень 2024;Djeco;DJ09867;"Djeco Набір для творчості ""М'які собаки""";63,000;25 090,86
Січень 2024;Djeco;DJ09868;"Djeco Набір для творчості ""Кучеряві тварини""";37,000;12 088,02
Січень 2024;Djeco;DJ09869;"Djeco Художній комплект колаж ""Весела піна""";20,000;8 102,70
Січень 2024;Djeco;DJ09871;"Djeco Набір для творчості ""Пухнасті тварини""";57,000;26 771,22
Січень 2024;Djeco;DJ09897;"Djeco Набір для розфарбовування ""Сімейка лисиць""";10,000;5 940,54
Лютий 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";7,000;2 930,28
Лютий 2024;Djeco;DJ00014;"Djeco Набір для виготовлення браслетів дружби ""Веселка Куміхімо""";6,000;2 692,50
Лютий 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";17,000;7 490,70
Лютий 2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";12,000;5 428,50
Лютий 2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";28,000;12 976,08
Лютий 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";31,000;14 186,70
Лютий 2024;Djeco;DJ00030;"Djeco Набір для плетіння браслетів ""Срібний алфавіт""";8,000;3 995,04
Лютий 2024;Djeco;DJ00031;"Djeco Набір для плетіння браслетів ""Золотий алфавіт""";8,000;3 995,04
Лютий 2024;Djeco;DJ00061;"DJECO Художній комплект для малювання ""Свійські тварини""";6,000;1 826,76
Лютий 2024;Djeco;DJ00070;"Djeco Набір для творчості ""Пухнасті птахи""";12,000;5 242,32
Лютий 2024;Djeco;DJ00800;"Djeco Настільна гра ""Джунглі""";12,000;9 367,20
Лютий 2024;Djeco;DJ00801;"Djeco Настільна гра ""Пікто Брік""";12,000;4 492,80
Лютий 2024;Djeco;DJ00802;"Djeco Настільна гра ""Піратрікс""";12,000;6 742,80
Лютий 2024;Djeco;DJ00804;"Djeco Настільна гра ""Помпон""";12,000;7 492,32
Лютий 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";11,000;5 969,28
Лютий 2024;Djeco;DJ01629;"Djeco Розвиваюча гра ""Крококрок""";12,000;6 742,80
Лютий 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";1,000;399,60
Лютий 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";1,000;593,70
Лютий 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";12,000;8 705,82
Лютий 2024;Djeco;DJ02096;"Djeco Ігровий набір для свята ""Вечірка принцес""";1,000;186,90
Лютий 2024;Djeco;DJ05085;"DJECO Карткова гра ""Рок-гурт""";16,000;4 489,92
Лютий 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";18,000;3 632,16
Лютий 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";11,000;2 175,24
Лютий 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";33,000;6 997,08
Лютий 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";29,000;9 323,52
Лютий 2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";11,000;3 139,94
Лютий 2024;Djeco;DJ05101;"Djeco Гра ""Міні сім'я""";1,000;192,90
Лютий 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";28,000;5 933,94
Лютий 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";30,000;6 048,54
Лютий 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";53,000;10 850,16
Лютий 2024;Djeco;DJ05118;"Djeco Гра ""Bataflash""";1,000;225,18
Лютий 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";24,000;5 032,98
Лютий 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";27,000;5 664,48
Лютий 2024;Djeco;DJ05125;"Djeco Гра ""Бата пазл""";3,000;599,40
Лютий 2024;Djeco;DJ05133;"Djeco Гра ""Чапо магія""";1,000;192,90
Лютий 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";16,000;3 374,70
Лютий 2024;Djeco;DJ05144;"Djeco Гра ""Школа магії""";8,000;1 744,80
