Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн
Травень 2024;Djeco;DJ09252;"Djeco Набір наліпок на тіло ""Чародійка""";10,000;1422,60
Травень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";200,000;18168,00
Травень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";60,000;54824,40
Травень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";150,000;137061,00
Травень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";60,000;41108,40
Травень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";84,000;47950,56
Травень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";84,000;52 753,68
Травень 2024;Djeco;DJ09436;"Djeco Набір для творчості ""Сад""";120,000;47 930,40
Травень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";120,000;61 646,40
Травень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";300,000;42 678,00
Травень 2024;Djeco;DJ08560;"DJECO Настільна гра ""Маленький везунчик""";6,000;2 396,52
Травень 2024;Djeco;DJ08842;"Djeco Набір наліпок 160 шт ""Маленькі друзі""";100,000;9 084,00
Травень 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";60,000;32536,80
Травень 2024;Djeco;DJ09332;"Djeco Набір для творчості ""Казкова скринька""";360,000;390657,60
Травень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";252,000;115 063,20
Травень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";100,000;14 226,00
Листопад 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";216,000;49 248,00
Листопад 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";120,000;61646,40
Листопад 2024;Djeco;DJ09508;"Djeco Художній комплект малювання блискітками ""Аромат квітів""";96,000;49 317,12
Листопад 2024;Djeco;DJ09864;"Djeco Художній комплект аплікація ""Солодка природа""";96,000;38 344,32
Листопад 2024;Djeco;DJ08142;"Djeco Гра - мозаїка ""Качина компанія""";12,000;9 250,56
Листопад 2024;Djeco;DJ08542;"Djeco Гра настільна ""Знайди пропажу""";96,000;41 086,08
Листопад 2024;Djeco;DJ08555;"Djeco Настільна гра ""COOPERATION""";12,000;7 536,24
Листопад 2024;Djeco;DJ08575;"Djeco Гра ""Оскар та Макс""";6,000;2 739,60
Листопад 2024;Djeco;DJ08595;"Djeco Настільна гра ""Піратський острів""";12,000;8 907,12
Листопад 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";100,000;9 084,00
Листопад 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";100,000;21 660,00
Листопад 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";100,000;31 374,00
Вересень 2024;Djeco;DJ08542;"Djeco Гра настільна ""Знайди пропажу""";150,000;64 197,00
Вересень 2024;Djeco;DJ08575;"Djeco Гра ""Оскар та Макс""";6,000;2 739,60
Вересень 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";150,000;13 626,00
Вересень 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";200,000;43 320,00
Вересень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";100,000;31 374,00
Вересень 2024;Djeco;DJ09507;"Djeco Художній комплект малювання блискітками ""Сяючі русалки""";60,000;30 823,20
Вересень 2024;Djeco;DJ09575;"Djeco Набір наліпок на тіло ""Єдиноріг""";220,000;31 297,20
Вересень 2024;Djeco;DJ09591;"Djeco Набір наліпок на тіло ""Щаслива весна""";90,000;12803,40
Листопад 2024;Djeco;DJ08198;"Djeco Гра настільна ""Анімо Мондо""";60,000;25 678,80
Листопад 2024;Djeco;DJ08533;"Djeco Гра настільна ""Маленький магазин""";84,000;47 950,56
Листопад 2024;Djeco;DJ09057;"Djeco Набір для створення колажу ""Фігурні картинки""";200,000;62 748,00
Листопад 2024;Djeco;DJ09426;"Djeco Набір для творчості - мозаїка ""Зачарований світ""";6,000;4 110,84
Листопад 2024;Djeco;DJ09503;"Djeco Художній комплект малювання блискітками ""Блискучі метелики""";84,000;43 152,48
Листопад 2024;Djeco;DJ09585;"Djeco Набір наліпок на тіло ""Польові квіти""";200,000;28 452,00
Листопад 2024;Djeco;DJ09869;"Djeco Художній комплект колаж ""Весела піна""";60,000;30 135,60
Вересень 2024;Djeco;DJ00812;"Djeco Настільна гра ""Ханойська вежа""";12,000;6 850,08
Листопад 2024;Djeco;DJ08553;"Djeco Настільна гра ""Асоціації Звірята""";6,000;3 082,32
Вересень 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";160,000;77 625,60
Вересень 2024;Djeco;DJ00056;"Djeco Набір фігурних наліпок ""Тварини на фермі""";408,000;69 719,04
Вересень 2024;Djeco;DJ00810;"Djeco Настільна гра ""Натуро Мондо""";6,000;2 567,88
Вересень 2024;Djeco;DJ05084;"DJECO Карткова гра ""Золотий потяг""";16,000;5 019,84
Вересень 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";56,000;14 367,36
Вересень 2024;Djeco;DJ05153;"Djeco Гра ""Занімалка""";120,000;47 930,40
Вересень 2024;Djeco;DJ00150;"Djeco дерев'яна іграшка ""Парашутист""";24,000;4 786,56
Вересень 2024;Djeco;DJ00815;"Djeco Настільна гра ""Червоний віслюк""";12,000;6 850,08
Вересень 2024;Djeco;DJ00816;"Djeco Настільна гра ""Кроко Міст""";12,000;7 536,24
Вересень 2024;Djeco;DJ05216;"Djeco Гра ""Шахи""";6,000;2 396,52
Вересень 2024;Djeco;DJ00809;"Djeco Настільна гра ""Вегето Мондо""";6,000;2 567,88
Вересень 2024;Djeco;DJ05079;"DJECO Карткова гра ""Приховані тварини""";8,000;2 052,48
Вересень 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";80,000;20 524,80
Вересень 2024;Djeco;DJ05237;"DJECO Настільна гра ""Жовтий гном""";6,000;3768,12
Вересень 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";84,000;26 354,16
Вересень 2024;Djeco;DJ08579;"DJECO Настільна гра ""Кікепала""";6,000;2 670,84
Вересень 2024;Djeco;DJ08885;"Djeco Набір наліпок 160 шт ""Русалки""";60,000;5 450,40
Вересень 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";160,000;34 656,00
Вересень 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";80,000;20524,80
Вересень 2024;Djeco;DJ09232;"Djeco Грим для обличчя, палітра 6 кольорів ""Металік""";104,000;26 682,24
Листопад 2024;Djeco;DJ07955;"Djeco Набір для творчості ""Кітті - дзвіночок""";24,000;9 586,08
Листопад 2024;Djeco;DJ08265;"Djeco Настільна гра 4 в 1 ""Перші числа""";18,000;8 218,80
Листопад 2024;Djeco;DJ08463;"Djeco Гра головоломка ""Кразікс""";120,000;61 646,40
Листопад 2024;Djeco;DJ08469;"Djeco Настільна гра ""Москіто""";18,000;11 304,36
Листопад 2024;Djeco;DJ08477;"Djeco Настільна гра ""Кубіссімо""";96,000;60 289,92
Листопад 2024;Djeco;DJ08578;"Djeco Настільна гра ""Пентанімо""";12,000;7 536,24
Листопад 2024;Djeco;DJ08841;"Djeco Набір наліпок 160 шт ""Тварини""";150,000;13 626,00
Листопад 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";100,000;21 660,00
Вересень 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";112,000;28 734,72
Вересень 2024;Djeco;DJ05169;"Djeco Гра ""Гримаси""";40,000;15 976,80
Вересень 2024;Djeco;DJ07902;"Djeco Набір шабель з мозаїкою Зроби сам ""Як пірат""";12,000;5 135,76
Вересень 2024;Djeco;DJ08265;"Djeco Настільна гра 4 в 1 ""Перші числа""";24,000;10 958,40
Вересень 2024;Djeco;DJ08463;"Djeco Гра головоломка ""Кразікс""";150,000;77 058,00
Вересень 2024;Djeco;DJ08469;"Djeco Настільна гра ""Москіто""";12,000;7 536,24
Вересень 2024;Djeco;DJ08477;"Djeco Настільна гра ""Кубіссімо""";150,000;94 203,00
Вересень 2024;Djeco;DJ08572;"Djeco Гра настільна ""Пікнік""";6,000;4 007,88
Вересень 2024;Djeco;DJ08841;"Djeco Набір наліпок 160 шт ""Тварини""";100,000;9 084,00
Вересень 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";300,000;64 980,00
Вересень 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";40,000;12 549,60
Вересень 2024;Djeco;DJ09292;"DJECO Набір для творчості ""Котик та його друзі""";240,000;191 865,60
Вересень 2024;Djeco;DJ09428;"DJECO Набір для творчості ""В країні чудес""";240,000;123 292,80
Вересень 2024;Djeco;DJ00811;"Djeco Настільна гра ""Логіка маршруту""";12,000;5 479,20
Вересень 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";120,000;41 076,00
Вересень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";64,000;16 419,84
Вересень 2024;Djeco;DJ05161;"Djeco Гра ""Сардини"" ";160,000;63 907,20
Вересень 2024;Djeco;DJ05218;Djeco Набір класичних ігор 12в1;72,000;65 789,28
Вересень 2024;Djeco;DJ07919;"Djeco Набір Зроби сам ""Весела сімейка""";6,000;3 082,32
Вересень 2024;Djeco;DJ08417;"Djeco Гра ""Блеф пірата""";60,000;37 681,20
Вересень 2024;Djeco;DJ08550;"Djeco Настільна гра ""Маленька доріжка""";240,000;123 292,80
Вересень 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";180,000;164 473,20
Вересень 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";120,000;27 360,00
Вересень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";100,000;9 084,00
Вересень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";120,000;109648,80
Вересень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";60,000;41 108,40
Вересень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";60,000;34 250,40
Вересень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";60,000;37 681,20
Вересень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";48,000;24 658,56
Вересень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";100,000;14 226,00
Вересень 2024;Djeco;DJ09683;"DJECO Набір для розфарбовування ""Ігрові намети Ніни""";300,000;42 678,00
Листопад 2024;Djeco;DJ08267;"Djeco Настільна гра ""Бодіко""";12,000;5 135,76
Листопад 2024;Djeco;DJ08417;"Djeco Гра ""Блеф пірата""";96,000;60 289,92
Листопад 2024;Djeco;DJ08550;"Djeco Настільна гра ""Маленька доріжка""";60,000;30 823,20
Листопад 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";180,000;164 473,20
Листопад 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";120,000;27 360,00
Листопад 2024;Djeco;DJ09239;"Djeco Наліпки на нігті ""Пір'я""";20,000;3 188,40
Листопад 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";100,000;9 084,00
Листопад 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";168,000;153 508,32
Листопад 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";90,000;82 236,60
Травень 2024;Djeco;DJ00030;"Djeco Набір для плетіння браслетів ""Срібний алфавіт""";8,000;3652,80
Травень 2024;Djeco;DJ00810;"Djeco Настільна гра ""Натуро Мондо""";6,000;2 567,88
Травень 2024;Djeco;DJ01616;"Djeco Розвиваюча гра ""Гардімікс""";12,000;7 536,24
Травень 2024;Djeco;DJ05084;"DJECO Карткова гра ""Золотий потяг""";16,000;5 019,84
Травень 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";48,000;12 314,88
Травень 2024;Djeco;DJ05153;"Djeco Гра ""Занімалка""";40,000;15976,80
Травень 2024;Djeco;DJ00061;"DJECO Художній комплект для малювання ""Свійські тварини""";130,000;40 786,20
Травень 2024;Djeco;DJ00809;"Djeco Настільна гра ""Вегето Мондо""";6,000;2 567,88
Травень 2024;Djeco;DJ05237;"DJECO Настільна гра ""Жовтий гном""";6,000;3 768,12
Травень 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";30,000;9412,20
Травень 2024;Djeco;DJ08343;"Djeco Розвиваюча гра ""Программіно""";6,000;3 253,68
Травень 2024;Djeco;DJ08401;"Djeco Настільна гра ""Чоп Чоп""";24,000;22 340,16
Травень 2024;Djeco;DJ08554;"Djeco Настільна гра ""Маленькі балансування""";6,000;3 425,04
Травень 2024;Djeco;DJ08590;"DJECO Настільна гра ""Архілогіка""";264,000;135622,08
Травень 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";180,000;56473,20
Травень 2024;Djeco;DJ01076;"DJECO Гра балансир ""Puzz & Boom Rainbow""";16,000;7 762,56
Травень 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";24,000;19186,56
Травень 2024;Djeco;DJ05103;"Djeco Настільна гра ""FAMILOU""";8,000;2052,48
Травень 2024;Djeco;DJ08423;"Djeco Гра ""Великий пірат""";12,000;12 335,76
Травень 2024;Djeco;DJ01629;"Djeco Розвиваюча гра ""Крококрок""";12,000;7 536,24
Травень 2024;Djeco;DJ05078;"DJECO Карткова гра ""Місті Луп""";16,000;4 104,96
Травень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";64,000;16 419,84
Листопад 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";60,000;41 108,40
Листопад 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";120,000;68 500,80
Листопад 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";120,000;75 362,40
Листопад 2024;Djeco;DJ09436;"Djeco Набір для творчості ""Сад""";36,000;14379,12
Листопад 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";100,000;14 226,00
Листопад 2024;Djeco;DJ09683;"DJECO Набір для розфарбовування ""Ігрові намети Ніни""";250,000;35 565,00
Вересень 2024;Djeco;DJ00081;"Djeco Набір для творчості ""Яскраві крапочки""";6,000;3 768,12
Вересень 2024;Djeco;DJ00087;"Djeco Набір для творчості ""Таємничі тварики""";12,000;4 107,60
Вересень 2024;Djeco;DJ00813;"Djeco Настільна гра ""Солітер""";12,000;6 850,08
Вересень 2024;Djeco;DJ05103;"Djeco Настільна гра ""FAMILOU""";8,000;2 052,48
Вересень 2024;Djeco;DJ07985;"Djeco Набір Зроби сам ""Сузір'я""";6,000;2396,52
Вересень 2024;Djeco;DJ08190;"Djeco Розвиваюча гра Бінго ""Одягни мене""";12,000;4 107,60
Вересень 2024;Djeco;DJ08590;"DJECO Настільна гра ""Архілогіка""";60,000;30 823,20
Вересень 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";170,000;53335,80
Вересень 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";90,000;97 664,40
Листопад 2024;Djeco;DJ07942;"Djeco Набір для творчості ""Сонячний табір""";12,000;10 278,72
Листопад 2024;Djeco;DJ07962;"Djeco Ловець снів Зроби сам ""Русалонька""";6,000;2 293,56
Листопад 2024;Djeco;DJ08190;"Djeco Розвиваюча гра Бінго ""Одягни мене""";12,000;4 107,60
Листопад 2024;Djeco;DJ08261;"Djeco Настільна гра ""Анімологік""";12,000;6 850,08
Листопад 2024;Djeco;DJ08423;"Djeco Гра ""Великий пірат""";6,000;6 167,88
Листопад 2024;Djeco;DJ08527;"Djeco Настільна гра ""Рапідо Метео""";60,000;30 823,20
Листопад 2024;Djeco;DJ08590;"DJECO Настільна гра ""Архілогіка""";48,000;24658,56
Листопад 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";120,000;37 648,80
Листопад 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";108,000;117 197,28
Листопад 2024;Djeco;DJ09837;"DJECO Набір для виготовлення обручів ""Скарби мрій""";192,000;104 117,76
Вересень 2024;Djeco;DJ00800;"Djeco Настільна гра ""Джунглі""";18,000;12 846,60
Вересень 2024;Djeco;DJ05144;"Djeco Гра ""Школа магії""";8,000;2 052,48
Вересень 2024;Djeco;DJ05270;"Djeco Гра настільна тактика ""Морський бій""";60,000;34 250,40
Вересень 2024;Djeco;DJ07922;"Djeco Набір Зроби сам ""Космічний калейдоскоп""";96,000;43 833,60
Вересень 2024;Djeco;DJ08195;"DJECO Настільна гра ""Сенсіко""";264,000;90 367,20
Вересень 2024;Djeco;DJ08268;"Djeco Настільна гра ""Батоннікс""";18,000;11 304,36
Вересень 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";168;43102,08
Вересень 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";200,000;28 452,00
Вересень 2024;Djeco;DJ09807;"Djeco Набір для творчості з дерев'яними намистинами ""Маленькі тварини""";88,000;30 122,40
Вересень 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";240,000;82 152,00
Листопад 2024;Djeco;DJ00800;"Djeco Настільна гра ""Джунглі""";18,000;12 846,60
Листопад 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";156,000;89 051,04
Листопад 2024;Djeco;DJ05141;"Djeco Гра ""Містікет""";8,000;2 052,48
Листопад 2024;Djeco;DJ05144;"Djeco Гра ""Школа магії""";8,000;2 052,48
Вересень 2024;Djeco;DJ00054;"Djeco Набір фігурних наліпок ""Тварини Антарктики""";408,000;69 719,04
Вересень 2024;Djeco;DJ00808;"Djeco Настільна гра ""Імпосібло - Тварини""";12,000;3 421,44
Вересень 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";240,000;61 574,40
Вересень 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";160,000;41 049,60
Вересень 2024;Djeco;DJ05176;"Djeco Гра ""Додо""";24,000;9 586,08
Вересень 2024;Djeco;DJ05208;"Djeco Гра настільна бродилка ""Сачки і сходи""";120,000;47 930,40
Вересень 2024;Djeco;DJ07963;"Djeco Набір для створення ловця снів ""Фея лотоса""";6,000;2 293,56
Вересень 2024;Djeco;DJ08464;"Djeco Гра головоломка ""Вудікс""";90,000;51 375,60
Вересень 2024;Djeco;DJ08557;"Djeco Настільна гра балансир ""Пірамідки""";108,000;67 826,16
Вересень 2024;Djeco;DJ08585;"DJECO Настільна гра ""Логіка трафіку""";6,000;4 110,84
Вересень 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";130,000;40 786,20
Вересень 2024;Djeco;DJ09584;"Djeco Набір наліпок на тіло ""Пірати""";230,000;32 719,80
Вересень 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";150,000;21 339,00
Вересень 2024;Djeco;DJ09596;"Djeco Набір наліпок на тіло з райдужним переливом ""Талісмани""";120,000;17 071,20
Вересень 2024;Djeco;DJ09838;"Djeco Набір для плетіння браслетів ""Яскраві браслети""";200,000;114 168,00
Вересень 2024;Djeco;DJ09863;"Djeco Художній комплект аплікація ""М'які істоти""";48,000;19 172,16
Листопад 2024;Djeco;DJ07963;"Djeco Набір для створення ловця снів ""Фея лотоса""";6,000;2 293,56
Листопад 2024;Djeco;DJ08464;"Djeco Гра головоломка ""Вудікс""";120,000;68 500,80
Листопад 2024;Djeco;DJ08557;"Djeco Настільна гра балансир ""Пірамідки""";60,000;37 681,20
Листопад 2024;Djeco;DJ08585;"DJECO Настільна гра ""Логіка трафіку""";12,000;8 221,68
Листопад 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";60,000;18 824,40
Листопад 2024;Djeco;DJ09333;"Djeco Набір для творчості ""Мода від Кароліни""";6,000;5 825,16
Листопад 2024;Djeco;DJ09584;"Djeco Набір наліпок на тіло ""Пірати""";120,000;17 071,20
Листопад 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";120,000;17 071,20
Листопад 2024;Djeco;DJ09596;"Djeco Набір наліпок на тіло з райдужним переливом ""Талісмани""";120,000;17 071,20
Листопад 2024;Djeco;DJ09838;"Djeco Набір для плетіння браслетів ""Яскраві браслети""";176,000;100 467,84
Листопад 2024;Djeco;DJ09863;"Djeco Художній комплект аплікація ""М'які істоти""";96,000;38 344,32
Листопад 2024;Djeco;DJ00054;"Djeco Набір фігурних наліпок ""Тварини Антарктики""";240,000;41011,20
Вересень 2024;Djeco;DJ05997;Djeco Тримач для гральних карт;24,000;3 962,88
Вересень 2024;Djeco;DJ08329;"Djeco Настільна гра ""Критерії""";12,000;5479,20
