Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Квітень 2024;Djeco;DJ08897;"Djeco Набір для творчості - мозаїка ""Білочка""";-10,000;-3 933,60;;
Квітень 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";28,000;5 070,78;;
Квітень 2024;Djeco;DJ08932;"Djeco Набір наліпок для аплікації ""Створи тварину""";5,000;830,70;;
Квітень 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";16,000;2 667,96;;
Квітень 2024;Djeco;DJ08953;"Djeco Набір з переміщуваними наліпками ""Пригоди в морі""";2,000;509,64;;
Квітень 2024;Djeco;DJ08966;"Djeco Набір для творчості зі штампами ""Тварини та візерунки""";4,000;2 365,80;;
Квітень 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";47,000;24 708,84;;
Квітень 2024;Djeco;DJ08997;"Djeco Набір для творчості ""Світ для створення тварин""";-10,000;-5 487,96;;
Квітень 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";13,000;11 640,66;;
Квітень 2024;Djeco;DJ09055;"Djeco Набір для створення колажу ""Обійми""";4,000;1 169,64;;
Квітень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";38,000;10 180,14;;
Квітень 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";18,000;5 289,12;;
Квітень 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";49,000;12 364,38;;
Квітень 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";17,000;4 777,50;;
Квітень 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";20,000;5 484,18;;
Квітень 2024;Djeco;DJ09072;"Djeco Набір з переміщуваними наклейками ""Будинок""";-1,000;38,40;;
Квітень 2024;Djeco;DJ09073;"Djeco Набір для творчості з наліпками, що переміщуються ""Автомобілі""";4,000;897,48;;
Квітень 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";12,000;2 659,68;;
Квітень 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";22,000;5 375,64;;
Квітень 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";88,000;19 824,12;;
Квітень 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";74,000;17 079,12;;
Квітень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";33,000;2 919,72;;
Квітень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";29,000;19 764,60;;
Квітень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";74,000;48 567,66;;
Квітень 2024;Djeco;DJ09311;"Djeco Набір для творчості Фабрика мистецтва ""Колесо огляду""";-2,000;-968,52;;
Квітень 2024;Djeco;DJ09312;"Djeco Набір для творчості Фабрика мистецтва ""Діадеми""";11,000;5 216,58;;
Квітень 2024;Djeco;DJ09320;"Djeco Набір для творчості ""Брошка Bunny Girl Factory E - text""";3,000;1 662,66;;
Квітень 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";41,000;35 155,44;;
Квітень 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";9,000;8 135,94;;
Квітень 2024;Djeco;DJ09332;"Djeco Набір для творчості ""Казкова скринька""";30,000;26 039,28;;
Квітень 2024;Djeco;DJ09373;"DJECO Художній комплект для малювання ""Пустеля""";3,000;1 732,32;;
Квітень 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";14,000;6 375,84;;
Квітень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";10,000;4 721,10;;
Квітень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";18,000;9 345,84;;
Квітень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";-32,000;-12 587,52;;
Квітень 2024;Djeco;DJ09436;"Djeco Набір для творчості ""Сад""";13,000;5 125,62;;
Квітень 2024;Djeco;DJ09437;"Djeco Набір для творчості ""Ніч""";9,000;3 244,86;;
Квітень 2024;Djeco;DJ09460;"Djeco Художні патчі металізовані ""Мелодії""";-3,000;-907,20;;
Квітень 2024;Djeco;DJ09462;"Djeco Художні патчі металізовані ""Космос""";-8,000;-2 346,48;;
Квітень 2024;Djeco;DJ09463;"Djeco Художні патчі металізовані ""Динозаври""";-22,000;-6 652,80;;
Квітень 2024;Djeco;DJ09466;"Djeco Художні патчі з блискітками ""Океан""";-23,000;-6 955,20;;
Квітень 2024;Djeco;DJ09470;"Djeco Художні патчі з блискітками ""Солодощі""";-33,000;-9 979,20;;
Квітень 2024;Djeco;DJ09498;Djeco Набір для створення аксесуарів для волосся;14,000;3 834,72;;
Квітень 2024;Djeco;DJ09499;Djeco Набір для створення каблучок;-20,000;-5 747,52;;
Квітень 2024;Djeco;DJ09500;"Djeco Художній комплект малювання блискітками ""Блискучі вбрання""";-4,000;-1 714,26;;
Квітень 2024;Djeco;DJ09503;"Djeco Художній комплект малювання блискітками ""Блискучі метелики""";12,000;4 659,84;;
Квітень 2024;Djeco;DJ09507;"Djeco Художній комплект малювання блискітками ""Сяючі русалки""";12,000;4 879,92;;
Квітень 2024;Djeco;DJ09508;"Djeco Художній комплект малювання блискітками ""Аромат квітів""";14,000;5 648,52;;
Квітень 2024;Djeco;DJ09509;"Djeco Художній комплект малювання кольоровими блискітками ""Тропіки""";10,000;4 340,28;;
Квітень 2024;Djeco;DJ09522;"Djeco Набір для творчості ""Райські пташки""";17,000;8 429,22;;
Квітень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";7,000;3 147,54;;
Квітень 2024;Djeco;DJ09579;"Djeco Набір наліпок на тіло ""Забавні маленькі картинки""";31,000;3 851,22;;
Квітень 2024;Djeco;DJ09584;"Djeco Набір наліпок на тіло ""Пірати""";66,000;7 781,94;;
Квітень 2024;Djeco;DJ09585;"Djeco Набір наліпок на тіло ""Польові квіти""";19,000;2 151,66;;
Квітень 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";23,000;2 586,12;;
Квітень 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";78,000;9 076,02;;
Квітень 2024;Djeco;DJ09591;"Djeco Набір наліпок на тіло ""Щаслива весна""";11,000;1 266,48;;
Квітень 2024;Djeco;DJ09596;"Djeco Набір наліпок на тіло з райдужним переливом ""Талісмани""";-1,000;-110,58;;
Квітень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";18,000;2 243,64;;
Квітень 2024;Djeco;DJ09615;"Djeco Набір наліпок на тіло ""Яскраві пташки""";31,000;3 569,10;;
Квітень 2024;Djeco;DJ09736;"Djeco Набір скретч - наліпок ""Діамант""";-1,000;-181,20;;
Квітень 2024;Djeco;DJ09737;"Djeco Набір скретч - наліпок ""Метал""";1,000;81,40;;
Квітень 2024;Djeco;DJ09807;"Djeco Набір для творчості з дерев'яними намистинами ""Маленькі тварини""";10,000;2 919,42;;
Квітень 2024;Djeco;DJ09808;"Djeco Набір для творчості з дерев'яними намистинами ""Квіти""";35,000;10 196,28;;
Квітень 2024;Djeco;DJ09809;"Djeco Набір для творчості з дерев'яними намистинами ""Пташки""";34,000;9 638,82;;
Квітень 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";67,000;18 994,98;;
Квітень 2024;Djeco;DJ09837;"DJECO Набір для виготовлення обручів ""Скарби мрій""";14,000;8 619,30;;
Квітень 2024;Djeco;DJ09838;"Djeco Набір для плетіння браслетів ""Яскраві браслети""";55,000;27 281,94;;
Квітень 2024;Djeco;DJ09839;"Djeco Набір для виготовлення прикрас ""Намистинки""";5,000;1 941,60;;
Квітень 2024;Djeco;DJ09863;"Djeco Художній комплект аплікація ""М'які істоти""";-6,000;-1 996,20;;
Квітень 2024;Djeco;DJ09864;"Djeco Художній комплект аплікація ""Солодка природа""";33,000;10 972,08;;
Квітень 2024;Djeco;DJ09867;"Djeco Набір для творчості ""М'які собаки""";77,000;33 253,92;;
Квітень 2024;Djeco;DJ09868;"Djeco Набір для творчості ""Кучеряві тварини""";31,000;10 500,66;;
Квітень 2024;Djeco;DJ09869;"Djeco Художній комплект колаж ""Весела піна""";14,000;6 130,50;;
Квітень 2024;Djeco;DJ09871;"Djeco Набір для творчості ""Пухнасті тварини""";21,000;9 846,18;;
Квітень 2024;Djeco;DJ09888;"Djeco Набір для творчості ""Охайно, але весело""";22,000;9 171,00;;
Квітень 2024;Djeco;DJ09897;"Djeco Набір для розфарбовування ""Сімейка лисиць""";8,000;5 715,12;;
Травень 2024;Djeco;DJ00010;"Djeco Набір для виготовлення браслетів дружби ""Серця""";3,000;1 446,48;;
Травень 2024;Djeco;DJ00016;"Djeco Набір для виготовлення браслетів дружби ""Птахи в небі""";4,000;1 775,52;;
Травень 2024;Djeco;DJ00017;"Djeco Набір для виготовлення браслетів дружби ""Вишні""";5,000;2 219,40;;
Травень 2024;Djeco;DJ00025;"DJECO Набір для виготовлення намиста ""Сріблясті бульбашки""";16,000;11 276,52;;
Травень 2024;Djeco;DJ00026;"DJECO Набір для виготовлення намиста ""Золоті бульбашки""";53,000;29 113,02;;
Травень 2024;Djeco;DJ00061;"DJECO Художній комплект для малювання ""Свійські тварини""";3,000;2 637,90;;
Травень 2024;Djeco;DJ01612;"Djeco Настільна гра ""Рахуй з пінгвінами""";12,000;13 424,22;;
Травень 2024;Djeco;DJ01661;"Djeco Гра розвиваюча ""Bingonimo""";1,000;199,68;;
Травень 2024;Djeco;DJ01663;"Djeco Розвиваюча гра ""Застібки""";23,000;8 495,40;;
Травень 2024;Djeco;DJ01666;"Djeco Розвиваюча гра ""Ремінці""";14,000;5 345,28;;
Травень 2024;Djeco;DJ01669;"Djeco Розвиваюча гра ""З'єднай тваринок""";13,000;4 647,48;;
Травень 2024;Djeco;DJ01698;"Djeco Набір ігор 4в1 ""Лудопарк""";-1,000;7 255,86;;
Травень 2024;Djeco;DJ02096;"Djeco Ігровий набір для свята ""Вечірка принцес""";-1,000;-192,90;;
Травень 2024;Djeco;DJ05092;"Djeco Карткова гра ""Весела плутанина""";16,000;12 098,34;;
Травень 2024;Djeco;DJ05095;"Djeco Карткова гра ""Мотамо""";3,000;349,02;;
Травень 2024;Djeco;DJ05096;"Djeco Карткова гра ""Містерікс""";39,000;12 208,44;;
Травень 2024;Djeco;DJ05098;"Djeco Гра ""Жахливий Бу""";17,000;9 759,78;;
Травень 2024;Djeco;DJ05099;"Djeco Гра ""Найкращі собаки""";14,000;2 158,32;;
Травень 2024;Djeco;DJ05100;"Djeco Гра ""Класика 52""";-1,000;-199,38;;
Травень 2024;Djeco;DJ05104;"Djeco Гра ""БатаВаф""";5,000;7 920,78;;
Травень 2024;Djeco;DJ05108;"Djeco Гра ""Піполо""";3,000;10 056,30;;
Травень 2024;Djeco;DJ05109;"Djeco Гра ""CRIDANIMO""";-3,000;-598,14;;
Травень 2024;Djeco;DJ05114;"Djeco Гра ""Бата Му""";-1,000;-124,38;;
Травень 2024;Djeco;DJ05115;"Djeco Гра ""Щаслива сімейка""";-2,000;-398,76;;
Травень 2024;Djeco;DJ05117;"Djeco Гра ""Побудуй замок""";28,000;16 260,24;;
Травень 2024;Djeco;DJ05120;"Djeco Гра ""Тіп Топ Хлоп""";5,000;8 630,40;;
Травень 2024;Djeco;DJ05123;"Djeco Гра ""Горила""";3,000;7 724,04;;
Травень 2024;Djeco;DJ05125;"Djeco Гра ""Бата пазл""";-12,000;-2 725,14;;
Травень 2024;Djeco;DJ05128;"Djeco Гра ""Міні природа""";-6,000;-1 214,94;;
Травень 2024;Djeco;DJ05133;"Djeco Гра ""Чапо магія""";-2,000;-398,76;;
Травень 2024;Djeco;DJ05135;"Djeco Гра ""RECTO VERSO""";-4,000;-797,52;;
Травень 2024;Djeco;DJ05136;"Djeco Гра ""Динозаври""";3,000;7 631,40;;
Травень 2024;Djeco;DJ05138;"Djeco Гра ""MIMO RIGOLO""";-5,000;-996,60;;
Травень 2024;Djeco;DJ05145;"Djeco Гра ""Збери баранчиків""";18,000;10 060,38;;
Травень 2024;Djeco;DJ05153;"Djeco Гра ""Занімалка""";16,000;18 070,80;;
Травень 2024;Djeco;DJ05161;"Djeco Гра ""Сардини"" ";20,000;24 733,56;;
Травень 2024;Djeco;DJ05169;"Djeco Гра ""Гримаси""";2,000;12 472,74;;
Травень 2024;Djeco;DJ05172;"Djeco Гра ""Атлетика""";-5,000;-1 915,62;;
Травень 2024;Djeco;DJ05180;"Djeco Гра ""Лісові пригоди""";-4,000;-1 421,76;;
Травень 2024;Djeco;DJ05186;"Djeco Гра ""Мармозетки""";-2,000;-687,30;;
Травень 2024;Djeco;DJ05218;Djeco Набір класичних ігор 12в1;-1,000;4 232,10;;
Травень 2024;Djeco;DJ05270;"Djeco Гра настільна тактика ""Морський бій""";-7,000;5 440,80;;
Травень 2024;Djeco;DJ05641;Djeco Конструктор Zig & Go - 27 дет;3,000;2 339,88;;
Травень 2024;Djeco;DJ05642;Djeco Конструктор Zig & Go - 25 дет;-1,000;-644,52;;
Травень 2024;Djeco;DJ06432;"Djeco Дерев'яний конструктор ""Геонімо""";1,000;399,66;;
Травень 2024;Djeco;DJ06641;"Djeco Дерев'яна гра аплікація з молоточком ""Транспорт""";-2,000;-1 547,04;;
Травень 2024;Djeco;DJ06642;"Djeco Дерев'яна гра аплікація з молоточком ""Космодром""";-2,000;-1 547,04;;
Травень 2024;Djeco;DJ06646;"Djeco Дерев'яна гра аплікація з молоточком ""Роботи""";25,000;17 021,94;;
Травень 2024;Djeco;DJ06970;"Djeco Карткова гра ""Міні Містігрі""";-1,000;-112,14;;
Травень 2024;Djeco;DJ06971;"Djeco Карткова гра ""Мелі Мело""";26,000;3 371,58;;
Травень 2024;Djeco;DJ07900;"Djeco Набір масок з мозаїкою Зроби сам ""Тварини""";-1,000;8 454,00;;
Травень 2024;Djeco;DJ07906;"Djeco Набір Зроби сам ""Скринька""";-4,000;-1 360,74;;
Травень 2024;Djeco;DJ07922;"Djeco Набір Зроби сам ""Космічний калейдоскоп""";19,000;22 708,92;;
Травень 2024;Djeco;DJ07955;"Djeco Набір для творчості ""Кітті - дзвіночок""";-1,000;17 027,04;;
Травень 2024;Djeco;DJ07956;"Djeco Набір для творчості ""Зоряний передзвін""";-1,000;-938,88;;
Травень 2024;Djeco;DJ08132;"Djeco Набір настільних ігор ""Динозаври""";11,000;26 761,08;;
Травень 2024;Djeco;DJ08152;"Djeco Гра ""Знайди емоції""";-1,000;-453,60;;
Травень 2024;Djeco;DJ08198;"Djeco Гра настільна ""Анімо Мондо""";5,000;5 322,12;;
Травень 2024;Djeco;DJ08404;"Djeco Гра настільна ""Кольорові кубики""";-1,000;-1 146,18;;
Травень 2024;Djeco;DJ08417;"Djeco Гра ""Блеф пірата""";3,000;8 597,28;;
Травень 2024;Djeco;DJ08420;"Djeco Гра ""Луданімо""";-1,000;-1 305,18;;
Травень 2024;Djeco;DJ08443;"Djeco Гра ""Pixel Tamgram""";38,000;11 337,96;;
Травень 2024;Djeco;DJ08451;"Djeco Настільна гра ""Поліссімо""";34,000;30 337,38;;
Травень 2024;Djeco;DJ08463;"Djeco Гра головоломка ""Кразікс""";36,000;34 691,94;;
Травень 2024;Djeco;DJ08464;"Djeco Гра головоломка ""Вудікс""";6,000;19 452,84;;
Травень 2024;Djeco;DJ08477;"Djeco Настільна гра ""Кубіссімо""";32,000;42 534,66;;
Травень 2024;Djeco;DJ08487;"Djeco Гра настільна ""Лабіринт""";-2,000;-1 437,24;;
Травень 2024;Djeco;DJ08526;"Djeco Настільна гра ""Шкарпетковий монстр""";-12,000;-4 191,96;;
Травень 2024;Djeco;DJ08527;"Djeco Настільна гра ""Рапідо Метео""";-1,000;8 781,24;;
Травень 2024;Djeco;DJ08533;"Djeco Гра настільна ""Маленький магазин""";20,000;23 000,70;;
Травень 2024;Djeco;DJ08535;"Djeco Гра ""Катуді""";3,000;8 249,52;;
Травень 2024;Djeco;DJ08540;"Djeco Настільна гра ""Логічний фініш""";2,000;4 471,98;;
Травень 2024;Djeco;DJ08542;"Djeco Гра настільна ""Знайди пропажу""";1,000;15 225,24;;
Травень 2024;Djeco;DJ08550;"Djeco Настільна гра ""Маленька доріжка""";19,000;27 695,70;;
Травень 2024;Djeco;DJ08557;"Djeco Настільна гра балансир ""Пірамідки""";13,000;28 494,12;;
Травень 2024;Djeco;DJ08570;"Djeco Гра ""Логіка підземелля""";1,000;266,34;;
Травень 2024;Djeco;DJ08571;"Djeco Гра ""Пожежники""";10,000;15 664,68;;
Травень 2024;Djeco;DJ08577;"Djeco Настільна гра ""Паніка в джунглях""";-1,000;3 311,40;;
Травень 2024;Djeco;DJ08590;"DJECO Настільна гра ""Архілогіка""";4,000;2 819,94;;
Травень 2024;Djeco;DJ08597;"Djeco Гра ""Космічний кіт""";29,000;10 350,24;;
Травень 2024;Djeco;DJ08630;"Djeco Художній комплект малювання кольоровим піском ""Панда та його друзі""";-1,000;-581,10;;
Травень 2024;Djeco;DJ08651;"Djeco Набір для творчості з 3D ефектом ""Веселі монстри""";-1,000;-820,92;;
Травень 2024;Djeco;DJ08661;"Djeco Художній комплект малювання кольоровим піском і блискітками ""Райдужні рибки""";-7,000;1 824,66;;
Травень 2024;Djeco;DJ08664;Djeco Художній комплект колаж для найменших, 4 фігурки;-1,000;17 352,30;;
Травень 2024;Djeco;DJ08678;"Djeco Художній комплект малювання кольоровим піском ""Чудово мило""";18,000;19 403,10;;
Травень 2024;Djeco;DJ08830;"Djeco Набір наліпок 160 шт ""Принцеса""";23,000;4 972,14;;
Травень 2024;Djeco;DJ08842;"Djeco Набір наліпок 160 шт ""Маленькі друзі""";55,000;7 779,00;;
Травень 2024;Djeco;DJ08885;"Djeco Набір наліпок 160 шт ""Русалки""";26,000;5 165,52;;
Травень 2024;Djeco;DJ08897;"Djeco Набір для творчості - мозаїка ""Білочка""";10,000;21 282,18;;
Травень 2024;Djeco;DJ08931;"Djeco Художній комплект з наліпками ""Марінс""";21,000;7 576,14;;
Травень 2024;Djeco;DJ08934;"Djeco Художній комплект з наліпками ""Каламбур""";5,000;7 904,88;;
Травень 2024;Djeco;DJ08953;"Djeco Набір з переміщуваними наліпками ""Пригоди в морі""";2,000;4 724,94;;
Травень 2024;Djeco;DJ08966;"Djeco Набір для творчості зі штампами ""Тварини та візерунки""";22,000;8 823,24;;
Травень 2024;Djeco;DJ08982;"Djeco Набір для творчості ""Комахи""";15,000;14 004,54;;
Травень 2024;Djeco;DJ08997;"Djeco Набір для творчості ""Світ для створення тварин""";6,000;20 285,10;;
Травень 2024;Djeco;DJ09015;"Djeco Набір для творчості ""Фантазія""";15,000;29 705,28;;
Травень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";10,000;14 673,42;;
Травень 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";3,000;4 947,72;;
Травень 2024;Djeco;DJ09064;"Djeco Художній комплект для малювання водою ""Що заховано у лісі?""";6,000;12 842,52;;
Травень 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";1,000;8 638,62;;
Травень 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";26,000;17 651,82;;
Травень 2024;Djeco;DJ09071;"Djeco Набір для творчості з наліпками, що переміщуються ""Тварини""";-2,000;4 020,84;;
Травень 2024;Djeco;DJ09072;"Djeco Набір з переміщуваними наклейками ""Будинок""";3,000;4 189,80;;
Травень 2024;Djeco;DJ09073;"Djeco Набір для творчості з наліпками, що переміщуються ""Автомобілі""";2,000;5 033,10;;
Травень 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";11,000;2 535,72;;
Травень 2024;Djeco;DJ09101;"Djeco Гра ""Великі джунглі""";4,000;3 009,90;;
Травень 2024;Djeco;DJ09102;"Djeco Гра ""Кубанімо""";8,000;3 283,80;;
Травень 2024;Djeco;DJ09200;"Djeco Грим для обличчя ""Супер герой""";-1,000;-432,72;;
Травень 2024;Djeco;DJ09201;"Djeco Грим для обличчя ""Пірат""";-2,000;-652,08;;
Травень 2024;Djeco;DJ09215;"Djeco Набір наліпок для обличчя ""Леопард""";-1,000;-76,80;;
Травень 2024;Djeco;DJ09216;"Djeco Набір наліпок для обличчя ""Король""";-4,000;-307,20;;
Травень 2024;Djeco;DJ09217;"Djeco Набір наліпок для обличчя ""Дракон""";-4,000;-307,20;;
Травень 2024;Djeco;DJ09218;"Djeco Набір наліпок для обличчя ""Череп""";-2,000;-153,60;;
Травень 2024;Djeco;DJ09230;"Djeco Грим для обличчя, палітра 6 кольорів ""Природа""";5,000;10 462,26;;
Травень 2024;Djeco;DJ09231;"Djeco Грим для обличчя, палітра 6 кольорів ""Ніжність""";19,000;15 335,94;;
Травень 2024;Djeco;DJ09260;"Djeco Набір наліпок ""Рай""";-1,000;-89,70;;
Травень 2024;Djeco;DJ09263;"Djeco Набір наліпок ""Ретро іграшки""";-1,000;-89,70;;
Травень 2024;Djeco;DJ09265;"Djeco Набір наліпок ""Галактика""";-3,000;-269,10;;
Травень 2024;Djeco;DJ09268;"Djeco Набір наліпок ""Екзотика""";-1,000;-102,60;;
Травень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";7,000;1 257,60;;
Травень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";21,000;53 298,30;;
Травень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";13,000;42 659,82;;
Травень 2024;Djeco;DJ09311;"Djeco Набір для творчості Фабрика мистецтва ""Колесо огляду""";2,000;-185,10;;
Травень 2024;Djeco;DJ09312;"Djeco Набір для творчості Фабрика мистецтва ""Діадеми""";17,000;4 715,46;;
Травень 2024;Djeco;DJ09314;"Djeco Набір для творчості Фабрика мистецтва ""На глибині""";-1,000;-528,12;;
Травень 2024;Djeco;DJ09320;"Djeco Набір для творчості ""Брошка Bunny Girl Factory E - text""";24,000;6 263,22;;
Травень 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";25,000;70 527,78;;
Травень 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";10,000;60 383,34;;
Травень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";2,000;17 890,80;;
Травень 2024;Djeco;DJ09373;"DJECO Художній комплект для малювання ""Пустеля""";2,000;1 190,88;;
Травень 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";8,000;11 856,06;;
Травень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";12,000;26 062,14;;
Травень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";32,000;26 143,20;;
Травень 2024;Djeco;DJ09436;"Djeco Набір для творчості ""Сад""";13,000;7 197,96;;
Травень 2024;Djeco;DJ09437;"Djeco Набір для творчості ""Ніч""";2,000;2 686,80;;
Травень 2024;Djeco;DJ09460;"Djeco Художні патчі металізовані ""Мелодії""";3,000;542,70;;
Травень 2024;Djeco;DJ09461;"Djeco Художні патчі металізовані ""Природа""";-1,000;-557,58;;
Травень 2024;Djeco;DJ09462;"Djeco Художні патчі металізовані ""Космос""";8,000;1 447,20;;
Травень 2024;Djeco;DJ09463;"Djeco Художні патчі металізовані ""Динозаври""";2,000;527,64;;
Травень 2024;Djeco;DJ09465;"Djeco Художні патчі з блискітками ""Пелюстки""";1,000;-141,06;;
Травень 2024;Djeco;DJ09466;"Djeco Художні патчі з блискітками ""Океан""";23,000;3 838,74;;
Травень 2024;Djeco;DJ09470;"Djeco Художні патчі з блискітками ""Солодощі""";37,000;6 275,46;;
Травень 2024;Djeco;DJ09496;"Djeco Художній комплект для творчості, пластик ""Райдужний кінь""";-1,000;-332,70;;
Травень 2024;Djeco;DJ09498;Djeco Набір для створення аксесуарів для волосся;6,000;7 832,28;;
Травень 2024;Djeco;DJ09499;Djeco Набір для створення каблучок;13,000;7 618,14;;
Травень 2024;Djeco;DJ09500;"Djeco Художній комплект малювання блискітками ""Блискучі вбрання""";-2,000;3 495,54;;
Травень 2024;Djeco;DJ09503;"Djeco Художній комплект малювання блискітками ""Блискучі метелики""";5,000;15 380,76;;
Травень 2024;Djeco;DJ09507;"Djeco Художній комплект малювання блискітками ""Сяючі русалки""";3,000;11 017,80;;
Травень 2024;Djeco;DJ09508;"Djeco Художній комплект малювання блискітками ""Аромат квітів""";7,000;17 382,57;;
Травень 2024;Djeco;DJ09509;"Djeco Художній комплект малювання кольоровими блискітками ""Тропіки""";2,000;3 367,32;;
Травень 2024;Djeco;DJ09522;"Djeco Набір для творчості ""Райські пташки""";20,000;30 357,54;;
Травень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";3,000;8 514,12;;
Травень 2024;Djeco;DJ09558;"Djeco Комікс ""Літаюча Софія""";1,000;218,10;;
Травень 2024;Djeco;DJ09559;"Djeco Комікс ""Сейлор і Гіпсі""";1,000;218,10;;
Травень 2024;Djeco;DJ09579;"Djeco Набір наліпок на тіло ""Забавні маленькі картинки""";24,000;7 873,62;;
Травень 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";22,000;8 800,08;;
Травень 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";20,000;7 341,96;;
Травень 2024;Djeco;DJ09590;"Djeco Набір наліпок на тіло ""Космос""";-1,000;3 604,98;;
Травень 2024;Djeco;DJ09612;"Djeco Набір наліпок на тіло ""Ласощі""";14,000;5 995,86;;
Травень 2024;Djeco;DJ09623;"Djeco Художній комплект для малювання ""Ліс""";-1,000;-128,40;;
Травень 2024;Djeco;DJ09628;"Djeco Художній комплект для малювання - розмальовка ""Глибоке море""";-1,000;-92,70;;
Травень 2024;Djeco;DJ09707;"Djeco Набір для скретчингу ""Вишукані сукні""";16,000;1 908,48;;
Травень 2024;Djeco;DJ09736;"Djeco Набір скретч - наліпок ""Діамант""";3,000;3,10;;
Травень 2024;Djeco;DJ09737;"Djeco Набір скретч - наліпок ""Метал""";1,000;-670,50;;
Травень 2024;Djeco;DJ09807;"Djeco Набір для творчості з дерев'яними намистинами ""Маленькі тварини""";20,000;16 648,38;;
Травень 2024;Djeco;DJ09808;"Djeco Набір для творчості з дерев'яними намистинами ""Квіти""";45,000;24 964,14;;
Травень 2024;Djeco;DJ09809;"Djeco Набір для творчості з дерев'яними намистинами ""Пташки""";-7,000;5 784,66;;
Травень 2024;Djeco;DJ09810;"Djeco Набір для творчості з дерев'яними намистинами ""Метелики""";32,000;20 261,52;;
Травень 2024;Djeco;DJ09826;Djeco Набір великий для шиття;-2,000;-1 160,04;;
Травень 2024;Djeco;DJ09837;"DJECO Набір для виготовлення обручів ""Скарби мрій""";13,000;7 363,98;;
Травень 2024;Djeco;DJ09838;"Djeco Набір для плетіння браслетів ""Яскраві браслети""";17,000;33 362,94;;
Травень 2024;Djeco;DJ09863;"Djeco Художній комплект аплікація ""М'які істоти""";5,000;10 644,42;;
Травень 2024;Djeco;DJ09864;"Djeco Художній комплект аплікація ""Солодка природа""";27,000;25 285,20;;
Травень 2024;Djeco;DJ09867;"Djeco Набір для творчості ""М'які собаки""";54,000;45 335,10;;
Травень 2024;Djeco;DJ09868;"Djeco Набір для творчості ""Кучеряві тварини""";27,000;25 051,20;;
