Дата;Бренд;Артикул;Назва товару;Кількість, шт;Сума, грн;;
Січень 2024;Djeco;DJ09056;"Djeco Набір для створення колажу ""Знову і знову""";53,000;13 102,20;;
Січень 2024;Djeco;DJ09063;"Djeco Художній комплект для малювання водою ""Що заховано в саду?""";23,000;6 659,22;;
Січень 2024;Djeco;DJ09065;"Djeco Художній комплект для малювання водою ""Що навколо?""";46,000;12 765,84;;
Січень 2024;Djeco;DJ09066;"Djeco Художній комплект для малювання водою ""У дорозі""";30,000;8 098,32;;
Січень 2024;Djeco;DJ09071;"Djeco Набір для творчості з наліпками, що переміщуються ""Тварини""";8,000;1 719,24;;
Січень 2024;Djeco;DJ09072;"Djeco Набір з переміщуваними наклейками ""Будинок""";27,000;5 950,50;;
Січень 2024;Djeco;DJ09073;"Djeco Набір для творчості з наліпками, що переміщуються ""Автомобілі""";13,000;2 894,58;;
Січень 2024;Djeco;DJ09074;"Djeco Художній комплект для малювання водою ""В морі, в небі, на землі""";45,000;10 155,60;;
Січень 2024;Djeco;DJ09075;"Djeco Художній комплект для малювання водою ""В парку""";31,000;6 980,28;;
Січень 2024;Djeco;DJ09101;"Djeco Гра ""Великі джунглі""";1,000;874,38;;
Січень 2024;Djeco;DJ09102;"Djeco Гра ""Кубанімо""";2,000;1 733,64;;
Січень 2024;Djeco;DJ09232;"Djeco Грим для обличчя, палітра 6 кольорів ""Металік""";1,000;193,86;;
Січень 2024;Djeco;DJ09268;"Djeco Набір наліпок ""Екзотика""";21,000;1 919,88;;
Січень 2024;Djeco;DJ09272;"DJECO Набір наліпок ""Сад""";70,000;6 555,42;;
Січень 2024;Djeco;DJ09293;"Djeco Набір для творчості ""Будиночки для тварин""";39,000;26 344,50;;
Січень 2024;Djeco;DJ09294;"Djeco Набір для творчості ""Підводний світ""";65,000;44 116,56;;
Січень 2024;Djeco;DJ09311;"Djeco Набір для творчості Фабрика мистецтва ""Колесо огляду""";3,000;1 498,14;;
Січень 2024;Djeco;DJ09312;"Djeco Набір для творчості Фабрика мистецтва ""Діадеми""";5,000;2 407,50;;
Січень 2024;Djeco;DJ09330;"Djeco Набір для творчості ""Світ квітів""";5,000;4 164,00;;
Січень 2024;Djeco;DJ09331;"Djeco Набір для творчості ""Світ динозаврів""";50,000;42 723,00;;
Січень 2024;Djeco;DJ09348;"Djeco Набір для творчості ""Проти світла""";43,000;23 913,06;;
Січень 2024;Djeco;DJ09373;"DJECO Художній комплект для малювання ""Пустеля""";3,000;1 904,34;;
Січень 2024;Djeco;DJ09381;"Djeco Художній комплект для малювання ""Балерина""";11,000;5 080,32;;
Січень 2024;Djeco;DJ09409;"Djeco Художній комплект малювання блискітками ""Казкова країна"" ";1,000;458,22;;
Січень 2024;Djeco;DJ09422;"Djeco Набір для творчості - мозаїка ""Глибоко в джунглях""";4,000;1 814,52;;
Січень 2024;Djeco;DJ09425;"Djeco Набір для творчості - мозаїка ""Милі тваринки""";2,000;886,50;;
Січень 2024;Djeco;DJ09463;"Djeco Художні патчі металізовані ""Динозаври""";7,000;2 008,26;;
Січень 2024;Djeco;DJ09465;"Djeco Художні патчі з блискітками ""Пелюстки""";8,000;2 400,72;;
Січень 2024;Djeco;DJ09470;"Djeco Художні патчі з блискітками ""Солодощі""";1,000;311,88;;
Січень 2024;Djeco;DJ09498;Djeco Набір для створення аксесуарів для волосся;4,000;1 162,32;;
Січень 2024;Djeco;DJ09499;Djeco Набір для створення каблучок;2,000;458,40;;
Січень 2024;Djeco;DJ09500;"Djeco Художній комплект малювання блискітками ""Блискучі вбрання""";2,000;873,72;;
Січень 2024;Djeco;DJ09503;"Djeco Художній комплект малювання блискітками ""Блискучі метелики""";1,000;436,86;;
Січень 2024;Djeco;DJ09509;"Djeco Художній комплект малювання кольоровими блискітками ""Тропіки""";2,000;936,12;;
Січень 2024;Djeco;DJ09522;"Djeco Набір для творчості ""Райські пташки""";22,000;10 204,86;;
Січень 2024;Djeco;DJ09524;"Djeco Художній комплект малювання кольоровим піском ""Чарівний карнавал""";27,000;12 714,30;;
Січень 2024;Djeco;DJ09558;"Djeco Комікс ""Літаюча Софія""";2,000;436,20;;
Січень 2024;Djeco;DJ09559;"Djeco Комікс ""Сейлор і Гіпсі""";2,000;436,20;;
Січень 2024;Djeco;DJ09575;"Djeco Набір наліпок на тіло ""Єдиноріг""";16,000;2 001,60;;
Січень 2024;Djeco;DJ09579;"Djeco Набір наліпок на тіло ""Забавні маленькі картинки""";45,000;5 478,24;;
Січень 2024;Djeco;DJ09584;"Djeco Набір наліпок на тіло ""Пірати""";9,000;1 082,52;;
Січень 2024;Djeco;DJ09585;"Djeco Набір наліпок на тіло ""Польові квіти""";45,000;5 100,84;;
Січень 2024;Djeco;DJ09586;"Djeco Набір наліпок на тіло ""Фіона""";24,000;2 931,78;;
Січень 2024;Djeco;DJ09587;"Djeco Набір наліпок на тіло ""Дженіс""";55,000;6 575,46;;
