source,n_features,total_gain,mean_gain,max_gain,pct_of_total
internal,61,4454600.592476606,73026.23922092798,1262395.2157638073,96.17
nbu_fx,7,68109.24259233475,9729.891798904964,27060.59206056595,1.47
holidays_ua,11,43339.518014431,3939.9561831300907,14190.572081327438,0.94
weather_ua,6,40634.39288234711,6772.398813724518,13677.490406990051,0.88
gtrends_ua,3,23592.41384792328,7864.137949307759,10179.709439754486,0.51
school_ua,6,1672.8276953697205,278.80461589495343,1149.2624564170837,0.04
