model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3923,0.504,5.6579,-0.6279
V7_base,test,0.3728,0.5095,6.5206,-0.6134
V7_cal,val,0.3905,0.5037,5.6406,-0.6655
V7_cal,test,0.3709,0.5081,6.5033,-0.6552
V7,val,0.3905,0.5037,5.6406,-0.6655
V7,test,0.3709,0.5081,6.5033,-0.6552
V7_stacked,val,0.3836,0.5499,4.8611,0.2394
V7_stacked,test,0.407,0.6001,5.5741,0.2753
