model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4034,0.5092,4.7578,-0.6559
V7_base,test,0.4351,0.5571,5.8331,-0.9213
V7_cal,val,0.4038,0.4997,4.7529,-0.605
V7_cal,test,0.4316,0.5436,5.7908,-0.8607
V7,val,0.3377,0.44,4.0403,-0.3305
V7,test,0.4213,0.5801,5.2747,-0.4674
V7_stacked,val,0.3741,0.4906,3.7638,0.023
V7_stacked,test,0.4135,0.562,4.477,-0.0472
