model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3958,0.5173,4.2638,-0.3994
V7_base,test,0.4114,0.5415,5.0886,-0.525
V7_cal,val,0.3938,0.5188,4.2573,-0.4175
V7_cal,test,0.4093,0.543,5.0785,-0.5394
V7,val,0.3433,0.4599,3.8956,-0.3263
V7,test,0.414,0.5782,4.9391,-0.4172
V7_stacked,val,0.3897,0.515,3.8252,0.0824
V7_stacked,test,0.4285,0.5807,4.4819,0.046
