model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3809,0.4975,4.1517,-0.4085
V7_base,test,0.4216,0.5983,5.0883,-0.3972
V7_cal,val,0.3794,0.4984,4.1491,-0.4245
V7_cal,test,0.4212,0.6017,5.0943,-0.4125
V7,val,0.3289,0.4333,3.7787,-0.3352
V7,test,0.4234,0.6182,4.9783,-0.2698
V7_stacked,val,0.3685,0.4877,3.7211,0.1188
V7_stacked,test,0.4244,0.5948,4.5039,0.1418
