model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3927,0.5081,5.5187,-0.6017
V7_base,test,0.3764,0.508,6.4798,-0.6864
V7_cal,val,0.3905,0.506,5.5014,-0.6408
V7_cal,test,0.3745,0.5058,6.4617,-0.7291
V7,val,0.3905,0.506,5.5014,-0.6408
V7,test,0.3745,0.5058,6.4617,-0.7291
V7_stacked,val,0.3827,0.5485,4.8513,0.2126
V7_stacked,test,0.4052,0.5999,5.5736,0.2719
