tag,family,category,OOF_safe,val_SIMSCORE,val_WAPE,val_bias,val_M_WAPE,test_SIMSCORE,test_WAPE,test_bias,test_M_WAPE,val_rows,test_rows,gap_SIMSCORE,gap_bias_abs
v131_relaxed,V13,ensemble_or_stack,True,0.3767,0.3326,-3.868,0.0495,0.4322,0.3907,0.05,0.0825,30012,17507,0.0554999999999999,-3.818
v132_relaxed,V13,ensemble_or_stack,True,0.3748,0.3331,-3.523,0.0482,0.4329,0.3913,-0.048,0.0828,30012,17507,0.0580999999999999,-3.475
v11_test_aware,V11,ensemble_or_stack,False,0.3765398600267208,0.334665167060335,-3.1711243006416105,0.0520381429263554,0.436666436680435,0.3926238545929064,0.2148928436674132,0.0859362357383829,31368,18298,0.0601265766537141,-2.9562314569741974
v123_champion,V12.3,ensemble_or_stack,True,0.3583,0.3291,-1.857,0.0397,0.4416,0.3912,2.147,0.0794,30012,17507,0.0832999999999999,0.2899999999999998
v125_champion,V12.5,ensemble_or_stack,True,0.3583,0.3291,-1.857,0.0397,0.4416,0.3912,2.147,0.0794,30012,17507,0.0832999999999999,0.2899999999999998
v11_relaxed,V11,ensemble_or_stack,True,0.3619430877431765,0.3317454141322203,-2.025214012934801,0.0401432070925643,0.4417060642340349,0.393879165570439,1.937761645091268,0.0762761808762792,31368,18298,0.0797629764908584,-0.087452367843533
v122_champion,V12.2,ensemble_or_stack,True,0.3595,0.3303,-1.88,0.0396,0.4435,0.3931,2.135,0.0794,31368,18298,0.084,0.2549999999999999
v126_champion,V12.6,ensemble_or_stack,True,0.3601,0.3336,-1.339,0.0397,0.4438,0.3929,2.845,0.0733,31368,18298,0.0837,1.5060000000000002
v11_final,V11,ensemble_or_stack,True,0.3554423814560415,0.3310832179296492,-1.4522588058379609,0.0341957389944049,0.4447110969891336,0.3949920398502037,2.799196046143516,0.0714461538164245,31368,18298,0.089268715533092,1.346937240305555
v121_champion,V12.1,ensemble_or_stack,True,0.3588,0.3305,-1.737,0.0392,0.4453,0.3937,2.357,0.0796,31368,18298,0.0864999999999999,0.6200000000000001
v9_lad,V9,ensemble_or_stack,True,0.3617432653407726,0.3457962767296172,-0.5255002306107827,0.026638974916203,0.4498988655462705,0.4149823001885212,0.2461602688891669,0.067371528026607,31368,18298,0.0881556002054978,-0.2793399617216157
v121_meta,V12.1,ensemble_or_stack,True,0.3532,0.331,-1.02,0.0341,0.4523,0.3955,3.327,0.0803,31368,18298,0.0990999999999999,2.307
v121_final,V12.1,ensemble_or_stack,True,0.3537,0.3336,-0.747,0.0326,0.4556,0.3973,3.377,0.0829,31368,18298,0.1018999999999999,2.63
v121_lad,V12.1,ensemble_or_stack,True,0.3503,0.3317,-0.588,0.0314,0.4568,0.3969,3.856,0.0812,31368,18298,0.1064999999999999,3.268
v11_lad,V11,ensemble_or_stack,True,0.3511411133288001,0.3340430121641269,0.2160213218596187,0.0320359891107502,0.4597719794655323,0.4005585571946676,4.855840091308655,0.0698684436286428,31368,18298,0.1086308661367321,4.639818769449036
v12_final,V12,ensemble_or_stack,True,0.3514,0.3321,-0.595,0.0327,0.4607,0.3983,4.483,0.0801,31368,18298,0.1093,3.888
