model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3982,0.5146,4.2779,-0.4507
V7_base,test,0.4091,0.5373,5.1039,-0.5426
V7_cal,val,0.396,0.515,4.2703,-0.4688
V7_cal,test,0.4069,0.5381,5.0933,-0.5559
V7,val,0.396,0.515,4.2703,-0.4688
V7,test,0.4069,0.5381,5.0933,-0.5559
V7_stacked,val,0.4031,0.5384,3.9339,0.0495
V7_stacked,test,0.419,0.5675,4.5238,-0.0083
