model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4258,0.5172,4.3712,-0.352
V7_base,test,0.4196,0.5359,4.9836,-0.3765
V7_cal,val,0.422,0.5284,4.354,-0.3869
V7_cal,test,0.4153,0.5459,4.9578,-0.4119
V7,val,0.422,0.5284,4.354,-0.3869
V7,test,0.4153,0.5459,4.9578,-0.4119
V7_stacked,val,0.4255,0.5751,4.077,0.1407
V7_stacked,test,0.4459,0.6163,4.5644,0.1629
