model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4086,0.5014,4.8643,-0.7775
V7_base,test,0.444,0.5467,6.0056,-1.0918
V7_cal,val,0.4087,0.4921,4.8572,-0.7224
V7_cal,test,0.4408,0.5365,5.9636,-1.034
V7,val,0.34,0.4406,4.1214,-0.3621
V7,test,0.4285,0.5805,5.424,-0.5793
V7_stacked,val,0.3829,0.5046,3.8195,0.0284
V7_stacked,test,0.4177,0.5671,4.5037,-0.0515
