model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4067,0.4983,4.8431,-0.7677
V7_base,test,0.4433,0.5468,6.0157,-1.0658
V7_cal,val,0.4066,0.4872,4.837,-0.7185
V7_cal,test,0.4398,0.5338,5.9665,-1.0107
V7,val,0.3417,0.4427,4.1088,-0.3332
V7,test,0.431,0.5775,5.4582,-0.5755
V7_stacked,val,0.3848,0.5072,3.8216,0.0302
V7_stacked,test,0.4207,0.5691,4.5057,-0.0563
