model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4493,0.5577,3.0947,-0.4606
V7_base,test,0.4428,0.5503,3.2328,-0.5053
V7_cal,val,0.4485,0.5537,3.0852,-0.4347
V7_cal,test,0.4396,0.5444,3.224,-0.4954
V7,val,0.4485,0.5537,3.0852,-0.4347
V7,test,0.4396,0.5444,3.224,-0.4954
V7_stacked,val,0.4347,0.5816,2.8195,0.1119
V7_stacked,test,0.4744,0.6106,3.2117,0.253
