Партнер,Артикул,Период,Бренд,forecast_monthly,demand_lead_time,safety_stock,reorder_point,current_stock_orc,recommended_order
БІ,005362I,2026-02,Infantino,1.9,3.9,139.5,143.4,0.0,143
ТА-ДA,S3018h,2026-02,Cubic Fun,1.6,3.3,138.6,141.9,0.0,142
ТА-ДA,S3006h,2026-02,Cubic Fun,1.6,3.3,136.4,139.7,0.0,140
ТА-ДA,S3031h,2026-02,Cubic Fun,1.6,3.3,134.1,137.4,0.0,137
БІ,304889I,2026-02,Infantino,1.4,2.9,131.0,133.9,0.0,134
БІ,216429I,2026-02,Infantino,1.4,2.9,131.0,133.9,0.0,134
БІ,305079,2026-02,Infantino,1.4,2.9,128.8,131.7,0.0,132
БІ,005209,2026-02,unknown,19.3,38.7,28.3,66.9,0.0,67
БІ,005364,2026-02,unknown,18.2,36.3,25.4,61.7,0.0,62
БІ,L532h,2026-02,Cubic Fun,1.8,3.7,54.4,58.0,0.0,58
Антошка,005209,2026-02,unknown,15.5,31.0,23.9,54.9,0.0,55
Епіцентр,005209,2026-02,unknown,14.5,29.0,17.6,46.7,0.0,47
БІ,206301I,2026-02,Infantino,1.9,3.9,39.2,43.1,0.0,43
Чудо Острів,005209,2026-02,unknown,15.1,30.1,13.3,43.4,0.0,43
БІ,306161I,2026-02,Infantino,2.4,4.7,36.9,41.6,0.0,42
БІ,L525h,2026-02,Cubic Fun,1.9,3.9,37.5,41.4,0.0,41
БІ,L523h,2026-02,Cubic Fun,1.9,3.9,37.5,41.4,0.0,41
БІ,216314_I,2026-02,Infantino,1.9,3.9,35.9,39.8,0.0,40
БІ,305031,2026-02,Infantino,1.9,3.9,35.3,39.2,0.0,39
БІ,DS1079h,2026-02,Cubic Fun,1.6,3.3,34.9,38.2,0.0,38
БІ,206893I,2026-02,Infantino,1.9,3.9,31.8,35.6,0.0,36
БІ,S3026h,2026-02,Cubic Fun,1.9,3.9,30.4,34.3,0.0,34
Чудо Острів,L523h,2026-02,Cubic Fun,1.9,3.9,29.2,33.1,0.0,33
БІ,216273,2026-02,Infantino,1.9,3.9,29.6,33.5,0.0,33
БІ,316329,2026-02,Infantino,1.9,3.9,28.2,32.1,0.0,32
БІ,306912I,2026-02,Infantino,1.9,3.9,28.3,32.2,0.0,32
Епіцентр,DS0986h,2026-02,Cubic Fun,1.4,2.7,28.2,30.9,0.0,31
ТА-ДA,C300h,2026-02,Cubic Fun,7.2,14.4,15.5,29.9,0.0,30
ТА-ДA,S3012h,2026-02,Cubic Fun,1.6,3.3,25.3,28.6,0.0,29
БІ,DS0976h,2026-02,Cubic Fun,1.9,3.9,25.3,29.2,0.0,29
БІ,L534h,2026-02,Cubic Fun,1.6,3.3,25.7,29.0,0.0,29
БІ,216289I,2026-02,Infantino,1.8,3.6,25.6,29.1,0.0,29
БІ,DJ09292,2026-02,Djeco,1.5,2.9,26.4,29.3,0.0,29
БІ,216271I,2026-02,Infantino,1.8,3.6,24.7,28.2,0.0,28
БІ,216571,2026-02,Infantino,1.6,3.3,24.6,27.9,0.0,28
БІ,C238h,2026-02,Cubic Fun,1.8,3.6,24.0,27.5,0.0,28
БІ,S3031h,2026-02,Cubic Fun,1.9,3.9,22.8,26.7,0.0,27
БІ,DS1057h,2026-02,Cubic Fun,1.6,3.3,23.2,26.5,0.0,27
Акварель,C01044,2026-02,Cubic Fun,7.6,15.2,11.4,26.5,0.0,27
БІ,DJ05270,2026-02,Djeco,1.8,3.6,23.0,26.6,0.0,27
ТА-ДA,S3026h,2026-02,Cubic Fun,1.6,3.3,23.5,26.7,0.0,27
БІ,DJ00086,2026-02,Djeco,1.6,3.3,22.6,25.9,0.0,26
ТА-ДA,S3009h,2026-02,Cubic Fun,1.6,3.3,22.8,26.0,0.0,26
Чудо Острів,216314_I,2026-02,Infantino,1.8,3.6,22.0,25.5,0.0,26
Чудо Острів,206105I,2026-02,Infantino,1.8,3.6,22.7,26.3,0.0,26
ТА-ДA,S3015h,2026-02,Cubic Fun,1.6,3.3,23.2,26.5,0.0,26
ТА-ДA,S3008h,2026-02,Cubic Fun,1.6,3.3,22.8,26.0,0.0,26
БІ,305087,2026-02,Infantino,1.8,3.5,22.1,25.6,0.0,26
Чудо Острів,306161I,2026-02,Infantino,1.9,3.9,20.9,24.8,0.0,25
БІ,MC253h,2026-02,Cubic Fun,1.8,3.6,21.5,25.1,0.0,25
БІ,S3015h,2026-02,Cubic Fun,1.9,3.9,21.2,25.1,0.0,25
БІ,T4035h,2026-02,Cubic Fun,1.9,3.9,21.1,25.0,0.0,25
БІ,216216I,2026-02,Infantino,1.4,2.9,21.6,24.5,0.0,25
БІ,206105I,2026-02,Infantino,1.9,3.9,21.3,25.1,0.0,25
Епіцентр,S3018h,2026-02,Cubic Fun,1.3,2.6,22.6,25.1,0.0,25
Епіцентр,S3007h,2026-02,Cubic Fun,1.8,3.6,20.7,24.3,0.0,24
Антошка,216271I,2026-02,Infantino,1.5,3.1,21.1,24.1,0.0,24
Антошка,216314_I,2026-02,Infantino,1.6,3.3,20.5,23.8,0.0,24
БІ,315092,2026-02,Infantino,1.8,3.6,20.8,24.3,0.0,24
БІ,315259,2026-02,Infantino,1.0,2.1,22.1,24.2,0.0,24
БІ,L540h,2026-02,Cubic Fun,1.6,3.3,19.2,22.5,0.0,23
БІ,S3018h,2026-02,Cubic Fun,1.4,2.9,20.3,23.2,0.0,23
Антошка,005362I,2026-02,Infantino,1.8,3.6,19.5,23.0,0.0,23
Антошка,306912I,2026-02,Infantino,1.8,3.6,19.4,23.0,0.0,23
Антошка,304889I,2026-02,Infantino,1.0,2.1,20.4,22.5,0.0,23
БІ,304893I,2026-02,Infantino,0.9,1.7,21.1,22.8,0.0,23
БІ,216267I,2026-02,Infantino,1.4,2.9,20.3,23.2,0.0,23
Антошка,306161I,2026-02,Infantino,1.4,2.9,19.9,22.8,0.0,23
БІ,T4018h,2026-02,Cubic Fun,1.4,2.9,20.3,23.2,0.0,23
БІ,DJ08120,2026-02,Djeco,1.4,2.9,20.3,23.2,0.0,23
БІ,T4019h,2026-02,Cubic Fun,1.4,2.7,20.5,23.3,0.0,23
БІ,206688I,2026-02,Infantino,1.4,2.9,20.3,23.2,0.0,23
БІ,DS0978h,2026-02,Cubic Fun,1.7,3.5,19.7,23.2,0.0,23
Епіцентр,S3008h,2026-02,Cubic Fun,1.5,3.1,19.3,22.4,0.0,22
БІ,307015,2026-02,Infantino,0.3,0.6,21.7,22.3,0.0,22
Акварель,S3018h,2026-02,Cubic Fun,1.3,2.6,19.3,21.9,0.0,22
Белес,C238h,2026-02,Cubic Fun,0.8,1.5,20.0,21.5,0.0,22
ТА-ДA,S3010h,2026-02,Cubic Fun,1.6,3.3,18.7,22.0,0.0,22
Віват Канцелярія,DJ08842,2026-02,Djeco,0.8,1.6,20.0,21.6,0.0,22
БІ,DS1087h,2026-02,Cubic Fun,1.6,3.3,18.8,22.1,0.0,22
Чудо Острів,005362I,2026-02,Infantino,1.8,3.6,18.2,21.8,0.0,22
БІ,DJ09699,2026-02,Djeco,1.6,3.3,18.8,22.1,0.0,22
Акварель,S3006h,2026-02,Cubic Fun,1.0,2.1,18.7,20.8,0.0,21
БІ,304890I,2026-02,Infantino,1.4,2.9,17.8,20.7,0.0,21
Епіцентр,L525h,2026-02,Cubic Fun,1.8,3.6,17.9,21.5,0.0,21
БІ,DJ09108,2026-02,Djeco,1.4,2.9,18.1,21.0,0.0,21
БІ,DJ09868,2026-02,Djeco,1.4,2.9,17.8,20.7,0.0,21
БІ,DD03766,2026-02,Djeco,1.6,3.3,18.1,21.4,0.0,21
БІ,DJ08166,2026-02,Djeco,1.4,2.9,17.8,20.7,0.0,21
Белес,S3018h,2026-02,Cubic Fun,1.4,2.8,18.3,21.1,0.0,21
Епіцентр,216314_I,2026-02,Infantino,1.9,3.9,16.7,20.6,0.0,21
БІ,MC254h,2026-02,Cubic Fun,1.7,3.3,17.8,21.2,0.0,21
БІ,DS0986h,2026-02,Cubic Fun,1.9,3.9,17.4,21.3,0.0,21
БІ,306307I,2026-02,Infantino,1.4,2.9,17.8,20.7,0.0,21
БІ,DJ08157,2026-02,Djeco,1.4,2.9,17.8,20.7,0.0,21
БІ,DJ09863,2026-02,Djeco,1.9,3.9,17.4,21.3,0.0,21
БІ,DJ09332,2026-02,Djeco,1.4,2.9,18.5,21.4,0.0,21
БІ,DJ09064,2026-02,Djeco,1.4,2.9,17.8,20.7,0.0,21
Чудо Острів,DS0976h,2026-02,Cubic Fun,2.3,4.7,16.3,21.0,0.0,21
БІ,216279I,2026-02,Infantino,1.4,2.9,17.8,20.7,0.0,21
Епіцентр,MC255h,2026-02,Cubic Fun,1.4,2.7,18.0,20.7,0.0,21
БІ,S3006h,2026-02,Cubic Fun,1.9,3.9,17.4,21.3,0.0,21
Белес,MC267h,2026-02,Cubic Fun,1.7,3.4,16.8,20.1,0.0,20
Епіцентр,S3010h,2026-02,Cubic Fun,1.3,2.6,17.6,20.1,0.0,20
Епіцентр,S3006h,2026-02,Cubic Fun,1.3,2.6,17.9,20.5,0.0,20
Епіцентр,216267I,2026-02,Infantino,0.8,1.7,18.2,19.9,0.0,20
БІ,DD03765,2026-02,Djeco,1.6,3.3,16.3,19.6,0.0,20
Чудо Острів,216429I,2026-02,Infantino,1.0,2.1,17.9,20.0,0.0,20
Антошка,004915I,2026-02,Infantino,1.0,2.1,17.8,19.9,0.0,20
Антошка,206688I,2026-02,Infantino,1.4,2.9,17.3,20.2,0.0,20
ІМ-Розетка,S3018h,2026-02,Cubic Fun,0.0,0.0,20.0,20.0,0.0,20
Белес,MC256h,2026-02,Cubic Fun,1.7,3.4,16.8,20.1,0.0,20
Белес,C080h,2026-02,Cubic Fun,1.4,2.8,17.6,20.4,0.0,20
БІ,005378I,2026-02,Infantino,1.0,2.1,18.4,20.4,0.0,20
Чудо Острів,216271I,2026-02,Infantino,1.5,3.1,17.1,20.1,0.0,20
Чудо Острів,L532h,2026-02,Cubic Fun,0.4,0.8,19.5,20.3,0.0,20
Чудо Острів,005058,2026-02,unknown,6.1,12.1,7.2,19.3,0.0,19
БІ,DJ09330,2026-02,Djeco,1.8,3.6,15.1,18.7,0.0,19
БІ,DJ09750,2026-02,Djeco,1.9,3.9,14.9,18.8,0.0,19
БІ,DJ07114,2026-02,Djeco,1.4,2.9,15.6,18.5,0.0,19
БІ,DJ08860,2026-02,Djeco,1.9,3.9,14.9,18.8,0.0,19
Антошка,305079,2026-02,Infantino,1.4,2.9,16.3,19.2,0.0,19
БІ,DJ09585,2026-02,Djeco,1.3,2.6,16.2,18.8,0.0,19
БІ,DJ08533,2026-02,Djeco,1.4,2.9,16.0,18.9,0.0,19
БІ,DJ09838,2026-02,Djeco,1.9,3.9,14.9,18.8,0.0,19
БІ,DJ09575,2026-02,Djeco,1.0,2.0,16.8,18.8,0.0,19
БІ,DJ08897,2026-02,Djeco,1.8,3.6,15.1,18.7,0.0,19
БІ,DJ08164,2026-02,Djeco,1.0,2.1,17.1,19.2,0.0,19
Антошка,305031,2026-02,Infantino,1.8,3.5,15.9,19.4,0.0,19
БІ,DJ08165,2026-02,Djeco,1.4,2.9,15.6,18.5,0.0,19
БІ,212017I,2026-02,Infantino,1.4,2.9,15.6,18.5,0.0,19
БІ,DS0990h,2026-02,Cubic Fun,1.9,3.9,15.3,19.1,0.0,19
БІ,DJ08557,2026-02,Djeco,1.8,3.6,15.1,18.7,0.0,19
Епіцентр,216569,2026-02,Infantino,1.4,2.9,16.5,19.4,0.0,19
Антошка,216569,2026-02,Infantino,1.4,2.9,16.2,19.1,0.0,19
БІ,MC256h,2026-02,Cubic Fun,1.5,3.1,15.5,18.5,0.0,19
БІ,DJ08151,2026-02,Djeco,1.5,3.1,15.5,18.5,0.0,19
БІ,316196,2026-02,Infantino,0.6,1.2,16.3,17.5,0.0,18
БІ,C080h,2026-02,Cubic Fun,0.8,1.7,16.1,17.8,0.0,18
БІ,DJ05117,2026-02,Djeco,1.3,2.6,15.5,18.0,0.0,18
БІ,C060h,2026-02,Cubic Fun,1.0,2.1,16.2,18.3,0.0,18
Епіцентр,005362I,2026-02,Infantino,1.8,3.6,14.1,17.6,0.0,18
ІМ-Розетка,005209,2026-02,unknown,4.1,8.1,10.2,18.3,0.0,18
БІ,DJ07161,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
БІ,DJ07112,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
БІ,DJ09867,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
БІ,DJ05161,2026-02,Djeco,1.3,2.6,15.5,18.0,0.0,18
БІ,316188I,2026-02,Infantino,1.4,2.9,14.6,17.5,0.0,18
БІ,315319,2026-02,Infantino,1.6,3.3,15.0,18.3,0.0,18
Епіцентр,T4035h,2026-02,Cubic Fun,1.5,3.1,14.6,17.7,0.0,18
ІМ-Розетка,DJ08550,2026-02,Djeco,0.0,0.0,17.6,17.6,0.0,18
БІ,S3010h,2026-02,Cubic Fun,1.4,2.9,15.2,18.1,0.0,18
БІ,DJ09428,2026-02,Djeco,1.5,2.9,14.9,17.9,0.0,18
БІ,DD03768,2026-02,Djeco,1.5,2.9,15.3,18.2,0.0,18
Антошка,DS1087h,2026-02,Cubic Fun,1.5,2.9,14.7,17.6,0.0,18
Акварель,L525h,2026-02,Cubic Fun,0.8,1.7,16.1,17.8,0.0,18
БІ,DJ09230,2026-02,Djeco,1.3,2.6,15.5,18.0,0.0,18
БІ,DJ08932,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
Акварель,S3010h,2026-02,Cubic Fun,1.0,2.1,15.8,17.9,0.0,18
Акварель,S3026h,2026-02,Cubic Fun,1.5,3.1,15.1,18.2,0.0,18
Акварель,DS0990h,2026-02,Cubic Fun,1.3,2.6,15.5,18.1,0.0,18
Акварель,DS0986h,2026-02,Cubic Fun,1.5,3.1,14.6,17.7,0.0,18
БІ,DJ08664,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
БІ,T4012h,2026-02,Cubic Fun,1.3,2.6,15.8,18.4,0.0,18
Епіцентр,MC253h,2026-02,Cubic Fun,1.6,3.2,14.5,17.6,0.0,18
Епіцентр,DS0976h,2026-02,Cubic Fun,1.4,2.7,15.0,17.7,0.0,18
БІ,DJ08542,2026-02,Djeco,1.8,3.6,14.8,18.3,0.0,18
БІ,DJ08196,2026-02,Djeco,1.6,3.3,14.4,17.7,0.0,18
Епіцентр,206105I,2026-02,Infantino,1.9,3.9,14.0,17.9,0.0,18
БІ,DJ08158,2026-02,Djeco,1.4,2.9,14.8,17.7,0.0,18
Чудо Острів,005373,2026-02,unknown,6.2,12.4,5.5,18.0,0.0,18
Епіцентр,L523h,2026-02,Cubic Fun,1.2,2.4,15.5,17.9,0.0,18
БІ,DJ08463,2026-02,Djeco,1.4,2.9,15.2,18.1,0.0,18
Акварель,T4035h,2026-02,Cubic Fun,1.9,3.9,14.5,18.4,0.0,18
Акварель,DJ08860,2026-02,Djeco,1.5,3.1,15.0,18.0,0.0,18
Антошка,305174,2026-02,Infantino,0.8,1.6,16.8,18.5,0.0,18
БІ,T4005h,2026-02,Cubic Fun,1.4,2.9,15.2,18.1,0.0,18
БІ,216570I,2026-02,Infantino,1.3,2.6,15.5,18.0,0.0,18
БІ,216569,2026-02,Infantino,1.4,2.9,15.6,18.5,0.0,18
Епіцентр,S3026h,2026-02,Cubic Fun,0.6,1.3,15.6,16.9,0.0,17
БІ,MC255h,2026-02,Cubic Fun,1.5,3.1,13.7,16.8,0.0,17
Антошка,216279I,2026-02,Infantino,0.5,1.0,15.9,16.8,0.0,17
Епіцентр,304889I,2026-02,Infantino,1.0,2.1,15.1,17.1,0.0,17
БІ,DD03767,2026-02,Djeco,1.6,3.3,14.1,17.4,0.0,17
БІ,DJ09596,2026-02,Djeco,0.8,1.7,15.2,16.9,0.0,17
Чудо Острів,305031,2026-02,Infantino,1.5,3.0,14.1,17.2,0.0,17
БІ,216276,2026-02,Infantino,1.3,2.5,14.6,17.1,0.0,17
БІ,315093I,2026-02,Infantino,1.9,3.9,13.1,17.0,0.0,17
Епіцентр,216279I,2026-02,Infantino,1.0,2.1,15.1,17.1,0.0,17
БІ,DJ09232,2026-02,Djeco,1.8,3.6,13.3,16.8,0.0,17
БІ,DJ08194,2026-02,Djeco,1.6,3.3,13.7,17.0,0.0,17
Антошка,212017I,2026-02,Infantino,1.0,2.1,15.1,17.1,0.0,17
БІ,216320I,2026-02,Infantino,0.1,0.1,17.1,17.2,0.0,17
БІ,004627I,2026-02,Infantino,1.0,2.1,13.9,16.0,0.0,16
БІ,DJ08841,2026-02,Djeco,0.8,1.7,14.2,15.9,0.0,16
БІ,DJ09810,2026-02,Djeco,1.3,2.6,13.6,16.1,0.0,16
БІ,DJ09074,2026-02,Djeco,1.6,3.3,12.8,16.1,0.0,16
БІ,DJ00026,2026-02,Djeco,1.5,2.9,12.7,15.7,0.0,16
БІ,DS1059h,2026-02,Cubic Fun,1.2,2.4,13.1,15.5,0.0,16
Антошка,216571,2026-02,Infantino,1.8,3.6,12.5,16.1,0.0,16
БІ,DJ09871,2026-02,Djeco,1.4,2.9,13.5,16.4,0.0,16
Чудо Острів,305079,2026-02,Infantino,1.2,2.4,14.0,16.5,0.0,16
Сільпо,T4035h,2026-02,Cubic Fun,0.4,0.7,15.3,16.0,0.0,16
БІ,DJ09293,2026-02,Djeco,1.4,2.9,13.5,16.4,0.0,16
Епіцентр,S3031h,2026-02,Cubic Fun,1.8,3.6,12.9,16.5,0.0,16
Акварель,S3031h,2026-02,Cubic Fun,1.0,2.1,13.9,16.0,0.0,16
БІ,DJ08797,2026-02,Djeco,1.6,3.3,12.8,16.1,0.0,16
БІ,T4017h,2026-02,Cubic Fun,1.4,2.9,13.4,16.3,0.0,16
БІ,DJ08550,2026-02,Djeco,1.4,2.9,13.3,16.2,0.0,16
Акварель,DS0976h,2026-02,Cubic Fun,0.8,1.7,14.8,16.5,0.0,16
Антошка,304890I,2026-02,Infantino,1.0,2.1,14.1,16.1,0.0,16
БІ,DJ08477,2026-02,Djeco,1.4,2.9,13.4,16.3,0.0,16
БІ,DJ08464,2026-02,Djeco,1.3,2.6,13.6,16.2,0.0,16
Епіцентр,306161I,2026-02,Infantino,1.8,3.6,12.9,16.5,0.0,16
БІ,DJ08451,2026-02,Djeco,0.8,1.7,14.3,15.9,0.0,16
МайПлей,005209,2026-02,unknown,5.0,9.9,6.2,16.1,0.0,16
БІ,DJ07162,2026-02,Djeco,1.6,3.3,12.7,16.0,0.0,16
БІ,DJ09425,2026-02,Djeco,1.4,2.9,13.5,16.4,0.0,16
БІ,DJ05208,2026-02,Djeco,0.5,1.0,15.0,15.9,0.0,16
Акварель,DS0980h,2026-02,Cubic Fun,0.8,1.7,14.0,15.6,0.0,16
Чудо Острів,305087,2026-02,Infantino,0.4,0.8,14.0,14.9,0.0,15
Антошка,DJ09863,2026-02,Djeco,1.0,2.1,12.9,15.0,0.0,15
БІ,L538h,2026-02,Cubic Fun,1.4,2.8,12.7,15.5,0.0,15
Антошка,DJ09064,2026-02,Djeco,1.0,2.1,12.9,15.0,0.0,15
Епіцентр,S3015h,2026-02,Cubic Fun,1.3,2.6,12.5,15.2,0.0,15
Акварель,DD03766,2026-02,Djeco,1.2,2.4,12.9,15.4,0.0,15
БІ,305048I,2026-02,Infantino,0.1,0.1,15.2,15.3,0.0,15
БІ,315364,2026-02,Infantino,1.0,2.1,13.0,15.1,0.0,15
БІ,DS1097h,2026-02,Cubic Fun,1.0,2.0,13.2,15.2,0.0,15
БІ,DJ00070,2026-02,Djeco,1.0,2.1,12.6,14.7,0.0,15
БІ,DS0992h,2026-02,Cubic Fun,1.0,2.1,13.0,15.1,0.0,15
БІ,W3302h,2026-02,Cubic Fun,1.0,2.1,12.6,14.7,0.0,15
БІ,P867h,2026-02,Cubic Fun,1.0,2.1,12.6,14.7,0.0,15
Сільпо,S3015h,2026-02,Cubic Fun,1.3,2.6,11.9,14.5,0.0,15
Епіцентр,L532h,2026-02,Cubic Fun,1.4,2.8,12.0,14.8,0.0,15
БІ,DJ07922,2026-02,Djeco,1.3,2.6,12.6,15.2,0.0,15
БІ,P865h,2026-02,Cubic Fun,1.0,2.1,12.6,14.7,0.0,15
Епіцентр,206301I,2026-02,Infantino,1.5,3.1,11.9,14.9,0.0,15
Чудо Острів,005364,2026-02,unknown,3.0,6.1,8.5,14.6,0.0,15
Акварель,L532h,2026-02,Cubic Fun,1.4,2.8,11.9,14.7,0.0,15
БІ,DJ08827,2026-02,Djeco,1.0,2.1,12.6,14.7,0.0,15
БІ,T4039h,2026-02,Cubic Fun,1.4,2.9,11.6,14.5,0.0,15
БІ,W3301h,2026-02,Cubic Fun,1.0,2.1,12.6,14.7,0.0,15
БІ,W3300h,2026-02,Cubic Fun,1.0,2.1,12.6,14.7,0.0,15
БІ,DJ08830,2026-02,Djeco,0.8,1.7,13.5,15.1,0.0,15
БІ,DJ08934,2026-02,Djeco,1.0,2.1,12.1,14.2,0.0,14
БІ,315281,2026-02,Infantino,0.9,1.7,12.0,13.7,0.0,14
БІ,L536h,2026-02,Cubic Fun,1.0,2.1,12.3,14.3,0.0,14
Антошка,MC254h,2026-02,Cubic Fun,0.5,1.0,13.2,14.2,0.0,14
БІ,302032,2026-02,Infantino,0.8,1.6,12.6,14.2,0.0,14
БІ,DJ08526,2026-02,Djeco,1.4,2.8,11.4,14.2,0.0,14
Акварель,T4018h,2026-02,Cubic Fun,1.0,2.1,12.1,14.2,0.0,14
Епіцентр,216271I,2026-02,Infantino,1.8,3.6,10.1,13.6,0.0,14
БІ,W3303h,2026-02,Cubic Fun,1.0,2.1,12.4,14.4,0.0,14
БІ,DJ09231,2026-02,Djeco,1.3,2.6,11.8,14.3,0.0,14
Акварель,T4031h,2026-02,Cubic Fun,0.6,1.3,12.4,13.6,0.0,14
МайПлей,005058,2026-02,unknown,4.2,8.5,5.2,13.7,0.0,14
Чудо Острів,304890I,2026-02,Infantino,1.0,2.1,12.2,14.3,0.0,14
Смік,005209,2026-02,unknown,3.6,7.1,7.3,14.5,0.0,14
БІ,DJ00056,2026-02,Djeco,1.2,2.4,11.6,14.1,0.0,14
БІ,P866h,2026-02,Cubic Fun,1.0,2.1,12.3,14.3,0.0,14
БІ,DJ09329,2026-02,Djeco,0.5,1.0,13.0,14.0,0.0,14
Антошка,216429I,2026-02,Infantino,0.8,1.7,11.5,13.2,0.0,13
Чудо Острів,216279I,2026-02,Infantino,1.0,2.1,11.3,13.4,0.0,13
Чудо Острів,DS0978h,2026-02,Cubic Fun,0.1,0.1,12.6,12.7,0.0,13
Антошка,315093I,2026-02,Infantino,1.8,3.6,9.4,13.0,0.0,13
Антошка,004896I,2026-02,Infantino,0.8,1.7,11.5,13.2,0.0,13
БІ,C241h,2026-02,Cubic Fun,0.8,1.7,11.4,13.1,0.0,13
Віват Канцелярія,DJ05104,2026-02,Djeco,1.8,3.5,9.1,12.6,0.0,13
Епіцентр,T4018h,2026-02,Cubic Fun,1.0,2.1,11.1,13.1,0.0,13
Антошка,DJ08157,2026-02,Djeco,0.8,1.7,11.4,13.0,0.0,13
Антошка,DJ08151,2026-02,Djeco,0.8,1.7,11.5,13.2,0.0,13
БІ,S3008h,2026-02,Cubic Fun,1.5,3.1,10.2,13.3,0.0,13
Антошка,216289I,2026-02,Infantino,1.1,2.3,11.1,13.3,0.0,13
БІ,DS1098h,2026-02,Cubic Fun,1.0,2.0,11.2,13.3,0.0,13
Антошка,005364,2026-02,unknown,4.6,9.3,4.0,13.3,0.0,13
БІ,T4031h,2026-02,Cubic Fun,0.3,0.5,12.3,12.8,0.0,13
БІ,DJ09586,2026-02,Djeco,0.8,1.7,11.4,13.1,0.0,13
БІ,DJ09587,2026-02,Djeco,1.0,2.1,11.2,13.2,0.0,13
БІ,DJ09807,2026-02,Djeco,2.3,4.7,8.4,13.1,0.0,13
Віват Канцелярія,T4035h,2026-02,Cubic Fun,1.5,3.1,10.1,13.1,0.0,13
Епіцентр,MC254h,2026-02,Cubic Fun,1.4,2.7,10.0,12.7,0.0,13
Антошка,316188I,2026-02,Infantino,0.5,1.0,11.7,12.7,0.0,13
Антошка,DJ08166,2026-02,Djeco,1.0,2.1,11.1,13.1,0.0,13
БІ,302035,2026-02,Infantino,1.2,2.4,10.1,12.5,0.0,13
Чудо Острів,L534h,2026-02,Cubic Fun,0.9,1.7,10.9,12.6,0.0,13
БІ,316745I,2026-02,Infantino,1.0,2.1,10.7,12.8,0.0,13
БІ,004915I,2026-02,Infantino,1.3,2.6,10.3,12.8,0.0,13
Чудо Острів,T4018h,2026-02,Cubic Fun,1.5,3.1,9.2,12.3,0.0,12
Антошка,DJ08165,2026-02,Djeco,1.0,2.1,9.9,11.9,0.0,12
БІ,DJ09839,2026-02,Djeco,1.5,3.0,8.8,11.8,0.0,12
Антошка,216267I,2026-02,Infantino,1.0,2.1,9.9,12.0,0.0,12
БІ,DD03446,2026-02,Djeco,0.2,0.5,11.2,11.7,0.0,12
БІ,T4011h,2026-02,Cubic Fun,1.3,2.6,9.6,12.2,0.0,12
БІ,DJ09522,2026-02,Djeco,1.0,2.1,9.9,11.9,0.0,12
Сільпо,S3018h,2026-02,Cubic Fun,0.0,0.0,12.5,12.5,0.0,12
Чудо Острів,DS0990h,2026-02,Cubic Fun,0.4,0.8,11.6,12.4,0.0,12
Епіцентр,005058,2026-02,unknown,3.9,7.7,4.0,11.7,0.0,12
БІ,316497,2026-02,Infantino,1.0,2.0,9.7,11.7,0.0,12
БІ,DJ05123,2026-02,Djeco,1.5,3.1,9.2,12.3,0.0,12
БІ,005373,2026-02,unknown,4.0,8.1,4.0,12.1,0.0,12
БІ,316051I,2026-02,Infantino,1.3,2.6,9.5,12.1,0.0,12
Чудо Острів,206688I,2026-02,Infantino,0.8,1.7,10.2,11.8,0.0,12
БІ,DJ09015,2026-02,Djeco,1.3,2.5,9.0,11.6,0.0,12
БІ,DJ08982,2026-02,Djeco,1.0,1.9,10.4,12.4,0.0,12
Антошка,L532h,2026-02,Cubic Fun,1.0,2.0,10.5,12.5,0.0,12
БІ,315201,2026-02,Infantino,1.2,2.4,9.8,12.2,0.0,12
Чудо Острів,206301I,2026-02,Infantino,1.5,3.1,9.2,12.3,0.0,12
БІ,216560I,2026-02,Infantino,0.9,1.7,10.2,11.9,0.0,12
БІ,307038,2026-02,Infantino,0.6,1.2,10.9,12.1,0.0,12
БІ,MC267h,2026-02,Cubic Fun,1.5,3.1,8.6,11.6,0.0,12
БІ,DJ08571,2026-02,Djeco,2.3,4.7,6.2,10.9,0.0,11
Акварель,DS1087h,2026-02,Cubic Fun,1.0,1.9,9.2,11.2,0.0,11
Чудо Острів,216320I,2026-02,Infantino,0.1,0.1,11.1,11.3,0.0,11
БІ,DJ09422,2026-02,Djeco,1.0,2.1,8.9,11.0,0.0,11
Епіцентр,S3012h,2026-02,Cubic Fun,0.1,0.1,11.1,11.3,0.0,11
Акварель,C238h,2026-02,Cubic Fun,0.8,1.7,9.4,11.1,0.0,11
Епіцентр,DS0978h,2026-02,Cubic Fun,1.7,3.5,7.1,10.6,0.0,11
Акварель,L523h,2026-02,Cubic Fun,1.3,2.6,8.5,11.2,0.0,11
БІ,DJ08595,2026-02,Djeco,0.6,1.2,9.6,10.8,0.0,11
Епіцентр,316329,2026-02,Infantino,1.8,3.7,6.8,10.5,0.0,11
Антошка,W3300h,2026-02,Cubic Fun,1.0,2.1,8.7,10.8,0.0,11
Акварель,MC253h,2026-02,Cubic Fun,0.8,1.5,9.5,11.1,0.0,11
БІ,DJ05104,2026-02,Djeco,2.1,4.3,6.7,10.9,0.0,11
