model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.42,0.5099,4.3154,-0.3892
V7_base,test,0.4177,0.531,4.9539,-0.4086
V7_cal,val,0.4162,0.5201,4.2992,-0.4328
V7_cal,test,0.4139,0.5401,4.936,-0.4542
V7,val,0.4162,0.5201,4.2992,-0.4328
V7,test,0.4139,0.5401,4.936,-0.4542
V7_stacked,val,0.4205,0.5558,4.044,0.1015
V7_stacked,test,0.4329,0.5881,4.5212,0.0902
