Период,actual,v9,v10,bias_v9_pct,bias_v10_pct,rmse_v9,rmse_v10,sse_v9,sse_v10,sse_delta,sse_delta_pct,rows
2024-07,11191.0,10830.6406,10987.8073,-3.2201,-1.8157,3.0973,3.0896,25077.1283,24952.1521,-124.9762,-0.4984,2614
2024-08,11301.0,11364.7447,11353.2299,0.5641,0.4622,2.2645,2.2382,13404.76,13094.4366,-310.3234,-2.315,2614
2024-09,10802.0,10912.8315,10874.5577,1.026,0.6717,2.5961,2.5582,17617.5439,17106.8127,-510.7312,-2.899,2614
2024-10,11711.0,11655.1954,11630.2076,-0.4765,-0.6899,3.7779,3.7164,37307.8815,36103.0046,-1204.8769,-3.2296,2614
2024-11,13705.0,13401.2468,13442.443,-2.2164,-1.9158,3.5122,3.5024,32244.9218,32065.6511,-179.2707,-0.556,2614
2024-12,28920.0,28950.6111,28847.8558,0.1058,-0.2495,7.1226,7.1251,132612.9569,132705.2743,92.3174,0.0696,2614
2025-01,12778.0,13105.1031,13230.374,2.5599,3.5403,2.7184,2.5416,19315.9841,16885.2518,-2430.7323,-12.584,2614
2025-02,9859.0,10370.0514,10532.4874,5.1836,6.8312,3.5321,3.4339,32611.821,30823.2925,-1788.5285,-5.4843,2614
2025-03,10798.0,9839.9246,9687.7088,-8.8727,-10.2824,3.5171,3.4929,32335.9617,31891.1086,-444.8532,-1.3757,2614
2025-04,8829.0,8496.7863,8451.5362,-3.7628,-4.2753,3.7165,3.7385,36106.4627,36534.1531,427.6905,1.1845,2614
2025-05,9630.0,9273.5615,9163.3893,-3.7013,-4.8454,3.4281,3.3001,30720.1424,28467.631,-2252.5114,-7.3324,2614
2025-06,8883.0,9426.4237,9361.492,6.1176,5.3866,3.0639,2.8813,24539.217,21701.4137,-2837.8033,-11.5644,2614
2025-07,9828.0,10039.2425,9906.4527,2.1494,0.7983,3.6066,3.5427,34001.4264,32807.7371,-1193.6892,-3.5107,2614
2025-08,10023.0,10830.3343,10748.0446,8.0548,7.2338,2.9508,2.8807,22761.2839,21692.064,-1069.2199,-4.6975,2614
2025-09,9219.0,10668.4018,10542.611,15.7219,14.3574,3.2161,3.0566,27038.1378,24421.4102,-2616.7277,-9.6779,2614
2025-10,11507.0,11880.5,11568.1086,3.2459,0.5311,3.551,3.4163,32960.9569,30507.8548,-2453.1021,-7.4424,2614
2025-11,13604.0,12758.5527,12686.322,-6.2147,-6.7456,4.6487,4.5428,56488.6745,53946.1674,-2542.5071,-4.5009,2614
2025-12,24807.0,25112.8658,24858.8043,1.233,0.2088,9.1157,9.1561,217214.257,219141.2847,1927.0277,0.8872,2614
2026-01,11151.0,9070.9894,14414.9275,-18.6531,29.2703,4.1673,3.9767,45394.8447,41338.6696,-4056.1751,-8.9353,2614
