model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4232,0.5194,4.3762,-0.3532
V7_base,test,0.426,0.5389,5.0979,-0.4507
V7_cal,val,0.42,0.5262,4.3692,-0.41
V7_cal,test,0.4222,0.5447,5.084,-0.4995
V7,val,0.42,0.5262,4.3692,-0.41
V7,test,0.4222,0.5447,5.084,-0.4995
V7_stacked,val,0.4247,0.5722,4.0713,0.135
V7_stacked,test,0.4445,0.6118,4.5614,0.1474
