tag,test_SIMSCORE,test_WAPE,test_M_WAPE,abs_test_bias,OOF_gap,val_SIMSCORE
naiveS,0.1975109133118247,0.0,0.7581832890390366,0.6456968551848192,0.720002667837832,0.2704633080166806
v10_lad,0.9642779589055388,0.9791956648001754,0.9890412023412555,0.8636788799234565,0.6639493431129413,1.0
v11_final,0.9958103994150206,0.9974804781922462,0.9883653864360973,0.92980633199556,0.7350371531290751,0.9918139325789892
