model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3925,0.4822,4.4769,-0.6341
V7_base,test,0.4176,0.5346,5.4389,-0.7467
V7_cal,val,0.3905,0.4866,4.465,-0.6399
V7_cal,test,0.417,0.5408,5.4383,-0.7559
V7,val,0.3324,0.4348,3.953,-0.3575
V7,test,0.4169,0.5741,5.187,-0.4304
V7_stacked,val,0.3832,0.5103,3.8177,0.1005
V7_stacked,test,0.4229,0.5776,4.5181,0.0704
