model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3977,0.5117,4.5621,-0.619
V7_base,test,0.4257,0.5636,5.5532,-0.8537
V7_cal,val,0.398,0.5023,4.5544,-0.5446
V7_cal,test,0.4221,0.5531,5.4965,-0.7756
V7,val,0.3366,0.4439,3.9787,-0.3271
V7,test,0.4204,0.585,5.1625,-0.4728
V7_stacked,val,0.3766,0.4939,3.7613,0.0395
V7_stacked,test,0.4162,0.563,4.4504,-0.034
