model,split,WAPE,MAPE_nz,RMSE,Bias
V4,val,0.4869,0.5277,3.7201,-0.083
V4,test,0.5022,0.5322,5.0443,-0.3212
V5,val,0.4722,0.543,3.6169,0.0005
V5,test,0.5113,0.5734,5.146,-0.1943
