model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3982,0.5135,4.6474,-0.6009
V7_base,test,0.4314,0.5651,5.7229,-0.8372
V7_cal,val,0.3983,0.5036,4.6395,-0.5408
V7_cal,test,0.4288,0.5556,5.6762,-0.7744
V7,val,0.3386,0.4401,4.0446,-0.3681
V7,test,0.426,0.5832,5.319,-0.4758
V7_stacked,val,0.3842,0.5079,3.8071,0.077
V7_stacked,test,0.4236,0.574,4.5042,0.036
