model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3847,0.4995,4.2245,-0.4305
V7_base,test,0.4195,0.5871,5.165,-0.4476
V7_cal,val,0.3832,0.4995,4.2216,-0.4474
V7_cal,test,0.4189,0.5889,5.1716,-0.465
V7,val,0.3314,0.4381,3.8179,-0.3061
V7,test,0.4238,0.6135,4.9912,-0.2599
V7_stacked,val,0.3689,0.4855,3.7233,0.0539
V7_stacked,test,0.4215,0.5841,4.4871,0.0696
