model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.7262,0.6196,3.6741,-0.1134
V7_base,test,0.915,0.6393,2.3654,0.0505
V7_cal,val,0.6995,0.6478,3.6596,-0.2718
V7_cal,test,0.872,0.6723,2.372,-0.1424
V7,val,0.6995,0.6478,3.6596,-0.2718
V7,test,0.872,0.6723,2.372,-0.1424
V7_stacked,val,0.7702,0.7049,3.503,0.3085
V7_stacked,test,0.9825,0.696,2.4794,0.2986
