model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3996,0.516,4.6957,-0.5669
V7_base,test,0.4263,0.5654,5.5977,-0.7619
V7_cal,val,0.4001,0.5057,4.6925,-0.5257
V7_cal,test,0.4232,0.5527,5.5615,-0.7144
V7,val,0.3389,0.4372,4.0915,-0.3774
V7,test,0.4237,0.5794,5.2687,-0.4531
V7_stacked,val,0.3848,0.5074,3.8127,0.0864
V7_stacked,test,0.4236,0.5737,4.4902,0.0582
