model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3976,0.5165,4.6391,-0.5535
V7_base,test,0.4303,0.5678,5.7046,-0.814
V7_cal,val,0.3979,0.5081,4.6337,-0.4989
V7_cal,test,0.4277,0.5602,5.6644,-0.7571
V7,val,0.3394,0.4388,4.0621,-0.3843
V7,test,0.4239,0.5806,5.2879,-0.5098
V7_stacked,val,0.38,0.5024,3.7872,0.0833
V7_stacked,test,0.419,0.5725,4.4778,0.0292
