feature,gain_clf,gain_reg,gain_total
rmean_3,85660.66434693336,17478.052139759064,103138.71648669243
stock_tt_lag_1,83110.21126246452,6682.398665904999,89792.60992836952
sales_qty_rmean_3_lag1,66417.65857934952,5916.747381925583,72334.4059612751
wm_first_week_share_lag1,28457.10544013977,1019.5916074514389,29476.69704759121
Группа_товара,16408.736876249313,8971.350893378258,25380.08776962757
wm_avg_qty_per_day_lag1_3mavg,20982.607750415802,3582.8885949850082,24565.49634540081
rmean_12,15068.127294540405,6036.067520737648,21104.194815278053
was_censored,19121.83375120163,0.0,19121.83375120163
inv_to_sales_tt,15230.422511339188,3388.0424493551254,18618.464960694313
stockout_tt,16938.991912841797,182.52108907699585,17121.513001918793
stock_tt_lag_2,13897.026566505432,2346.4270697832108,16243.453636288643
partner_total,8466.23429608345,3865.881386399269,12332.11568248272
demand_density,8537.37683558464,2716.5457805395126,11253.922616124153
sales_qty_rmean_12_lag1,6704.496618032455,3583.5192444324493,10288.015862464905
wm_avg_qty_per_day_lag1,7089.910314083099,2928.752140522003,10018.662454605103
inv_to_sales_orc,7294.08434343338,2390.738919854164,9684.823263287544
wm_weekly_cv_lag1_3mavg,5527.496834278107,1933.2608997821808,7460.7577340602875
stock_orc_depletion_lag1,4219.589775800705,2522.396350979805,6741.98612678051
cohort_demand_lag1,3667.853143453598,2914.8395125865936,6582.692656040192
tt_to_orc_ratio_lag1,4027.111524581909,2440.9990183115005,6468.11054289341
wm_mid_week_share_lag1,5094.242916107178,1247.2475391626358,6341.4904552698135
wm_bc_last_week_share_lag1,3871.3689494132996,2373.9786890745163,6245.347638487816
wm_first_week_share_lag1_3mavg,4076.0013313293457,2079.485302090645,6155.4866334199905
sales_lead_signal_lag1,3233.0178644657135,2814.3664078712463,6047.38427233696
wm_bc_weekly_cv_lag1,3780.0362343788147,2229.2757884263992,6009.312022805214
lag_1,2523.788929462433,3414.4827044010162,5938.271633863449
stock_orc_lag_3,3471.7864825725555,2435.648288846016,5907.4347714185715
sales_share_of_brand_lag1,3284.4731826782227,2492.058237671852,5776.531420350075
recv_qty_rmean_6_lag1,3385.7516601085663,2289.5270227193832,5675.2786828279495
lag_1_Количество_ship,1978.1751327514648,3377.3137773275375,5355.488910079002
rmean_6,1649.4855515956879,3703.059467434883,5352.545019030571
rcv_6,2745.2416965961456,2459.8418296575546,5205.0835262537
price_vs_rrc,2713.1065044403076,2459.03616130352,5172.142665743828
wm_bc_first_week_share_lag1,2885.598256111145,2244.5306409597397,5130.128897070885
rstd_6,2762.9255571365356,2342.97476041317,5105.9003175497055
sku_price_elasticity,2714.753874063492,2256.3484095335007,4971.1022835969925
stock_tt_lag_3,2846.1556339263916,2064.9961199760437,4911.151753902435
wm_max_day_share_lag1_3mavg,2710.931440591812,2018.565878868103,4729.497319459915
sku_share_brand,3103.390499353409,1572.966922044754,4676.357421398163
sell_through_ratio_lag2,2211.6507029533386,2442.497978925705,4654.148681879044
stock_orc_lag_2,2613.0069139003754,2021.6272760629654,4634.634189963341
sell_through_ratio_lag1,3239.2295281887054,1389.8064395189285,4629.035967707634
lag_1_Количество_orc,2450.8120856285095,2127.171961784363,4577.984047412872
sku_promo_sensitivity,2518.9971837997437,2041.9753986597061,4560.97258245945
sales_yoy_ratio_lag1,1684.2980179786682,2271.7635201215744,3956.0615381002426
РРЦ,2971.955061674118,933.5708694458008,3905.525931119919
Тип_соглашения,3682.561685562134,200.80283880233765,3883.3645243644714
recv_qty_rmean_3_lag1,2153.742223739624,1727.8654288053513,3881.6076525449753
rstd_3,1840.2811374664307,2017.0451397895813,3857.326277256012
lag_min_3,2266.9705722332,1577.1201734542847,3844.0907456874847
sku_age_months,2339.112850189209,1489.8180780410767,3828.9309282302856
demand_cv,2183.7012367248535,1606.9149619340897,3790.616198658943
wm_weekend_share_lag1_3mavg,3262.5414714813232,311.44448018074036,3573.9859516620636
sales_qty_growth_lag1,1405.4618036746979,2152.6797013282776,3558.1415050029755
lag_1_Выручка_sales,1553.357722043991,1954.1714125871658,3507.529134631157
wm_mid_week_share_lag1_3mavg,1207.8376705646515,2228.0072013139725,3435.844871878624
demand_accel,1663.8534429073334,1762.989419579506,3426.8428624868393
months_until_next_promo,1840.9866166114807,1527.9920570850372,3368.978673696518
wm_last_week_share_lag1_3mavg,1169.8304300308228,2117.97438120842,3287.8048112392426
price_lag3,1859.4666812419891,1354.9277684688568,3214.394449710846
cohort_stockout_share_lag1,1600.4492802619934,1602.4553201198578,3202.904600381851
stock_tt_velocity_lag1,1745.2564268112183,1365.1665514707565,3110.422978281975
month,1444.276885509491,1636.3088899850845,3080.5857754945755
cohort_size,1640.3145728111267,1414.3331297636032,3054.64770257473
brand_total,1838.1784267425537,1142.6864495277405,2980.864876270294
wm_n_shipments_lag1_3mavg,2007.2152965068817,930.3257913589478,2937.5410878658295
brand_active,1699.0107636451721,1222.290529370308,2921.30129301548
recv_to_ship_ratio_lag1,1522.8573479652405,1377.3020812273026,2900.159429192543
lag_12,1154.3476212024689,1512.4032814502716,2666.7509026527405
sales_ship_ratio,1376.8835988044739,1260.845279932022,2637.728878736496
months_since_demand,2334.8264350891113,237.09717071056366,2571.923605799675
yoy_ratio,812.001980304718,1675.25414788723,2487.256128191948
stockout_orc,2284.5858755111694,98.12573957443237,2382.711615085602
demand_velocity,944.2019410133362,1402.528492808342,2346.730433821678
recv_qty_growth_lag1,1204.9954929351807,1116.6234076023102,2321.618900537491
wm_max_day_share_lag1,968.4273793697357,1236.4381518363953,2204.865531206131
yoy_diff,780.645049571991,1363.6979509592056,2144.3430005311966
ext_ukrstat_births_births_yoy_pct,1357.1460981369019,754.5774289369583,2111.72352707386
lag_6,893.040239572525,1165.6418498754501,2058.682089447975
wm_weekly_cv_lag1,805.6695227622986,1185.3375198841095,1991.007042646408
price_lag1,1082.9145803451538,898.2164418697357,1981.1310222148895
ext_ukrstat_rti_retail_trade_idx_yoy_pct,1332.0188755989075,635.9187200069427,1967.9375956058502
recv_qty_lag_6,1017.6939857006073,818.238499045372,1835.9324847459793
sales_qty_lag_13,811.3124895095825,1008.7036018371582,1820.0160913467407
wm_peak_week_lag1_3mavg,839.3472220897675,967.1215586662292,1806.4687807559967
ext_wiki_pageviews_wiki_pv_toys_total,1215.1478791236877,541.8004785776138,1756.9483577013016
price_vs_brand_median,784.1886029243469,923.2894510030746,1707.4780539274216
days_of_supply_orc_lag1,700.2672643661499,1004.3121898174286,1704.5794541835785
sales_qty_rmean_6_lag1,625.9386608600616,1025.6895108222961,1651.6281716823578
lag_3,605.7257301807404,970.0155086517334,1575.7412388324738
price_vs_channel_median,852.4793407917023,707.4684702157974,1559.9478110074997
lag_2,626.1807413101196,931.3009989261627,1557.4817402362823
uah_eur_mom_pct,867.190012216568,672.3043792247772,1539.4943914413452
wm_last_week_share_lag1,564.8202924728394,973.0979418754578,1537.9182343482971
lag_max_3,679.4098515510559,780.9004690647125,1460.3103206157684
ext_wiki_pageviews_wiki_pv_franchises_total,1021.2592942714691,434.53973042964935,1455.7990247011185
recv_qty_lag_3,771.2693228721619,639.8261984586716,1411.0955213308334
ext_airraid_oblast_airraid_alerts_count_month,838.372819185257,499.1942889690399,1337.5671081542969
ext_iom_idp_idp_returns_count_month,953.368152141571,364.4913696050644,1317.8595217466354
cannibalisation_pressure,656.3155291080475,601.0827007293701,1257.3982298374176
ext_ukrstat_indprod_indprod_idx,835.8811588287354,418.3109298944473,1254.1920887231827
sales_qty_lag_1,291.60197257995605,795.1083862781525,1086.7103588581085
days_to_easter,670.1602883338928,403.3821314573288,1073.5424197912216
ext_ukrstat_rti_retail_trade_idx,558.0406727790833,506.26780021190643,1064.3084729909897
release_prior_month,588.6675908565521,464.35799050331116,1053.0255813598633
ext_airraid_oblast_airraid_total_hours_month,606.4716639518738,428.2591919898987,1034.7308559417725
ext_nbu_cci_cci_present,665.5336313247681,365.62430930137634,1031.1579406261444
intensity_mom_delta,703.0566697120667,324.014680147171,1027.0713498592377
ext_wiki_pageviews_wiki_pv_brands_total,627.9065113067627,379.0933802127838,1006.9998915195465
ext_wiki_pageviews_wiki_pv_yoy_pct,511.3372583389282,486.4346593618393,997.7719177007675
trends_toys_general,609.680917263031,364.978520154953,974.659437417984
Канал,753.0227403640747,197.62004053592682,950.6427809000015
price_change_3m_pct,392.99499893188477,555.1146893501282,948.1096882820129
months_since_invasion,637.8846492767334,297.17006039619446,935.0547096729279
trends_toy_brands,523.0153875350952,389.46401143074036,912.4793989658356
recv_qty_lag_2,585.3074402809143,319.909659743309,905.2171000242233
month_cos,566.6790127754211,335.6900587081909,902.3690714836121
stock_orc_lag_1,521.3753442764282,369.3568091392517,890.7321534156799
ext_ukrstat_births_births_total,545.8530077934265,343.7905105352402,889.6435183286667
uah_usd_mom_pct,573.1182506084442,236.94525909423828,810.0635097026825
days_to_womens_day,486.7200982570648,297.21823012828827,783.9383283853531
trends_board_games_puzzles,496.4847893714905,284.98293924331665,781.4677286148071
sales_qty_lag_12,419.1978688240051,348.74876856803894,767.9466373920441
uah_eur_eom,401.74034881591797,347.5879487991333,749.3282976150513
release_next_month,494.5384500026703,240.5530104637146,735.0914604663849
Сегмент_ABC,404.6447777748108,311.6388906240463,716.2836683988571
recv_qty_lag_1,434.41914081573486,263.67897057533264,698.0981113910675
days_to_ny,301.1856007575989,383.9902813434601,685.175882101059
wm_n_shipments_lag1,222.6176197528839,448.7117372751236,671.3293570280075
lag_range_3,232.62410163879395,424.9096097946167,657.5337114334106
promo_discount_pct,185.26467990875244,365.6378502845764,550.9025301933289
wm_peak_week_lag1,187.57289934158325,339.4228194952011,526.9957188367844
months_since_last_promo,307.51631259918213,181.50054121017456,489.0168538093567
holiday_count,206.97600078582764,261.880299448967,468.8563002347946
nbu_policy_rate_diff_3m,322.25170969963074,144.18682026863098,466.4385299682617
ext_ukrstat_rti_retail_trade_nonfood_idx,295.06058049201965,154.84973001480103,449.9103105068207
ext_ukrstat_rti_retail_trade_food_idx,302.142493724823,137.1630800962448,439.3055738210678
conflict_intensity,254.42076873779297,174.64323043823242,429.0639991760254
family_releases_influence,201.68794202804565,208.71675062179565,410.4046926498413
Бренд,251.76967668533325,141.66199028491974,393.431666970253
days_to_childrens_day,180.01449012756348,209.99356949329376,390.00805962085724
sales_qty_lag_6,138.9833402633667,247.1160100698471,386.0993503332138
sales_qty_lag_3,171.66011095046997,189.7963696718216,361.45648062229156
uah_usd_yoy_pct,235.48309874534607,125.019979596138,360.50307834148407
post_promo_depletion_flag,199.16071224212646,158.72018992900848,357.88090217113495
sales_qty_lag_2,191.7002410888672,158.09845960140228,349.79870069026947
ext_ukrstat_indprod_indprod_idx_yoy_pct,211.76001739501953,135.9877301454544,347.74774754047394
months_until_back_to_school,179.52423000335693,124.20084989070892,303.72507989406586
month_sin,144.62748861312866,152.205739736557,296.83322834968567
ext_ukrstat_births_births_per_1000,162.32883834838867,129.62200021743774,291.9508385658264
stock_orc_buildup_flag_lag1,218.74222135543823,71.95034945011139,290.6925708055496
wm_n_shipping_days_lag1_3mavg,142.07923030853271,127.40925002098083,269.48848032951355
uah_usd_eom,178.38435983657837,89.49055981636047,267.87491965293884
partner_volume_tier,157.63882970809937,84.67040967941284,242.3092393875122
days_to_st_nicholas,184.71762132644653,54.205909848213196,238.92353117465973
trend_down_3m,153.8615689277649,78.5065701007843,232.3681390285492
ext_orthodox_calendar_days_to_orthodox_easter,127.05340909957886,83.99578881263733,211.0491979122162
school_in_session,123.9761004447937,79.44946932792664,203.42556977272034
stockout_both,173.87175941467285,12.672780156135559,186.5445395708084
major_holiday_in_month,78.85671019554138,104.99575960636139,183.85246980190277
family_releases_count,105.7529501914978,75.18382000923157,180.93677020072937
quarter,75.9718017578125,80.23185014724731,156.20365190505981
year,78.85888910293579,69.3652892112732,148.22417831420898
wm_n_shipping_days_lag1,44.65101957321167,91.25968015193939,135.91069972515106
trend_up_3m,15.955559730529785,109.20173966884613,125.15729939937592
ext_airraid_oblast_airraid_high_intensity_oblasts,53.79719018936157,67.90069031715393,121.6978805065155
is_dec,18.386419773101807,91.7348279953003,110.1212477684021
nbu_policy_rate_eom,86.93677091598511,13.695369958877563,100.63214087486267
promo_duration_months,41.09958076477051,46.06482017040253,87.16440093517303
is_summer,35.368969440460205,39.11503994464874,74.48400938510895
price_change_flag,15.557270526885986,51.847949862480164,67.40522038936615
is_newyear,37.1699800491333,27.26030993461609,64.43028998374939
is_promo,0.0,46.924569845199585,46.924569845199585
wm_weekend_share_lag1,0.0,42.22821009159088,42.22821009159088
preholiday_nov,17.2564697265625,22.604270219802856,39.860739946365356
ext_nbu_cci_inflation_expectations_12m_pct,36.79367971420288,0.0,36.79367971420288
promo_depth_pct_current,7.824480056762695,28.307779788970947,36.13225984573364
easter_month_flag,32.18229913711548,1.667739987373352,33.85003912448883
wb_fertility,6.1223602294921875,24.930020093917847,31.052380323410034
is_q4,20.472299575805664,4.775719881057739,25.248019456863403
ext_nbu_cci_cci_overall,14.363420009613037,9.775760054588318,24.139180064201355
summer_break,8.757840156555176,12.891610264778137,21.649450421333313
is_march,11.500200271606445,6.089260101318359,17.589460372924805
volume_tier,9.478839874267578,6.561840057373047,16.040679931640625
is_new_sku,7.523560047149658,7.771349906921387,15.294909954071045
wb_gdp_growth,0.0,12.939240217208862,12.939240217208862
wb_cpi_inflation,11.47146987915039,0.0,11.47146987915039
wb_pop_0_14,11.091099739074707,0.0,11.091099739074707
stockout_orc_prev,4.532110214233398,5.413230061531067,9.945340275764465
ext_iom_idp_idp_total_count,5.7006001472473145,0.0,5.7006001472473145
is_sept,0.0,4.58243989944458,4.58243989944458
ext_orthodox_calendar_is_lent_month,0.0,3.9992599487304688,3.9992599487304688
ext_orthodox_calendar_is_orthodox_easter_month,0.0,2.6166300773620605,2.6166300773620605
preholiday_dec,0.0,2.193700075149536,2.193700075149536
ext_blackout_dtek_blackout_avg_hours_per_day,0.0,0.0,0.0
ext_blackout_dtek_blackout_pct_population_affected,0.0,0.0,0.0
ext_blackout_dtek_blackout_severity_index,0.0,0.0,0.0
ext_airraid_oblast_airraid_avg_duration_min,0.0,0.0,0.0
ext_iom_idp_idp_western_oblasts_pct,0.0,0.0,0.0
back_to_school_month,0.0,0.0,0.0
winter_school_break,0.0,0.0,0.0
is_wartime,0.0,0.0,0.0
war_active,0.0,0.0,0.0
ext_orthodox_calendar_is_orthodox_christmas_month,0.0,0.0,0.0
ext_orthodox_calendar_is_st_nicholas_month,0.0,0.0,0.0
spring_school_break,0.0,0.0,0.0
ext_nbu_cci_cci_expectations,0.0,0.0,0.0
