model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4233,0.5215,4.3276,-0.3238
V7_base,test,0.425,0.542,5.0501,-0.4157
V7_cal,val,0.42,0.5308,4.319,-0.3739
V7_cal,test,0.4208,0.5509,5.032,-0.4587
V7,val,0.42,0.5308,4.319,-0.3739
V7,test,0.4208,0.5509,5.032,-0.4587
V7_stacked,val,0.4249,0.5729,4.0728,0.1357
V7_stacked,test,0.4445,0.6128,4.5618,0.1508
