model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.7548,0.6315,3.7705,-0.0305
V7_base,test,0.9462,0.648,2.3655,0.1723
V7_cal,val,0.7201,0.6417,3.7509,-0.2053
V7_cal,test,0.8927,0.6621,2.3639,-0.0421
V7,val,0.7201,0.6417,3.7509,-0.2053
V7,test,0.8927,0.6621,2.3639,-0.0421
V7_stacked,val,0.7513,0.6976,3.436,0.2468
V7_stacked,test,0.9594,0.6941,2.4335,0.2524
