model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4117,0.5039,4.9528,-0.8162
V7_base,test,0.4404,0.5465,5.9556,-1.0538
V7_cal,val,0.412,0.4913,4.9494,-0.7773
V7_cal,test,0.4362,0.5306,5.9148,-1.0032
V7,val,0.3401,0.4403,4.0975,-0.3479
V7,test,0.423,0.5728,5.3098,-0.4877
V7_stacked,val,0.3846,0.5094,3.8138,0.05
V7_stacked,test,0.4182,0.569,4.4643,0.0007
