w_spec,test_WAPE,test_Bias,UAH_cost,holding_UAH,lost_UAH
0.0,0.4125,-0.513,1995325,1543518,451806
0.3,0.4092,-0.526,1971545,1519692,451852
0.5,0.4086,-0.535,1965844,1512727,453117
0.6,0.4088,-0.539,1966063,1511947,454115
0.7,0.4094,-0.543,1968581,1513196,455384
0.8,0.4103,-0.548,1972864,1516007,456856
1.0,0.4132,-0.557,1987876,1527336,460540
