model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.5554,0.4624,2.8787,-0.3197
V7_base,test,0.5117,0.4704,3.562,-0.5888
V7_cal,val,0.543,0.4973,2.8312,-0.3566
V7_cal,test,0.4989,0.5078,3.4984,-0.618
V7,val,0.543,0.4973,2.8312,-0.3566
V7,test,0.4989,0.5078,3.4984,-0.618
V7_stacked,val,0.5351,0.4821,2.6139,-0.3563
V7_stacked,test,0.5077,0.5134,3.3314,-0.5507
