model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3934,0.5055,5.6504,-0.6455
V7_base,test,0.3779,0.5058,6.6757,-0.7431
V7_cal,val,0.3911,0.5038,5.6355,-0.6935
V7_cal,test,0.3758,0.5035,6.6576,-0.7932
V7,val,0.3911,0.5038,5.6355,-0.6935
V7,test,0.3758,0.5035,6.6576,-0.7932
V7_stacked,val,0.3826,0.5489,4.8501,0.2105
V7_stacked,test,0.4046,0.6002,5.5711,0.2721
