model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3994,0.5093,4.6662,-0.6596
V7_base,test,0.427,0.5556,5.6581,-0.8946
V7_cal,val,0.3998,0.4999,4.6593,-0.5905
V7_cal,test,0.4226,0.5425,5.6092,-0.8157
V7,val,0.3372,0.4398,4.0139,-0.3398
V7,test,0.4166,0.576,5.1781,-0.4763
V7_stacked,val,0.3712,0.4877,3.7563,0.0114
V7_stacked,test,0.4111,0.5613,4.4777,-0.0591
