Период,actual,v10,v11,bias_v10_pct,bias_v11_pct,rmse_v10,rmse_v11,sse_v10,sse_v11,sse_delta,sse_delta_pct,rows
2024-07,11191.0,10987.8073,10837.9427,-1.8157,-3.1548,3.0896,3.0823,24952.1521,24834.452,-117.7001,-0.4717,2614
2024-08,11301.0,11353.2299,11251.0652,0.4622,-0.4419,2.2382,2.2265,13094.4366,12958.3911,-136.0455,-1.039,2614
2024-09,10802.0,10874.5577,10730.6205,0.6717,-0.6608,2.5582,2.5436,17106.8127,16912.7807,-194.0319,-1.1342,2614
2024-10,11711.0,11630.2076,11409.1871,-0.6899,-2.5772,3.7164,3.7196,36103.0046,36166.0817,63.0771,0.1747,2614
2024-11,13705.0,13442.443,13272.8062,-1.9158,-3.1535,3.5024,3.4874,32065.6511,31792.0948,-273.5563,-0.8531,2614
2024-12,28920.0,28847.8558,28595.3187,-0.2495,-1.1227,7.1251,7.2113,132705.2743,135936.877,3231.6027,2.4352,2614
2025-01,12778.0,13230.374,13097.3907,3.5403,2.4995,2.5416,2.539,16885.2518,16851.3059,-33.9459,-0.201,2614
2025-02,9859.0,10532.4874,10343.2635,6.8312,4.9119,3.4339,3.387,30823.2925,29987.8103,-835.4822,-2.7106,2614
2025-03,10798.0,9687.7088,9302.923,-10.2824,-13.8459,3.4929,3.5642,31891.1086,33206.9219,1315.8133,4.126,2614
2025-04,8829.0,8451.5362,8613.933,-4.2753,-2.4359,3.7385,3.7268,36534.1531,36305.7165,-228.4366,-0.6253,2614
2025-05,9630.0,9163.3893,9258.1333,-4.8454,-3.8615,3.3001,3.292,28467.631,28329.2102,-138.4208,-0.4862,2614
2025-06,8883.0,9361.492,9539.1624,5.3866,7.3867,2.8813,2.9164,21701.4137,22232.6634,531.2497,2.448,2614
2025-07,9828.0,9906.4527,9738.4091,0.7983,-0.9116,3.5427,3.51,32807.7371,32205.2622,-602.475,-1.8364,2614
2025-08,10023.0,10748.0446,10556.7438,7.2338,5.3252,2.8807,2.834,21692.064,20994.504,-697.5599,-3.2157,2614
2025-09,9219.0,10542.611,10354.5565,14.3574,12.3176,3.0566,3.0174,24421.4102,23800.0849,-621.3253,-2.5442,2614
2025-10,11507.0,11568.1086,11342.3777,0.5311,-1.4306,3.4163,3.435,30507.8548,30843.8006,335.9458,1.1012,2614
2025-11,13604.0,12686.322,12452.2413,-6.7456,-8.4663,4.5428,4.5875,53946.1674,55012.4663,1066.2989,1.9766,2614
2025-12,24807.0,24858.8043,24254.5131,0.2088,-2.2271,9.1561,9.3391,219141.2847,227990.5947,8849.31,4.0382,2614
2026-01,11151.0,14414.9275,13963.3258,29.2703,25.2204,3.9767,3.8609,41338.6696,38966.5475,-2372.1221,-5.7383,2614
