model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4252,0.5207,4.3685,-0.3437
V7_base,test,0.4216,0.5383,4.9839,-0.421
V7_cal,val,0.4212,0.5317,4.3489,-0.3791
V7_cal,test,0.4169,0.5477,4.9552,-0.4574
V7,val,0.4212,0.5317,4.3489,-0.3791
V7,test,0.4169,0.5477,4.9552,-0.4574
V7_stacked,val,0.4232,0.5678,4.0571,0.1209
V7_stacked,test,0.4388,0.6033,4.5246,0.1169
