model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3998,0.5116,4.6117,-0.5941
V7_base,test,0.4299,0.5592,5.6705,-0.8152
V7_cal,val,0.4002,0.4986,4.6096,-0.5587
V7_cal,test,0.4268,0.5422,5.6434,-0.7713
V7,val,0.3375,0.438,4.0016,-0.347
V7,test,0.4251,0.5779,5.2987,-0.4867
V7_stacked,val,0.3843,0.5054,3.8008,0.0638
V7_stacked,test,0.4199,0.568,4.456,0.0133
