model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4037,0.5103,4.7454,-0.6719
V7_base,test,0.43,0.5587,5.6771,-0.9165
V7_cal,val,0.4039,0.4999,4.7397,-0.6167
V7_cal,test,0.4264,0.5459,5.6402,-0.8545
V7,val,0.3392,0.4405,4.0632,-0.3493
V7,test,0.4206,0.5785,5.2494,-0.5363
V7_stacked,val,0.377,0.4973,3.7765,0.0386
V7_stacked,test,0.4147,0.5654,4.4541,-0.0464
