model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.7517,0.6576,3.7217,0.0112
V7_base,test,0.9426,0.6501,2.3943,0.1532
V7_cal,val,0.718,0.672,3.7108,-0.164
V7_cal,test,0.8855,0.6675,2.3848,-0.0639
V7,val,0.718,0.672,3.7108,-0.164
V7,test,0.8855,0.6675,2.3848,-0.0639
V7_stacked,val,0.7643,0.7064,3.4867,0.2924
V7_stacked,test,0.9712,0.6946,2.4654,0.2798
