model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.396,0.521,4.5668,-0.5326
V7_base,test,0.423,0.567,5.5535,-0.7784
V7_cal,val,0.3965,0.5095,4.5626,-0.4781
V7_cal,test,0.4197,0.5529,5.5216,-0.7185
V7,val,0.3383,0.4394,4.0523,-0.3852
V7,test,0.4191,0.576,5.2215,-0.4976
V7_stacked,val,0.381,0.5034,3.7951,0.0879
V7_stacked,test,0.4189,0.5722,4.4757,0.0393
