model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.446,0.5425,3.1133,-0.5166
V7_base,test,0.4447,0.5482,3.3098,-0.5144
V7_cal,val,0.4451,0.5387,3.1034,-0.4917
V7_cal,test,0.4418,0.5428,3.3014,-0.5049
V7,val,0.4451,0.5387,3.1034,-0.4917
V7,test,0.4418,0.5428,3.3014,-0.5049
V7_stacked,val,0.4324,0.5785,2.7893,0.0988
V7_stacked,test,0.4693,0.6061,3.1659,0.2291
