w_spec,total_UAH,holding_UAH,lost_UAH
0.0,1355954,1053495,302459
0.2,1334175,1032939,301235
0.3,1326505,1025520,300984
0.4,1320964,1019990,300973
0.5,1317566,1016244,301321
0.6,1316197,1014225,301971
0.7,1316881,1014002,302878
0.8,1319569,1015558,304010
1.0,1331612,1024486,307125
