model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4426,0.5577,2.983,-0.4023
V7_base,test,0.444,0.5578,3.2229,-0.4374
V7_cal,val,0.4422,0.552,2.9749,-0.3844
V7_cal,test,0.442,0.5492,3.2183,-0.4353
V7,val,0.4422,0.552,2.9749,-0.3844
V7,test,0.442,0.5492,3.2183,-0.4353
V7_stacked,val,0.4337,0.5798,2.8101,0.1096
V7_stacked,test,0.471,0.607,3.1806,0.2396
