,WAPE,MAPE_nz,RMSE,Bias
V4_Ensemble,0.4898,0.5103,5.1254,-0.4943
V4_PerChannel,0.5009,0.5297,5.3376,-0.5506
V4_LogTarget,0.5069,0.5078,5.3438,-0.6259
V3,0.5089,0.5373,5.1941,-0.342
Baseline_MA,0.6471,0.7059,7.6117,-0.5209
V4_Reconciled,0.6539,0.6293,8.0268,-1.2901
Baseline_Seasonal12,0.7589,0.9852,8.2782,-0.526
