model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.3986,0.514,4.649,-0.6013
V7_base,test,0.4334,0.5836,5.6767,-0.7851
V7_cal,val,0.3989,0.5068,4.6401,-0.5329
V7_cal,test,0.4317,0.5795,5.6341,-0.7185
V7,val,0.3388,0.4404,4.0412,-0.3649
V7,test,0.4257,0.6002,5.2713,-0.4493
V7_stacked,val,0.3738,0.4897,3.7513,0.0525
V7_stacked,test,0.4193,0.5735,4.5111,0.0071
