model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4247,0.5081,4.4837,-0.4485
V7_base,test,0.4162,0.5275,5.0778,-0.4674
V7_cal,val,0.4211,0.5189,4.4671,-0.4905
V7_cal,test,0.4125,0.5366,5.0591,-0.5126
V7,val,0.4211,0.5189,4.4671,-0.4905
V7,test,0.4125,0.5366,5.0591,-0.5126
V7_stacked,val,0.4258,0.5797,4.0968,0.1705
V7_stacked,test,0.4442,0.6197,4.5486,0.1769
