feature,gain_clf,gain_reg,gain_total
rmean_3,91188.71967887878,22379.35271716118,113568.07239603996
stock_tt_lag_1,82145.64922714233,7889.094782233238,90034.74400937557
sales_qty_rmean_3_lag1,51464.33710384369,3004.85953104496,54469.19663488865
wm_first_week_share_lag1,31461.040269851685,1468.9986394643784,32930.03890931606
Группа_товара,15803.767043113708,11697.25562095642,27501.02266407013
wm_avg_qty_per_day_lag1_3mavg,19307.6778216362,5375.223166227341,24682.90098786354
rmean_12,16322.437757968903,7230.225739121437,23552.66349709034
inv_to_sales_tt,17107.520092010498,4712.893260478973,21820.41335248947
was_censored,19607.22820520401,0.0,19607.22820520401
stockout_tt,17086.068220615387,255.11308205127716,17341.181302666664
partner_total,6818.866669178009,4967.3813326358795,11786.248001813889
sales_qty_rmean_6_lag1,9774.342480182648,1471.7481336593628,11246.09061384201
sales_qty_rmean_12_lag1,7704.559062957764,3384.928656935692,11089.487719893456
demand_density,6719.584164619446,4324.868041396141,11044.452206015587
inv_to_sales_orc,6680.434139728546,3879.4222922325134,10559.85643196106
wm_max_day_share_lag1_3mavg,5918.829745292664,3167.9393512010574,9086.769096493721
stock_tt_lag_2,5077.086261749268,3441.8866696357727,8518.97293138504
stock_tt_lag_3,5267.4545793533325,3181.6483001708984,8449.102879524231
cohort_demand_lag1,2959.631673336029,4629.364221930504,7588.995895266533
wm_avg_qty_per_day_lag1,3832.19269990921,3620.1630437374115,7452.355743646622
stock_orc_depletion_lag1,3258.3963675498962,3973.555619597435,7231.951987147331
tt_to_orc_ratio_lag1,3388.256052017212,3828.8871306180954,7217.143182635307
sales_lead_signal_lag1,2751.5295219421387,4460.820920109749,7212.3504420518875
wm_first_week_share_lag1_3mavg,3814.307683944702,3307.0439009666443,7121.351584911346
rmean_6,1543.8829822540283,5425.669743299484,6969.552725553513
wm_bc_last_week_share_lag1,3247.584773540497,3644.6539630889893,6892.238736629486
sales_share_of_brand_lag1,3060.936143875122,3788.921724319458,6849.85786819458
wm_bc_weekly_cv_lag1,3264.7435603141785,3389.9454321861267,6654.688992500305
lag_1_Количество_ship,2720.886703491211,3536.883700966835,6257.770404458046
stock_orc_lag_3,2551.807918548584,3650.4842100143433,6202.292128562927
lag_1,2288.469793319702,3698.7899556159973,5987.2597489356995
wm_mid_week_share_lag1,4096.484539985657,1858.7227396965027,5955.207279682159
price_vs_rrc,2535.942253112793,3409.6315878629684,5945.573840975761
sell_through_ratio_lag1,3583.260664463043,2293.1103808879852,5876.371045351028
rcv_6,1883.8665952682495,3890.2938928604126,5774.160488128662
rstd_6,1916.557936668396,3756.1273164749146,5672.685253143311
lag_1_Количество_orc,2144.737714290619,3485.389338850975,5630.127053141594
wm_bc_first_week_share_lag1,2111.652829647064,3439.1386989355087,5550.791528582573
wm_max_day_share_lag1,3413.4984188079834,2088.127701640129,5501.6261204481125
sell_through_ratio_lag2,1590.8431267738342,3884.0720751285553,5474.9152019023895
stock_orc_lag_2,2346.8190879821777,3084.5845427513123,5431.40363073349
sku_share_brand,2681.733691215515,2657.6324170827866,5339.366108298302
sku_price_elasticity,1870.2827615737915,3457.0498720407486,5327.33263361454
recv_qty_rmean_6_lag1,2044.6824774742126,3265.6020191907883,5310.284496665001
sales_yoy_ratio_lag1,1506.1354012489319,3679.1768951416016,5185.312296390533
sku_promo_sensitivity,1794.8612713813782,3237.9237619638443,5032.7850333452225
month,2708.5900869369507,2066.700581908226,4775.290668845177
wm_mid_week_share_lag1_3mavg,1089.6218957901,3667.004647374153,4756.626543164253
sales_qty_growth_lag1,1194.7678141593933,3504.2122052907944,4698.980019450188
recv_qty_rmean_3_lag1,1883.4688591957092,2670.4907701015472,4553.9596292972565
rstd_3,1358.6417164802551,3193.4169129133224,4552.058629393578
wm_weekly_cv_lag1_3mavg,1450.3605060577393,3070.687581539154,4521.048087596893
wm_weekend_share_lag1_3mavg,4113.146337509155,347.77418994903564,4460.920527458191
lag_1_Выручка_sales,1264.7578053474426,3088.917180776596,4353.674986124039
wm_last_week_share_lag1_3mavg,929.5434093475342,3344.21737241745,4273.760781764984
Тип_соглашения,4018.29097032547,241.50572991371155,4259.7967002391815
demand_cv,1569.0157923698425,2687.4885795116425,4256.504371881485
sku_age_months,1814.4132170677185,2310.211942076683,4124.625159144402
demand_accel,1330.134388923645,2784.6134527921677,4114.747841715813
recv_to_ship_ratio_lag1,1320.1572456359863,2573.786569714546,3893.9438153505325
cohort_stockout_share_lag1,1248.5619893074036,2539.622020125389,3788.1840094327927
РРЦ,2379.202536582947,1304.17176258564,3683.3742991685867
yoy_ratio,817.3541421890259,2812.1015688180923,3629.455711007118
months_until_next_promo,1173.414249420166,2422.703027367592,3596.117276787758
brand_active,1661.4180784225464,1792.6747934818268,3454.092871904373
stock_tt_velocity_lag1,1262.0595245361328,2087.644109725952,3349.703634262085
cohort_size,1255.9465045928955,2078.43604016304,3334.3825447559357
price_lag3,1142.6557822227478,2005.6221500635147,3148.2779322862625
sales_ship_ratio,1104.9523162841797,2017.9039977788925,3122.856314063072
lag_12,886.2218070030212,2230.822697520256,3117.0445045232773
brand_total,1355.4167084693909,1739.1493002176285,3094.5660086870193
lag_6,805.6320281028748,2202.6583676338196,3008.2903957366943
demand_velocity,741.9597997665405,2194.556841492653,2936.5166412591934
stockout_orc,2843.526147842407,92.28288066387177,2935.809028506279
wm_peak_week_lag1_3mavg,1441.7973880767822,1426.6788198947906,2868.476207971573
lag_min_3,1030.1244649887085,1818.9530755281448,2849.0775405168533
yoy_diff,744.6782894134521,1976.8620899915695,2721.5403794050217
recv_qty_growth_lag1,792.5477795600891,1765.860369682312,2558.408149242401
months_since_invasion,1598.4691038131714,924.7830300331116,2523.252133846283
wm_n_shipments_lag1_3mavg,1114.9152536392212,1398.3178210258484,2513.2330746650696
uah_eur_mom_pct,966.8639092445374,1531.6473597288132,2498.5112689733505
wm_last_week_share_lag1,899.8470058441162,1537.9848409891129,2437.831846833229
wm_weekly_cv_lag1,423.96872901916504,1936.6769487857819,2360.645677804947
months_since_demand,2069.7728519439697,289.5086613893509,2359.2815133333206
sales_qty_lag_13,613.429452419281,1614.5767883062363,2228.0062407255173
lag_2,652.9925789833069,1468.7772409915924,2121.7698199748993
lag_3,444.035418510437,1627.4473789930344,2071.4827975034714
price_lag1,655.6079931259155,1405.9128203392029,2061.5208134651184
price_vs_brand_median,632.032799243927,1408.3714193105698,2040.4042185544968
recv_qty_lag_6,793.4850101470947,1231.586327791214,2025.0713379383087
price_vs_channel_median,877.5325269699097,1049.6638221740723,1927.196349143982
release_prior_month,1043.397937297821,859.3876034021378,1902.7855406999588
days_of_supply_orc_lag1,372.62890911102295,1421.155928015709,1793.7848371267319
trends_toys_general,732.7479319572449,970.3085199594498,1703.0564519166946
lag_max_3,597.0544109344482,1059.0059912204742,1656.0604021549225
days_to_easter,832.0135254859924,813.38068151474,1645.3942070007324
recv_qty_lag_3,650.8897390365601,927.7244507074356,1578.6141897439957
cannibalisation_pressure,418.2741889953613,1027.2486703395844,1445.5228593349457
uah_eur_eom,543.0084352493286,787.0290007591248,1330.0374360084534
trends_toy_brands,449.81364154815674,871.5562897920609,1321.3699313402176
trends_board_games_puzzles,591.0174670219421,727.2208211421967,1318.2382881641388
sales_qty_lag_1,1017.5701580047607,271.31590735912323,1288.886065363884
days_to_womens_day,557.5010504722595,726.5254597663879,1284.0265102386475
uah_usd_mom_pct,734.113739490509,511.3766177892685,1245.4903572797775
price_change_3m_pct,311.42217206954956,906.4838099479675,1217.905982017517
intensity_mom_delta,650.3887705802917,520.5545800924301,1170.9433506727219
days_to_ny,504.98689126968384,654.8199307918549,1159.8068220615387
month_cos,521.1977410316467,594.549529671669,1115.7472707033157
Канал,688.8909573554993,360.3452686071396,1049.2362259626389
days_to_childrens_day,517.9731202125549,518.326358795166,1036.299479007721
recv_qty_lag_2,451.45698165893555,564.9862307310104,1016.443212389946
wm_n_shipments_lag1,260.99797916412354,717.8766089677811,978.8745881319046
holiday_count,433.4219036102295,531.7170997858047,965.1390033960342
release_next_month,374.72724962234497,551.1540406942368,925.8812903165817
uah_usd_yoy_pct,477.1480813026428,347.9904901981354,825.1385715007782
Сегмент_ABC,363.2444291114807,435.5024696588516,798.7468987703323
stock_orc_lag_1,309.0970993041992,488.0534710884094,797.1505703926086
wm_peak_week_lag1,279.6623315811157,497.26822912693024,776.930560708046
recv_qty_lag_1,407.90131187438965,368.8155292272568,776.7168411016464
months_since_last_promo,460.070125579834,305.53341817855835,765.6035437583923
lag_range_3,118.79429054260254,595.7126399278641,714.5069304704666
uah_usd_eom,398.75126028060913,287.45511174201965,686.2063720226288
nbu_policy_rate_diff_3m,316.7179493904114,342.858319401741,659.5762687921524
month_sin,199.68173027038574,397.6343890428543,597.31611931324
sales_qty_lag_12,223.54216051101685,363.87431824207306,587.4164787530899
conflict_intensity,210.2410387992859,351.16757929325104,561.4086180925369
family_releases_influence,228.07929039001465,326.2983891963959,554.3776795864105
sales_qty_lag_3,120.33146142959595,394.6860017776489,515.0174632072449
promo_discount_pct,158.0246386528015,328.52554070949554,486.55017936229706
wm_n_shipping_days_lag1_3mavg,125.28684997558594,346.7833299636841,472.07017993927
sales_qty_lag_6,121.19905853271484,337.70858919620514,458.90764772892
stock_orc_buildup_flag_lag1,282.8451066017151,125.00818920135498,407.85329580307007
Бренд,193.98324918746948,210.46894967556,404.4521988630295
partner_volume_tier,177.09033966064453,218.11387050151825,395.2042101621628
sales_qty_lag_2,94.45987033843994,293.7543785572052,388.21424889564514
days_to_st_nicholas,136.3618483543396,235.23306107521057,371.59490942955017
months_until_back_to_school,111.15846109390259,253.2928205728531,364.4512816667557
school_in_session,188.91380977630615,174.19456028938293,363.1083700656891
year,124.50517988204956,233.19309878349304,357.6982786655426
post_promo_depletion_flag,126.03877258300781,229.83151757717133,355.87029016017914
major_holiday_in_month,111.85615921020508,137.0668704509735,248.9230296611786
family_releases_count,76.08419942855835,171.30375921726227,247.38795864582062
wm_n_shipping_days_lag1,45.61572027206421,172.6079307794571,218.2236510515213
trend_down_3m,75.99715948104858,139.62039005756378,215.61754953861237
quarter,86.93267154693604,124.44286036491394,211.37553191184998
nbu_policy_rate_eom,154.31727123260498,45.04743981361389,199.36471104621887
trend_up_3m,21.745709896087646,173.2079997062683,194.95370960235596
price_change_flag,80.9163908958435,86.44966971874237,167.36606061458588
is_newyear,42.74654006958008,97.97961139678955,140.72615146636963
stockout_both,115.49219131469727,19.311670064926147,134.8038613796234
is_summer,48.22412967681885,68.97463977336884,117.19876945018768
wb_fertility,28.379249095916748,76.54477083683014,104.92401993274689
wm_weekend_share_lag1,0.0,95.67846930027008,95.67846930027008
is_promo,0.0,76.76119983196259,76.76119983196259
is_dec,30.071699142456055,46.2104207277298,76.28211987018585
promo_duration_months,28.405150413513184,46.34959018230438,74.75474059581757
preholiday_nov,15.619250297546387,48.94797956943512,64.5672298669815
promo_depth_pct_current,8.017129898071289,30.836789846420288,38.85391974449158
wb_gdp_growth,19.432889938354492,17.124769806861877,36.55765974521637
stockout_orc_prev,24.742300033569336,8.294130086898804,33.03643012046814
summer_break,24.464699745178223,4.284580111503601,28.749279856681824
is_march,27.36650037765503,0.0,27.36650037765503
easter_month_flag,8.58920955657959,15.554780006408691,24.14398956298828
volume_tier,5.652470111846924,10.118209958076477,15.7706800699234
is_new_sku,7.952489852905273,3.0660600662231445,11.018549919128418
is_q4,7.451399803161621,2.7272698879241943,10.178669691085815
is_sept,0.0,2.3772199153900146,2.3772199153900146
wb_pop_0_14,0.0,2.1618599891662598,2.1618599891662598
wb_cpi_inflation,0.0,2.0338900089263916,2.0338900089263916
is_wartime,0.0,0.0,0.0
war_active,0.0,0.0,0.0
preholiday_dec,0.0,0.0,0.0
winter_school_break,0.0,0.0,0.0
spring_school_break,0.0,0.0,0.0
back_to_school_month,0.0,0.0,0.0
