model,split,WAPE,MAPE_nz,RMSE,Bias
V7_base,val,0.4267,0.5125,4.4124,-0.4032
V7_base,test,0.4236,0.5329,5.0359,-0.4796
V7_cal,val,0.4226,0.522,4.3939,-0.4488
V7_cal,test,0.4193,0.5399,5.0155,-0.528
V7,val,0.4226,0.522,4.3939,-0.4488
V7,test,0.4193,0.5399,5.0155,-0.528
V7_stacked,val,0.4232,0.5656,4.0605,0.1276
V7_stacked,test,0.4377,0.6001,4.5205,0.1154
