label,tag,color,split,WAPE,bias_pct,monthly_WAPE,SIMSCORE
V1 (baseline),v1,#bbbbbb,val,,,,
V1 (baseline),v1,#bbbbbb,test,,,,
V2 (TwoStage),v2,#999999,val,,,,
V2 (TwoStage),v2,#999999,test,,,,
V3 (V2 + features),v3,#7f7f7f,val,,,,
V3 (V2 + features),v3,#7f7f7f,test,,,,
V4 (V3 + Optuna),v4,#9467bd,val,0.4391916477191222,-1.7969350645264326,0.06423715591851224,0.48029490100101047
V4 (V3 + Optuna),v4,#9467bd,test,0.4719906917978328,-4.225499357909647,0.12455145331031242,0.5553939152425372
V5 (V4 + ABC),v5,#8c564b,val,0.441010213277397,1.6733163152986692,0.06829655152735277,0.4835250706175667
V5 (V4 + ABC),v5,#8c564b,test,0.4775096244371776,0.8074956392254975,0.15675507390462987,0.55992463958562
V6 (V5 + impute),v6,#e377c2,val,0.43995115463132833,7.157531325404018,0.07698253269884331,0.5142300776077701
V6 (V5 + impute),v6,#e377c2,test,0.4493730350871274,8.881921296149555,0.11855667777676177,0.5530609804562561
V7 (V6 + stack),v7,#1f77b4,val,0.4200073266084267,-7.914455328054528,0.07914455328054518,0.4991518798889719
V7 (V6 + stack),v7,#1f77b4,test,0.4208278835531391,-9.862910589733099,0.1037166566898295,0.5220007648467193
V7.7 (multi-axis),v77_recent,#17becf,val,0.4240760765755966,-4.535854575061557,0.056630368472168395,0.4750705336869886
V7.7 (multi-axis),v77_recent,#17becf,test,0.4188195493884563,-3.1248168962949645,0.06103760286048309,0.46496243530017267
V8 LAD,v8_lad,#ff7f0e,val,0.3944207211477135,-1.4394549206453597,0.0414378653809052,0.42233692844139287
V8 LAD,v8_lad,#ff7f0e,test,0.41128184789834105,-2.5718141824460967,0.095477684168111,0.471879760894627
V9 LAD,v9_lad,#2ca02c,val,0.3457962767296172,-0.5255002306107827,0.026638974916203022,0.36174326534077267
V9 LAD,v9_lad,#2ca02c,test,0.4149823001885212,0.24616026888916698,0.067371528026607,0.4498988655462705
V10 LAD (champion),v10_lad,#000000,val,0.3328902042115123,-0.5686463533734682,0.028989151024521584,0.3502280114906404
V10 LAD (champion),v10_lad,#000000,test,0.40129164194451133,5.08799824797411,0.07124138064178073,0.4623523235052723
