name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v78_+lad+q60_tau0.55_chABC05_brand03,0.4546,0.4668,"[0.4118, 0.4576, 0.4944]",0.4441,0.0105
v78_+q60_tau0.55_chABC05_brand03,0.4546,0.4668,"[0.4118, 0.4576, 0.4944]",0.4441,0.0105
v77_compact+rec_tau0.55_chABC05_brand03,0.4547,0.467,"[0.4118, 0.4574, 0.4948]",0.4445,0.0102
v78_+lad_tau0.55_chABC05_brand03,0.4547,0.467,"[0.4118, 0.4574, 0.4948]",0.4445,0.0102
v78_+q60_tau0.52_chABC05_brand03,0.4549,0.4671,"[0.4132, 0.4561, 0.4953]",0.4451,0.0098
v78_+lad+q60_tau0.52_chABC05_brand03,0.4549,0.4672,"[0.4132, 0.4564, 0.4952]",0.4451,0.0098
v78_+q60_tau0.5_chABC05_brand03,0.4552,0.4673,"[0.4148, 0.4549, 0.4958]",0.4457,0.0095
v78_+q60+mae_tau0.5_chABC05_brand03,0.4554,0.4673,"[0.4159, 0.455, 0.4953]",0.4455,0.0099
v78_+lad+mae_tau0.52_chABC05_brand03,0.4556,0.4674,"[0.416, 0.4561, 0.4948]",0.4447,0.0109
v78_+lad+mae_tau0.5_chABC05_brand03,0.4556,0.4674,"[0.4163, 0.4551, 0.4953]",0.4453,0.0103
v78_+lad+q60_tau0.5_chABC05_brand03,0.4552,0.4674,"[0.4148, 0.4552, 0.4957]",0.4456,0.0096
v77_compact+rec_tau0.52_chABC05_brand03,0.4552,0.4674,"[0.4142, 0.4559, 0.4955]",0.4453,0.0099
v78_+mae_tau0.52_chABC05_brand03,0.4556,0.4674,"[0.416, 0.4561, 0.4948]",0.4447,0.0109
v78_+lad_tau0.52_chABC05_brand03,0.4552,0.4674,"[0.4142, 0.456, 0.4955]",0.4453,0.0099
v78_+lad+q60+mae_tau0.5_chABC05_brand03,0.4555,0.4674,"[0.4159, 0.4553, 0.4952]",0.4454,0.0101
v78_+mae_tau0.5_chABC05_brand03,0.4555,0.4674,"[0.4163, 0.455, 0.4953]",0.4453,0.0102
v78_+lad_tau0.5_chABC05_brand03,0.4555,0.4675,"[0.4159, 0.4547, 0.4959]",0.4458,0.0097
v78_+q60+mae_tau0.52_chABC05_brand03,0.4557,0.4675,"[0.4162, 0.4561, 0.4948]",0.4449,0.0108
v77_compact+rec_tau0.5_chABC05_brand03,0.4555,0.4675,"[0.4159, 0.4547, 0.4959]",0.4458,0.0097
v78_+lad+q60+mae_tau0.52_chABC05_brand03,0.4558,0.4676,"[0.4162, 0.4564, 0.4948]",0.4449,0.0109
v78_+mae_tau0.55_chABC05_brand03,0.4564,0.4678,"[0.4176, 0.4574, 0.4942]",0.4439,0.0125
v78_+lad+mae_tau0.55_chABC05_brand03,0.4564,0.4678,"[0.4176, 0.4574, 0.4942]",0.4439,0.0125
v78_+q60+mae_tau0.55_chABC05_brand03,0.4564,0.4678,"[0.4177, 0.4574, 0.494]",0.4437,0.0127
v78_+lad+q60+mae_tau0.55_chABC05_brand03,0.4564,0.4678,"[0.4177, 0.4574, 0.494]",0.4437,0.0127
v78_+lad_tau0.5_chABC08,0.4565,0.4683,"[0.4139, 0.461, 0.4945]",0.4434,0.0131
v77_compact+rec_tau0.5_chABC08,0.4564,0.4683,"[0.4139, 0.4609, 0.4945]",0.4434,0.013
v78_+q60_tau0.5_chABC08,0.4565,0.4683,"[0.4141, 0.461, 0.4943]",0.4435,0.013
v78_+lad+q60_tau0.5_chABC08,0.4566,0.4684,"[0.4141, 0.4613, 0.4943]",0.4434,0.0132
v78_+q60_tau0.52_chABC08,0.457,0.4686,"[0.415, 0.462, 0.4939]",0.4431,0.0139
v77_compact+rec_tau0.52_chABC08,0.4569,0.4686,"[0.4145, 0.462, 0.4941]",0.4431,0.0138
v78_+lad_tau0.52_chABC08,0.4569,0.4686,"[0.4145, 0.4621, 0.4941]",0.4431,0.0138
v78_+lad+q60_tau0.52_chABC08,0.457,0.4686,"[0.415, 0.4623, 0.4938]",0.4431,0.0139
v78_+lad+q60_tau0.55_chABC08,0.4579,0.469,"[0.4172, 0.4633, 0.4931]",0.4424,0.0155
v78_+lad+mae_tau0.5_chABC08,0.4579,0.469,"[0.4188, 0.4612, 0.4938]",0.443,0.0149
v78_+lad+q60+mae_tau0.5_chABC08,0.458,0.469,"[0.419, 0.4613, 0.4937]",0.4432,0.0148
v77_compact+rec_tau0.55_chABC08,0.4578,0.469,"[0.4166, 0.4632, 0.4935]",0.4427,0.0151
v78_+lad_tau0.55_chABC08,0.4578,0.469,"[0.4166, 0.4632, 0.4935]",0.4427,0.0151
v78_+q60_tau0.55_chABC08,0.4579,0.469,"[0.4172, 0.4633, 0.4931]",0.4424,0.0155
v78_+q60+mae_tau0.5_chABC08,0.458,0.469,"[0.419, 0.4611, 0.4938]",0.4433,0.0147
v78_+mae_tau0.5_chABC08,0.4579,0.469,"[0.4188, 0.4611, 0.4939]",0.443,0.0149
v78_+q60_tau0.5_ch08,0.4576,0.4691,"[0.4176, 0.4602, 0.495]",0.4438,0.0138
v78_+lad_tau0.5_ch08,0.4576,0.4691,"[0.4172, 0.4603, 0.4952]",0.4437,0.0139
v78_+lad+q60_tau0.5_ch08,0.4576,0.4691,"[0.4176, 0.4604, 0.4949]",0.4437,0.0139
v77_compact+rec_tau0.5_ch08,0.4575,0.4691,"[0.4172, 0.4602, 0.4952]",0.4437,0.0138
v78_+mae_tau0.52_chABC08,0.4584,0.4692,"[0.4197, 0.462, 0.4934]",0.4427,0.0157
v78_+lad+mae_tau0.52_chABC08,0.4584,0.4693,"[0.4197, 0.4621, 0.4934]",0.4427,0.0157
v78_+lad_tau0.52_ch08,0.4581,0.4694,"[0.4183, 0.4612, 0.4948]",0.4435,0.0146
v77_compact+rec_tau0.52_ch08,0.4581,0.4694,"[0.4183, 0.4611, 0.4948]",0.4435,0.0146
v78_+lad+q60_tau0.52_ch08,0.4582,0.4694,"[0.4186, 0.4613, 0.4946]",0.4435,0.0147
v78_+q60_tau0.52_ch08,0.4581,0.4694,"[0.4186, 0.4611, 0.4946]",0.4435,0.0146
v78_+lad+q60+mae_tau0.52_chABC08,0.4586,0.4694,"[0.4201, 0.4623, 0.4934]",0.4429,0.0157
v78_+q60+mae_tau0.52_chABC08,0.4585,0.4694,"[0.4201, 0.462, 0.4935]",0.4429,0.0156
