Канал,Сегмент_ABC,moy,n,y,p,ae,WAPE,bias_pct,err_share_pct
НКП,Озерова,7,6,5.0,4.54,1.904,0.381,-9.203,0.002
НКП,Озерова,10,6,3.0,2.802,1.961,0.654,-6.61,0.002
ИМ,СТОК-ВИАТ,4,6,3.0,2.922,2.135,0.712,-2.594,0.002
НКП,Озерова,11,6,3.0,4.165,1.629,0.543,38.838,0.002
НКП,Озерова,8,6,3.0,2.417,2.289,0.763,-19.431,0.002
ИМ,unknown,5,3,0.0,2.088,2.088,2.088,108.751,0.002
ИМ,unknown,6,3,0.0,2.159,2.159,2.159,115.93,0.002
НКП,Озерова,6,3,0.0,0.586,0.586,0.586,-41.367,0.001
НКП,Озерова,1,6,1.0,1.142,0.837,0.837,14.236,0.001
РС,unknown,4,4,0.0,1.329,1.329,1.329,32.876,0.001
НКП,Озерова,9,6,3.0,4.311,1.447,0.482,43.696,0.001
НКП,Озерова,2,6,0.0,0.737,0.737,0.737,-26.33,0.001
НКП,Озерова,3,3,0.0,0.539,0.539,0.539,-46.092,0.001
НКП,Озерова,5,3,0.0,0.664,0.664,0.664,-33.619,0.001
ИМ,unknown,3,3,1.0,2.3,1.3,1.3,129.985,0.001
НКП,Озерова,4,3,1.0,1.191,0.623,0.623,19.111,0.001
