name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v8+v9+v9_recent+weekly_tau0.55_ch08_chABC05_brand03,0.398,0.4239,"[0.3112, 0.3988, 0.484]",0.3642,0.0338
v8+v9+v9_recent+weekly_tau0.52_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.364,0.0341
v8+v9+v9_recent+weekly_tau0.5_ch08_chABC05_brand03,0.3981,0.424,"[0.311, 0.3989, 0.4843]",0.3639,0.0342
v8+v9+v9_recent_tau0.55_ch08_chABC05_brand03,0.3983,0.4242,"[0.3118, 0.3987, 0.4844]",0.3647,0.0336
v8+v9+v9_recent_tau0.5_ch08_chABC05_brand03,0.3984,0.4243,"[0.3119, 0.3988, 0.4845]",0.3646,0.0338
v8+v9+v9_recent_tau0.52_ch08_chABC05_brand03,0.3984,0.4243,"[0.3119, 0.3988, 0.4845]",0.3646,0.0338
v8+v9+v9_recent+weekly_tau0.52_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3675,0.0325
v8+v9+v9_recent+weekly_tau0.5_ch08,0.4,0.4261,"[0.3145, 0.3976, 0.4879]",0.3674,0.0326
v8+v9+v9_recent+weekly_tau0.55_ch08,0.4003,0.4262,"[0.3158, 0.3975, 0.4876]",0.3677,0.0326
v8+v9+v9_recent_tau0.52_ch08,0.4003,0.4263,"[0.3153, 0.3974, 0.4881]",0.3681,0.0322
v8+v9+v9_recent_tau0.55_ch08,0.4002,0.4263,"[0.3153, 0.3973, 0.4881]",0.3682,0.032
v8+v9+v9_recent_tau0.5_ch08,0.4003,0.4264,"[0.3153, 0.3975, 0.4882]",0.3681,0.0322
v8+v9_tau0.55_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3683,0.0333
v8+v9_tau0.52_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3682,0.0334
v8+v9_tau0.5_ch08_chABC05_brand03,0.4016,0.4267,"[0.3154, 0.4052, 0.4842]",0.3681,0.0335
v8+v9_tau0.52_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3715,0.0316
v8+v9_tau0.55_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3716,0.0315
v8+v9_tau0.5_ch08,0.4031,0.4286,"[0.3175, 0.4038, 0.488]",0.3715,0.0316
