name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v78+v8+v8_recent_tau0.55_ch08,0.4349,0.4462,"[0.3919, 0.4433, 0.4696]",0.4233,0.0116
v78+v8+v8_recent_tau0.52_ch08,0.4353,0.4465,"[0.3923, 0.4439, 0.4697]",0.4235,0.0118
v78+v8+v8_recent_tau0.5_ch08,0.4355,0.4467,"[0.3926, 0.4443, 0.4697]",0.4237,0.0118
v78+v8_recent_tau0.55_ch08,0.435,0.4473,"[0.391, 0.4394, 0.4746]",0.4246,0.0104
v78+v8+v8_recent_tau0.55_chABC08,0.4367,0.4475,"[0.3958, 0.4444, 0.47]",0.4239,0.0128
v78+v8_recent_tau0.52_ch08,0.4351,0.4475,"[0.3911, 0.4395, 0.4748]",0.4248,0.0103
v78+v8_recent_tau0.5_ch08,0.4353,0.4476,"[0.3913, 0.4397, 0.4749]",0.4248,0.0105
v78+v8+v8_recent_tau0.52_chABC08,0.4372,0.4479,"[0.3964, 0.4449, 0.4703]",0.4241,0.0131
v78+v8+v8_recent_tau0.5_ch08_chABC05_brand03,0.437,0.448,"[0.3877, 0.4559, 0.4673]",0.4189,0.0181
v78+v8+v8_recent_tau0.52_ch08_chABC05_brand03,0.4371,0.4481,"[0.3883, 0.4554, 0.4677]",0.4188,0.0183
v78+v8+v8_recent_tau0.5_chABC08,0.4376,0.4482,"[0.3969, 0.4454, 0.4704]",0.4244,0.0132
v78+v8+v8_recent_tau0.55_ch08_chABC05_brand03,0.4373,0.4483,"[0.3892, 0.4547, 0.468]",0.4188,0.0185
v78+v8_recent_tau0.55_chABC08,0.4366,0.4484,"[0.3943, 0.441, 0.4744]",0.4247,0.0119
v78+v8_recent_tau0.55_chABC05_brand03,0.4368,0.4484,"[0.4028, 0.4295, 0.478]",0.4294,0.0074
v78+v8+v8_recent_tau0.55_chABC05_brand03,0.4371,0.4486,"[0.4016, 0.4326, 0.477]",0.4294,0.0077
v78+v8_recent_tau0.52_ch08_chABC05_brand03,0.4363,0.4487,"[0.3855, 0.4503, 0.4731]",0.4199,0.0164
v78+v8_recent_tau0.52_chABC08,0.4369,0.4487,"[0.395, 0.4412, 0.4746]",0.4248,0.0121
v78+v8_recent_tau0.5_ch08_chABC05_brand03,0.4363,0.4488,"[0.3853, 0.4505, 0.4732]",0.4199,0.0164
v78+v8_recent_tau0.55_ch08_chABC05_brand03,0.4365,0.4488,"[0.3866, 0.4501, 0.4729]",0.4199,0.0166
v78+v8_recent_tau0.52_chABC05_brand03,0.4373,0.4489,"[0.4038, 0.4296, 0.4785]",0.4298,0.0075
v78+v8_recent_tau0.5_chABC08,0.4372,0.4489,"[0.3957, 0.4413, 0.4747]",0.4249,0.0123
v78+v8_tau0.55_ch08,0.4379,0.449,"[0.3937, 0.449, 0.4711]",0.4262,0.0117
v78+v8+v8_recent_tau0.52_chABC05_brand03,0.4375,0.449,"[0.4022, 0.4329, 0.4773]",0.4297,0.0078
v78+v8+v8_recent_tau0.5_chABC05_brand03,0.4378,0.4492,"[0.4027, 0.4333, 0.4774]",0.43,0.0078
v78+v8_tau0.52_ch08,0.4382,0.4492,"[0.3941, 0.4492, 0.4712]",0.4263,0.0119
v78+v8_recent_tau0.5_chABC05_brand03,0.4378,0.4493,"[0.4046, 0.4297, 0.479]",0.43,0.0078
v78+v8_tau0.5_ch08,0.4383,0.4493,"[0.3944, 0.4494, 0.4712]",0.4264,0.0119
v78+v8_tau0.55_chABC08,0.4398,0.4504,"[0.3977, 0.4501, 0.4717]",0.4269,0.0129
v78+v8_tau0.5_ch08_chABC05_brand03,0.4405,0.4506,"[0.3937, 0.4602, 0.4675]",0.4216,0.0189
v78+v8_tau0.52_chABC08,0.4402,0.4507,"[0.3984, 0.4502, 0.4719]",0.4271,0.0131
v78+v8_tau0.52_ch08_chABC05_brand03,0.4407,0.4507,"[0.3945, 0.4599, 0.4676]",0.4215,0.0192
v78+v8_tau0.5_chABC08,0.4404,0.4508,"[0.3988, 0.4504, 0.4719]",0.4272,0.0132
v78+v8_tau0.55_ch08_chABC05_brand03,0.4409,0.4508,"[0.3956, 0.4596, 0.4676]",0.4215,0.0194
v78+v8_tau0.55_chABC05_brand03,0.4401,0.4513,"[0.4033, 0.4391, 0.4779]",0.4316,0.0085
v78+v8_tau0.52_chABC05_brand03,0.4404,0.4516,"[0.404, 0.439, 0.4782]",0.432,0.0084
v78+v8_tau0.5_chABC05_brand03,0.4406,0.4518,"[0.4045, 0.4391, 0.4783]",0.4322,0.0084
v78_baseline_tau0.55_chABC05_brand03,0.4546,0.4668,"[0.4118, 0.4576, 0.4944]",0.4441,0.0105
v78_baseline_tau0.52_chABC05_brand03,0.4549,0.4671,"[0.4132, 0.4561, 0.4953]",0.4451,0.0098
v78_baseline_tau0.5_chABC05_brand03,0.4552,0.4673,"[0.4148, 0.4549, 0.4958]",0.4457,0.0095
v78_baseline_tau0.5_chABC08,0.4565,0.4683,"[0.4141, 0.461, 0.4943]",0.4435,0.013
v78_baseline_tau0.52_chABC08,0.457,0.4686,"[0.415, 0.462, 0.4939]",0.4431,0.0139
v78_baseline_tau0.55_chABC08,0.4579,0.469,"[0.4172, 0.4633, 0.4931]",0.4424,0.0155
v78_baseline_tau0.5_ch08,0.4576,0.4691,"[0.4176, 0.4602, 0.495]",0.4438,0.0138
v78_baseline_tau0.52_ch08,0.4581,0.4694,"[0.4186, 0.4611, 0.4946]",0.4435,0.0146
v78_baseline_tau0.55_ch08,0.4588,0.4697,"[0.4203, 0.4623, 0.4939]",0.4429,0.0159
v78_baseline_tau0.5_ch08_chABC05_brand03,0.4616,0.4717,"[0.4265, 0.4642, 0.4942]",0.4409,0.0207
v78_baseline_tau0.52_ch08_chABC05_brand03,0.462,0.4719,"[0.4272, 0.465, 0.4939]",0.4407,0.0213
v78_baseline_tau0.55_ch08_chABC05_brand03,0.4625,0.4721,"[0.4283, 0.466, 0.4932]",0.4403,0.0222
