weights,w_base,w_v12ext,w_v11g93,w_chronos_ft,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"[0.85, 0.0, 0.15, 0.0]",0.85,0.0,0.15,0.0,0.41430999999999996,-1.8051,-0.957
"[0.825, 0.0, 0.15, 0.025]",0.825,0.0,0.15,0.025,0.41669,-2.0903,-0.98
"[0.8, 0.0, 0.15, 0.05]",0.8,0.0,0.15,0.05,0.41962,-2.3754999999999997,-1.003
"[0.775, 0.0, 0.15, 0.075]",0.775,0.0,0.15,0.075,0.4232,-2.6604,-1.026
"[0.75, 0.0, 0.15, 0.1]",0.75,0.0,0.15,0.1,0.42759,-2.9455999999999998,-1.049
"[0.725, 0.0, 0.15, 0.125]",0.725,0.0,0.15,0.125,0.43271,-3.2308,-1.072
"[0.7, 0.0, 0.15, 0.15]",0.7,0.0,0.15,0.15,0.43821,-3.5159,-1.095
"[0.65, 0.0, 0.15, 0.2]",0.65,0.0,0.15,0.2,0.45058,-4.0863,-1.141
"[0.8, 0.0, 0.2, 0.0]",0.8,0.0,0.2,0.0,0.41608,-2.1293,-1.389
"[0.775, 0.0, 0.2, 0.025]",0.775,0.0,0.2,0.025,0.41847999999999996,-2.4145000000000003,-1.412
"[0.75, 0.0, 0.2, 0.05]",0.75,0.0,0.2,0.05,0.42148,-2.6997,-1.435
"[0.725, 0.0, 0.2, 0.075]",0.725,0.0,0.2,0.075,0.42525,-2.9846000000000004,-1.458
"[0.7, 0.0, 0.2, 0.1]",0.7,0.0,0.2,0.1,0.42989,-3.27,-1.481
"[0.675, 0.0, 0.2, 0.125]",0.675,0.0,0.2,0.125,0.43503000000000003,-3.5552,-1.504
"[0.65, 0.0, 0.2, 0.15]",0.65,0.0,0.2,0.15,0.4406,-3.8406000000000002,-1.528
"[0.6, 0.0, 0.2, 0.2]",0.6,0.0,0.2,0.2,0.45304,-4.4110000000000005,-1.574
"[0.975, 0.025, 0.0, 0.0]",0.975,0.025,0.0,0.0,0.41072999999999993,-0.9581,0.209
"[0.95, 0.025, 0.0, 0.025]",0.95,0.025,0.0,0.025,0.41292,-1.2433,0.186
"[0.925, 0.025, 0.0, 0.05]",0.925,0.025,0.0,0.05,0.41558000000000006,-1.5285,0.163
"[0.9, 0.025, 0.0, 0.075]",0.9,0.025,0.0,0.075,0.41877,-1.8134,0.14
"[0.875, 0.025, 0.0, 0.1]",0.875,0.025,0.0,0.1,0.42262,-2.0986000000000002,0.117
"[0.85, 0.025, 0.0, 0.125]",0.85,0.025,0.0,0.125,0.42696,-2.3838,0.094
"[0.825, 0.025, 0.0, 0.15]",0.825,0.025,0.0,0.15,0.43232000000000004,-2.6689,0.071
"[0.775, 0.025, 0.0, 0.2]",0.775,0.025,0.0,0.2,0.44425,-3.2398000000000002,0.024
"[0.95, 0.025, 0.025, 0.0]",0.95,0.025,0.025,0.0,0.4105,-1.1202,-0.007
"[0.925, 0.025, 0.025, 0.025]",0.925,0.025,0.025,0.025,0.41284,-1.4054,-0.03
"[0.9, 0.025, 0.025, 0.05]",0.9,0.025,0.025,0.05,0.41557,-1.6905999999999999,-0.053
"[0.875, 0.025, 0.025, 0.075]",0.875,0.025,0.025,0.075,0.41896,-1.9755000000000003,-0.076
"[0.85, 0.025, 0.025, 0.1]",0.85,0.025,0.025,0.1,0.42298,-2.2607,-0.099
