helper,lambda,OOF_recency,OOF_bias_recency_pct,most_recent_fold_bias_pct,robust_objective
v11_g93,0.0,0.4091,-0.866,-1.466,0.4164
v11_g93,0.025,0.4095,-1.03,-1.64,0.4177
v11_g93,0.05,0.4099,-1.192,-1.813,0.419
v11_g93,0.075,0.4104,-1.355,-1.987,0.4203
v11_g93,0.1,0.4112,-1.518,-2.16,0.422
v11_g93,0.125,0.4121,-1.681,-2.333,0.4238
v11_g93,0.15,0.413,-1.844,-2.507,0.4255
v11_g93,0.175,0.4139,-2.007,-2.68,0.4273
v11_g93,0.2,0.4148,-2.17,-2.854,0.4291
v11_g93,0.225,0.4157,-2.333,-3.027,0.4309
v11_g93,0.25,0.4167,-2.495,-3.2,0.4327
v11_g93,0.275,0.4176,-2.659,-3.374,0.4345
v11_g93,0.3,0.4186,-2.822,-3.547,0.4364
v11_g93,0.325,0.4197,-2.985,-3.721,0.4383
v11_g93,0.35,0.4207,-3.147,-3.894,0.4401
v11_g93,0.375,0.4218,-3.31,-4.067,0.4421
v11_g93,0.4,0.4228,-3.473,-4.241,0.444
v11_g93,0.425,0.4239,-3.636,-4.414,0.446
v11_g93,0.45,0.425,-3.799,-4.588,0.448
v11_g93,0.475,0.4262,-3.962,-4.761,0.45
v11_g93,0.5,0.4274,-4.125,-4.934,0.452
v11_recent_only,0.0,0.4091,-0.866,-1.466,0.4164
v11_recent_only,0.025,0.4094,-1.053,-1.648,0.4176
v11_recent_only,0.05,0.4097,-1.239,-1.83,0.4189
v11_recent_only,0.075,0.4104,-1.426,-2.012,0.4205
v11_recent_only,0.1,0.4113,-1.613,-2.194,0.4222
v11_recent_only,0.125,0.4122,-1.799,-2.376,0.4241
v11_recent_only,0.15,0.4131,-1.986,-2.558,0.4259
v11_recent_only,0.175,0.414,-2.172,-2.739,0.4277
v11_recent_only,0.2,0.415,-2.358,-2.921,0.4296
v11_recent_only,0.225,0.416,-2.545,-3.103,0.4315
v11_recent_only,0.25,0.417,-2.732,-3.285,0.4335
v11_recent_only,0.275,0.4181,-2.918,-3.467,0.4354
v11_recent_only,0.3,0.4192,-3.105,-3.649,0.4374
v11_recent_only,0.325,0.4203,-3.291,-3.83,0.4395
v11_recent_only,0.35,0.4214,-3.478,-4.012,0.4415
v11_recent_only,0.375,0.4226,-3.664,-4.194,0.4436
v11_recent_only,0.4,0.4238,-3.851,-4.376,0.4457
v11_recent_only,0.425,0.425,-4.037,-4.558,0.4478
v11_recent_only,0.45,0.4263,-4.224,-4.74,0.45
v11_recent_only,0.475,0.4275,-4.41,-4.922,0.4521
v11_recent_only,0.5,0.4288,-4.596,-5.103,0.4544
v12_multiseed,0.0,0.4091,-0.866,-1.466,0.4164
v12_multiseed,0.025,0.4094,-1.05,-1.644,0.4176
v12_multiseed,0.05,0.4097,-1.233,-1.822,0.4188
v12_multiseed,0.075,0.4103,-1.417,-2.0,0.4203
v12_multiseed,0.1,0.4112,-1.6,-2.177,0.4221
v12_multiseed,0.125,0.4121,-1.783,-2.355,0.4238
v12_multiseed,0.15,0.4129,-1.967,-2.533,0.4256
v12_multiseed,0.175,0.4138,-2.15,-2.711,0.4274
v12_multiseed,0.2,0.4147,-2.333,-2.888,0.4292
v12_multiseed,0.225,0.4157,-2.517,-3.066,0.431
v12_multiseed,0.25,0.4166,-2.701,-3.244,0.4329
v12_multiseed,0.275,0.4176,-2.884,-3.422,0.4347
v12_multiseed,0.3,0.4186,-3.067,-3.599,0.4366
v12_multiseed,0.325,0.4196,-3.251,-3.777,0.4385
v12_multiseed,0.35,0.4207,-3.434,-3.955,0.4404
v12_multiseed,0.375,0.4217,-3.618,-4.133,0.4424
v12_multiseed,0.4,0.4228,-3.801,-4.31,0.4443
v12_multiseed,0.425,0.4239,-3.985,-4.488,0.4463
v12_multiseed,0.45,0.425,-4.168,-4.666,0.4483
v12_multiseed,0.475,0.4261,-4.351,-4.843,0.4503
v12_multiseed,0.5,0.4272,-4.534,-5.021,0.4523
