name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
trio+v9+v10_tau0.55_ch08_chABC_brand,0.3874,0.412,"[0.3033, 0.3903, 0.4685]",0.3511,0.0363
trio+v10_recent_tau0.52_chABC05_brand03,0.3879,0.4121,"[0.3082, 0.3867, 0.4689]",0.3519,0.036
all_lads_v9_v10_tau0.55_ch08_chABC_brand,0.3878,0.4121,"[0.3053, 0.3901, 0.468]",0.3512,0.0366
trio+v10_tau0.52_ch08_chABC_brand,0.3873,0.4121,"[0.3025, 0.3908, 0.4687]",0.3512,0.0361
trio+v9+v10_tau0.52_ch08_chABC_brand,0.3875,0.4121,"[0.3035, 0.3904, 0.4685]",0.3512,0.0363
trio+v9+v10_tau0.5_ch08_chABC_brand,0.3875,0.4121,"[0.3036, 0.3904, 0.4685]",0.3512,0.0363
trio+v10_recent_tau0.5_chABC05_brand03,0.3879,0.4121,"[0.3085, 0.3863, 0.469]",0.352,0.0359
all_lads_v9_v10_tau0.52_ch08_chABC_brand,0.3878,0.4122,"[0.3053, 0.39, 0.4682]",0.3512,0.0366
trio+v10_tau0.5_ch08_chABC_brand,0.3874,0.4122,"[0.3026, 0.3908, 0.4688]",0.3512,0.0362
all_lads_v9_v10_tau0.5_ch08_chABC_brand,0.3879,0.4123,"[0.3053, 0.39, 0.4685]",0.3513,0.0366
all_lads_v9_v10_tau0.5_ch08,0.3883,0.4123,"[0.3097, 0.3858, 0.4693]",0.3519,0.0364
trio+v10_tau0.55_chABC05_brand03,0.3889,0.4128,"[0.3097, 0.3881, 0.4689]",0.3517,0.0372
trio+v10_tau0.52_chABC05_brand03,0.389,0.4129,"[0.3102, 0.3879, 0.469]",0.3518,0.0372
trio+v10_tau0.5_chABC05_brand03,0.3891,0.413,"[0.3105, 0.3878, 0.4691]",0.3519,0.0372
trio+v9+v10_tau0.55_chABC05_brand03,0.3897,0.4131,"[0.314, 0.386, 0.469]",0.3517,0.038
trio+v9+v10_tau0.52_chABC05_brand03,0.39,0.4134,"[0.3147, 0.3861, 0.4692]",0.3518,0.0382
trio+v9+v10_tau0.5_chABC05_brand03,0.3903,0.4136,"[0.3152, 0.3863, 0.4693]",0.3519,0.0384
all_lads_v9_v10_tau0.55_chABC05_brand03,0.3939,0.4159,"[0.3251, 0.3868, 0.4697]",0.3524,0.0415
all_lads_v9_v10_tau0.52_chABC05_brand03,0.3942,0.4164,"[0.325, 0.3868, 0.4707]",0.3529,0.0413
all_lads_v9_v10_tau0.5_chABC05_brand03,0.3946,0.4171,"[0.325, 0.3869, 0.472]",0.3531,0.0415
v9_lad_only_tau0.55_ch08,0.3951,0.421,"[0.3067, 0.3985, 0.4802]",0.3629,0.0322
v9_lad_only_tau0.52_ch08,0.3951,0.421,"[0.3067, 0.3985, 0.4802]",0.3629,0.0322
v9_lad_only_tau0.5_ch08,0.3951,0.421,"[0.3067, 0.3985, 0.4802]",0.3629,0.0322
v9_lad_only_tau0.55_chABC05_brand03,0.3959,0.4218,"[0.3081, 0.3985, 0.4812]",0.3633,0.0326
v9_lad_only_tau0.52_chABC05_brand03,0.3959,0.4218,"[0.3081, 0.3985, 0.4812]",0.3633,0.0326
v9_lad_only_tau0.5_chABC05_brand03,0.3959,0.4218,"[0.3081, 0.3985, 0.4812]",0.3633,0.0326
v9_lad_only_tau0.52_ch08_chABC_brand,0.3962,0.422,"[0.3068, 0.4008, 0.4809]",0.3629,0.0333
v9_lad_only_tau0.5_ch08_chABC_brand,0.3962,0.422,"[0.3068, 0.4008, 0.4809]",0.3629,0.0333
v9_lad_only_tau0.55_ch08_chABC_brand,0.3962,0.422,"[0.3068, 0.4008, 0.4809]",0.3629,0.0333
