name,OOF_mean,OOF_recency,OOF_folds,in_sample,gap
v9+v10_em+v10_recent_tau0.55_ch08_chABC05_brand03,0.388,0.413,"[0.3053, 0.3875, 0.4713]",0.3528,0.0352
v9+v10+v10_recent_tau0.5_ch08_chABC05_brand03,0.3881,0.413,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v9+v10_em+v10_recent_tau0.52_ch08_chABC05_brand03,0.3881,0.413,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v9+v10+v10_recent_tau0.55_ch08_chABC05_brand03,0.388,0.413,"[0.3053, 0.3875, 0.4713]",0.3528,0.0352
v9+v10+v10_recent_tau0.52_ch08_chABC05_brand03,0.3881,0.413,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v9+v10_em+v10_recent_tau0.5_ch08_chABC05_brand03,0.3881,0.413,"[0.3053, 0.3876, 0.4714]",0.3525,0.0356
v9+v10_recent_tau0.52_ch08,0.3901,0.4134,"[0.3138, 0.3877, 0.4687]",0.3596,0.0305
v9+v10_recent_tau0.5_ch08,0.39,0.4134,"[0.3137, 0.3877, 0.4687]",0.3596,0.0304
v9+v10_recent_tau0.55_ch08,0.3906,0.4137,"[0.3152, 0.3878, 0.4687]",0.3597,0.0309
v9+v10_recent_tau0.5_ch08_chABC05_brand03,0.3906,0.4144,"[0.3078, 0.3955, 0.4684]",0.3552,0.0354
v9+v10_recent_tau0.52_ch08_chABC05_brand03,0.3907,0.4145,"[0.3079, 0.3955, 0.4686]",0.3553,0.0354
v9+v10_recent_tau0.55_ch08_chABC05_brand03,0.3911,0.4148,"[0.3094, 0.3953, 0.4686]",0.3555,0.0356
v9+v10_em+v10_recent_tau0.5_ch08,0.3899,0.4149,"[0.3097, 0.3847, 0.4752]",0.3571,0.0328
v9+v10+v10_recent_tau0.5_ch08,0.3899,0.4149,"[0.3097, 0.3847, 0.4752]",0.3571,0.0328
v9+v10+v10_recent_tau0.55_ch08,0.39,0.415,"[0.3102, 0.3849, 0.475]",0.3571,0.0329
v9+v10_em+v10_recent_tau0.55_ch08,0.39,0.415,"[0.3102, 0.3849, 0.475]",0.3571,0.0329
v9+v10+v10_recent_tau0.52_ch08,0.3899,0.415,"[0.3097, 0.3848, 0.4752]",0.357,0.0329
v9+v10_em+v10_recent_tau0.52_ch08,0.3899,0.415,"[0.3097, 0.3848, 0.4752]",0.357,0.0329
v9+v10_em_tau0.55_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4781]",0.3548,0.0361
v9+v10_tau0.55_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4781]",0.3548,0.0361
v9+v10_em_tau0.5_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4782]",0.3547,0.0362
v9+v10_tau0.52_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4781]",0.3547,0.0362
v9+v10_tau0.5_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4782]",0.3547,0.0362
v9+v10_em_tau0.52_ch08_chABC05_brand03,0.3909,0.4168,"[0.3063, 0.3883, 0.4781]",0.3547,0.0362
v9+v10_recent_tau0.5_chABC08,0.3958,0.4176,"[0.3257, 0.3916, 0.47]",0.3607,0.0351
v9+v10_recent_tau0.52_chABC08,0.3958,0.4177,"[0.3258, 0.3917, 0.47]",0.3606,0.0352
v9+v10_recent_tau0.55_chABC08,0.3963,0.4179,"[0.327, 0.3918, 0.47]",0.3607,0.0356
v9+v10_em_tau0.52_ch08,0.3928,0.4189,"[0.3093, 0.3873, 0.4818]",0.3587,0.0341
v9+v10_tau0.52_ch08,0.3928,0.4189,"[0.3093, 0.3873, 0.4818]",0.3587,0.0341
v9+v10_em_tau0.55_ch08,0.3928,0.419,"[0.3094, 0.3873, 0.4818]",0.3587,0.0341
v9+v10_tau0.5_ch08,0.3928,0.419,"[0.3093, 0.3873, 0.4819]",0.3587,0.0341
v9+v10_em_tau0.5_ch08,0.3928,0.419,"[0.3093, 0.3873, 0.4819]",0.3587,0.0341
v9+v10_tau0.55_ch08,0.3928,0.419,"[0.3094, 0.3873, 0.4818]",0.3587,0.0341
v9+v10+v10_recent_tau0.52_chABC08,0.3959,0.4194,"[0.3226, 0.3886, 0.4765]",0.3584,0.0375
v9+v10+v10_recent_tau0.5_chABC08,0.3959,0.4194,"[0.3225, 0.3886, 0.4766]",0.3585,0.0374
v9+v10_em+v10_recent_tau0.55_chABC08,0.396,0.4194,"[0.323, 0.3887, 0.4764]",0.3585,0.0375
v9+v10+v10_recent_tau0.55_chABC08,0.396,0.4194,"[0.323, 0.3887, 0.4764]",0.3585,0.0375
v9+v10_em+v10_recent_tau0.52_chABC08,0.3959,0.4194,"[0.3226, 0.3886, 0.4765]",0.3584,0.0375
v9+v10_em+v10_recent_tau0.5_chABC08,0.3959,0.4194,"[0.3225, 0.3886, 0.4766]",0.3585,0.0374
v9+v10_recent_tau0.52_chABC05_brand03,0.3981,0.4204,"[0.3284, 0.3911, 0.4748]",0.3653,0.0328
v9+v10_recent_tau0.5_chABC05_brand03,0.3981,0.4204,"[0.3283, 0.3911, 0.4748]",0.3653,0.0328
