weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(0.65, 0.075, 0.15, 0.125)",0.65,0.075,0.15,0.125,0.44011999999999996,-4.4707,-2.106
"(0.625, 0.075, 0.15, 0.15)",0.625,0.075,0.15,0.15,0.44732000000000005,-4.9286,-2.258
"(0.725, 0.075, 0.2, 0.0)",0.725,0.075,0.2,0.0,0.41725,-2.5090000000000003,-1.783
"(0.7, 0.075, 0.2, 0.025)",0.7,0.075,0.2,0.025,0.42022000000000004,-2.9661,-1.934
"(0.675, 0.075, 0.2, 0.05)",0.675,0.075,0.2,0.05,0.42447,-3.4235,-2.085
"(0.65, 0.075, 0.2, 0.075)",0.65,0.075,0.2,0.075,0.42979,-3.8811,-2.237
"(0.625, 0.075, 0.2, 0.1)",0.625,0.075,0.2,0.1,0.43588000000000005,-4.3385,-2.388
"(0.6, 0.075, 0.2, 0.125)",0.6,0.075,0.2,0.125,0.44257,-4.7956,-2.539
"(0.9, 0.1, 0.0, 0.0)",0.9,0.1,0.0,0.0,0.41071,-1.3376,-0.185
"(0.875, 0.1, 0.0, 0.025)",0.875,0.1,0.0,0.025,0.41351,-1.7947,-0.336
"(0.85, 0.1, 0.0, 0.05)",0.85,0.1,0.0,0.05,0.41706,-2.2521,-0.487
"(0.825, 0.1, 0.0, 0.075)",0.825,0.1,0.0,0.075,0.42157,-2.7092,-0.638
"(0.8, 0.1, 0.0, 0.1)",0.8,0.1,0.0,0.1,0.4274,-3.1666,-0.789
"(0.775, 0.1, 0.0, 0.125)",0.775,0.1,0.0,0.125,0.43390000000000006,-3.6242,-0.941
"(0.75, 0.1, 0.0, 0.15)",0.75,0.1,0.0,0.15,0.44098,-4.0818,-1.092
"(0.7, 0.1, 0.0, 0.2)",0.7,0.1,0.0,0.2,0.45686000000000004,-4.9963,-1.394
"(0.875, 0.1, 0.025, 0.0)",0.875,0.1,0.025,0.0,0.4115,-1.4997000000000003,-0.401
"(0.85, 0.1, 0.025, 0.025)",0.85,0.1,0.025,0.025,0.41437999999999997,-1.9568,-0.552
"(0.825, 0.1, 0.025, 0.05)",0.825,0.1,0.025,0.05,0.41792999999999997,-2.4144,-0.703
"(0.8, 0.1, 0.025, 0.075)",0.8,0.1,0.025,0.075,0.42261,-2.872,-0.855
"(0.775, 0.1, 0.025, 0.1)",0.775,0.1,0.025,0.1,0.42851,-3.3294,-1.006
"(0.75, 0.1, 0.025, 0.125)",0.75,0.1,0.025,0.125,0.43498000000000003,-3.7865,-1.157
"(0.725, 0.1, 0.025, 0.15)",0.725,0.1,0.025,0.15,0.44214,-4.2439,-1.308
"(0.675, 0.1, 0.025, 0.2)",0.675,0.1,0.025,0.2,0.45804,-5.1584,-1.61
"(0.85, 0.1, 0.05, 0.0)",0.85,0.1,0.05,0.0,0.41235,-1.662,-0.617
"(0.825, 0.1, 0.05, 0.025)",0.825,0.1,0.05,0.025,0.41522,-2.1191,-0.768
"(0.8, 0.1, 0.05, 0.05)",0.8,0.1,0.05,0.05,0.41881999999999997,-2.577,-0.92
"(0.775, 0.1, 0.05, 0.075)",0.775,0.1,0.05,0.075,0.42364999999999997,-3.0341,-1.071
"(0.75, 0.1, 0.05, 0.1)",0.75,0.1,0.05,0.1,0.4296,-3.4915000000000003,-1.222
"(0.725, 0.1, 0.05, 0.125)",0.725,0.1,0.05,0.125,0.43611999999999995,-3.9486000000000003,-1.373
"(0.7, 0.1, 0.05, 0.15)",0.7,0.1,0.05,0.15,0.4433,-4.406000000000001,-1.524
"(0.6499999999999999, 0.1, 0.05, 0.2)",0.6499999999999999,0.1,0.05,0.2,0.45921999999999996,-5.3205,-1.826
"(0.825, 0.1, 0.075, 0.0)",0.825,0.1,0.075,0.0,0.41318999999999995,-1.8241,-0.833
"(0.8, 0.1, 0.075, 0.025)",0.8,0.1,0.075,0.025,0.41608999999999996,-2.2817000000000003,-0.985
"(0.775, 0.1, 0.075, 0.05)",0.775,0.1,0.075,0.05,0.41974,-2.7391,-1.136
"(0.75, 0.1, 0.075, 0.075)",0.75,0.1,0.075,0.075,0.42479,-3.1962,-1.287
"(0.725, 0.1, 0.075, 0.1)",0.725,0.1,0.075,0.1,0.43071000000000004,-3.6535999999999995,-1.438
"(0.7, 0.1, 0.075, 0.125)",0.7,0.1,0.075,0.125,0.43728,-4.1107,-1.589
"(0.675, 0.1, 0.075, 0.15)",0.675,0.1,0.075,0.15,0.44443,-4.5681,-1.74
"(0.625, 0.1, 0.075, 0.2)",0.625,0.1,0.075,0.2,0.46048,-5.4831,-2.043
"(0.8, 0.1, 0.1, 0.0)",0.8,0.1,0.1,0.0,0.41406000000000004,-1.9867,-1.05
"(0.775, 0.1, 0.1, 0.025)",0.775,0.1,0.1,0.025,0.41698,-2.4438000000000004,-1.201
"(0.75, 0.1, 0.1, 0.05)",0.75,0.1,0.1,0.05,0.42062999999999995,-2.9012000000000002,-1.352
"(0.725, 0.1, 0.1, 0.075)",0.725,0.1,0.1,0.075,0.42583000000000004,-3.3583,-1.503
"(0.7, 0.1, 0.1, 0.1)",0.7,0.1,0.1,0.1,0.43184999999999996,-3.8156999999999996,-1.654
"(0.675, 0.1, 0.1, 0.125)",0.675,0.1,0.1,0.125,0.43844,-4.2728,-1.805
"(0.65, 0.1, 0.1, 0.15)",0.65,0.1,0.1,0.15,0.44564000000000004,-4.7307,-1.957
"(0.6, 0.1, 0.1, 0.2)",0.6,0.1,0.1,0.2,0.46173000000000003,-5.645200000000001,-2.259
"(0.775, 0.1, 0.125, 0.0)",0.775,0.1,0.125,0.0,0.41496,-2.1488,-1.266
"(0.75, 0.1, 0.125, 0.025)",0.75,0.1,0.125,0.025,0.41784999999999994,-2.6059,-1.417
"(0.725, 0.1, 0.125, 0.05)",0.725,0.1,0.125,0.05,0.42172,-3.0633,-1.568
"(0.7, 0.1, 0.125, 0.075)",0.7,0.1,0.125,0.075,0.42696999999999996,-3.5204,-1.719
"(0.675, 0.1, 0.125, 0.1)",0.675,0.1,0.125,0.1,0.43298,-3.9778000000000002,-1.87
"(0.65, 0.1, 0.125, 0.125)",0.65,0.1,0.125,0.125,0.43962999999999997,-4.4354,-2.022
"(0.625, 0.1, 0.125, 0.15)",0.625,0.1,0.125,0.15,0.44684999999999997,-4.8928,-2.173
"(0.75, 0.1, 0.15, 0.0)",0.75,0.1,0.15,0.0,0.4158,-2.3109,-1.482
"(0.725, 0.1, 0.15, 0.025)",0.725,0.1,0.15,0.025,0.41879,-2.768,-1.633
"(0.7, 0.1, 0.15, 0.05)",0.7,0.1,0.15,0.05,0.42281,-3.2254,-1.784
"(0.675, 0.1, 0.15, 0.075)",0.675,0.1,0.15,0.075,0.42813,-3.6825,-1.935
"(0.65, 0.1, 0.15, 0.1)",0.65,0.1,0.15,0.1,0.43412000000000006,-4.1404000000000005,-2.087
"(0.625, 0.1, 0.15, 0.125)",0.625,0.1,0.15,0.125,0.44079,-4.5975,-2.238
"(0.6, 0.1, 0.15, 0.15)",0.6,0.1,0.15,0.15,0.44803000000000004,-5.0549,-2.389
"(0.7, 0.1, 0.2, 0.0)",0.7,0.1,0.2,0.0,0.41769,-2.6351,-1.914
"(0.675, 0.1, 0.2, 0.025)",0.675,0.1,0.2,0.025,0.42064999999999997,-3.0927000000000002,-2.066
"(0.6499999999999999, 0.1, 0.2, 0.05)",0.6499999999999999,0.1,0.2,0.05,0.42506999999999995,-3.5501000000000005,-2.217
"(0.625, 0.1, 0.2, 0.075)",0.625,0.1,0.2,0.075,0.43045999999999995,-4.0072,-2.368
"(0.6, 0.1, 0.2, 0.1)",0.6,0.1,0.2,0.1,0.43652,-4.4648,-2.519
"(0.875, 0.125, 0.0, 0.0)",0.875,0.125,0.0,0.0,0.41105,-1.4639,-0.316
"(0.85, 0.125, 0.0, 0.025)",0.85,0.125,0.0,0.025,0.41390000000000005,-1.921,-0.467
"(0.825, 0.125, 0.0, 0.05)",0.825,0.125,0.0,0.05,0.41747,-2.3789,-0.619
"(0.8, 0.125, 0.0, 0.075)",0.8,0.125,0.0,0.075,0.42213999999999996,-2.8360000000000003,-0.77
"(0.775, 0.125, 0.0, 0.1)",0.775,0.125,0.0,0.1,0.42799000000000004,-3.2934,-0.921
"(0.75, 0.125, 0.0, 0.125)",0.75,0.125,0.0,0.125,0.43451,-3.7504999999999997,-1.072
"(0.725, 0.125, 0.0, 0.15)",0.725,0.125,0.0,0.15,0.44164000000000003,-4.2079,-1.223
"(0.675, 0.125, 0.0, 0.2)",0.675,0.125,0.0,0.2,0.45754,-5.1224,-1.525
"(0.85, 0.125, 0.025, 0.0)",0.85,0.125,0.025,0.0,0.41192,-1.6260000000000001,-0.532
"(0.825, 0.125, 0.025, 0.025)",0.825,0.125,0.025,0.025,0.41474,-2.0836,-0.684
"(0.8, 0.125, 0.025, 0.05)",0.8,0.125,0.025,0.05,0.41835999999999995,-2.541,-0.835
"(0.775, 0.125, 0.025, 0.075)",0.775,0.125,0.025,0.075,0.42318,-2.9981,-0.986
"(0.75, 0.125, 0.025, 0.1)",0.75,0.125,0.025,0.1,0.42910000000000004,-3.4555,-1.137
"(0.725, 0.125, 0.025, 0.125)",0.725,0.125,0.025,0.125,0.43565,-3.9126,-1.288
"(0.7, 0.125, 0.025, 0.15)",0.7,0.125,0.025,0.15,0.44279999999999997,-4.3702000000000005,-1.439
"(0.6499999999999999, 0.125, 0.025, 0.2)",0.6499999999999999,0.125,0.025,0.2,0.45877,-5.2852,-1.742
"(0.825, 0.125, 0.05, 0.0)",0.825,0.125,0.05,0.0,0.41276,-1.7886,-0.749
"(0.8, 0.125, 0.05, 0.025)",0.8,0.125,0.05,0.025,0.41561000000000003,-2.2457000000000003,-0.9
"(0.775, 0.125, 0.05, 0.05)",0.775,0.125,0.05,0.05,0.41925,-2.7033,-1.051
"(0.75, 0.125, 0.05, 0.075)",0.75,0.125,0.05,0.075,0.42422,-3.1604,-1.202
"(0.725, 0.125, 0.05, 0.1)",0.725,0.125,0.05,0.1,0.43019,-3.6178,-1.353
"(0.7, 0.125, 0.05, 0.125)",0.7,0.125,0.05,0.125,0.43681000000000003,-4.0748999999999995,-1.504
"(0.675, 0.125, 0.05, 0.15)",0.675,0.125,0.05,0.15,0.44398000000000004,-4.5328,-1.656
"(0.625, 0.125, 0.05, 0.2)",0.625,0.125,0.05,0.2,0.45994999999999997,-5.4473,-1.958
"(0.8, 0.125, 0.075, 0.0)",0.8,0.125,0.075,0.0,0.41361,-1.9508999999999999,-0.965
"(0.775, 0.125, 0.075, 0.025)",0.775,0.125,0.075,0.025,0.4165,-2.408,-1.116
"(0.75, 0.125, 0.075, 0.05)",0.75,0.125,0.075,0.05,0.42017,-2.8654,-1.267
"(0.725, 0.125, 0.075, 0.075)",0.725,0.125,0.075,0.075,0.42536,-3.3225000000000002,-1.418
"(0.7, 0.125, 0.075, 0.1)",0.7,0.125,0.075,0.1,0.4313,-3.7799,-1.569
"(0.675, 0.125, 0.075, 0.125)",0.675,0.125,0.075,0.125,0.43794,-4.237500000000001,-1.721
"(0.65, 0.125, 0.075, 0.15)",0.65,0.125,0.075,0.15,0.44514,-4.6949,-1.872
"(0.6, 0.125, 0.075, 0.2)",0.6,0.125,0.075,0.2,0.46121,-5.6094,-2.174
"(0.775, 0.125, 0.1, 0.0)",0.775,0.125,0.1,0.0,0.41445,-2.113,-1.181
"(0.75, 0.125, 0.1, 0.025)",0.75,0.125,0.1,0.025,0.41739,-2.5701,-1.332
"(0.725, 0.125, 0.1, 0.05)",0.725,0.125,0.1,0.05,0.42115,-3.0275,-1.483
"(0.7, 0.125, 0.1, 0.075)",0.7,0.125,0.1,0.075,0.42647,-3.4846000000000004,-1.634
"(0.675, 0.125, 0.1, 0.1)",0.675,0.125,0.1,0.1,0.43244000000000005,-3.9425,-1.786
"(0.65, 0.125, 0.1, 0.125)",0.65,0.125,0.1,0.125,0.43908,-4.3995999999999995,-1.937
"(0.625, 0.125, 0.1, 0.15)",0.625,0.125,0.1,0.15,0.44630000000000003,-4.856999999999999,-2.088
"(0.75, 0.125, 0.125, 0.0)",0.75,0.125,0.125,0.0,0.41537,-2.2751,-1.397
"(0.725, 0.125, 0.125, 0.025)",0.725,0.125,0.125,0.025,0.41828,-2.7322,-1.548
"(0.7, 0.125, 0.125, 0.05)",0.7,0.125,0.125,0.05,0.42227,-3.1901,-1.7
"(0.675, 0.125, 0.125, 0.075)",0.675,0.125,0.125,0.075,0.42759,-3.6472,-1.851
"(0.65, 0.125, 0.125, 0.1)",0.65,0.125,0.125,0.1,0.43365,-4.1046,-2.002
"(0.625, 0.125, 0.125, 0.125)",0.625,0.125,0.125,0.125,0.44024,-4.5617,-2.153
"(0.6, 0.125, 0.125, 0.15)",0.6,0.125,0.125,0.15,0.44753,-5.0191,-2.304
"(0.725, 0.125, 0.15, 0.0)",0.725,0.125,0.15,0.0,0.41623999999999994,-2.4372,-1.613
"(0.7, 0.125, 0.15, 0.025)",0.7,0.125,0.15,0.025,0.4192,-2.8948,-1.765
"(0.675, 0.125, 0.15, 0.05)",0.675,0.125,0.15,0.05,0.42336,-3.3522,-1.916
"(0.65, 0.125, 0.15, 0.075)",0.65,0.125,0.15,0.075,0.42869999999999997,-3.8093000000000004,-2.067
"(0.625, 0.125, 0.15, 0.1)",0.625,0.125,0.15,0.1,0.43479,-4.2667,-2.218
"(0.6, 0.125, 0.15, 0.125)",0.6,0.125,0.15,0.125,0.44148,-4.7238,-2.369
"(0.675, 0.125, 0.2, 0.0)",0.675,0.125,0.2,0.0,0.41813,-2.7619,-2.046
"(0.6499999999999999, 0.125, 0.2, 0.025)",0.6499999999999999,0.125,0.2,0.025,0.42113999999999996,-3.219,-2.197
"(0.625, 0.125, 0.2, 0.05)",0.625,0.125,0.2,0.05,0.42569,-3.6764,-2.348
"(0.6, 0.125, 0.2, 0.075)",0.6,0.125,0.2,0.075,0.4311,-4.133500000000001,-2.499
"(0.85, 0.15, 0.0, 0.0)",0.85,0.15,0.0,0.0,0.41149,-1.5906999999999998,-0.448
"(0.825, 0.15, 0.0, 0.025)",0.825,0.15,0.0,0.025,0.41430999999999996,-2.0478,-0.599
"(0.8, 0.15, 0.0, 0.05)",0.8,0.15,0.0,0.05,0.41793,-2.5052000000000003,-0.75
"(0.775, 0.15, 0.0, 0.075)",0.775,0.15,0.0,0.075,0.42271000000000003,-2.9623,-0.901
"(0.75, 0.15, 0.0, 0.1)",0.75,0.15,0.0,0.1,0.42856,-3.4197000000000006,-1.052
"(0.725, 0.15, 0.0, 0.125)",0.725,0.15,0.0,0.125,0.43512999999999996,-3.8768000000000002,-1.203
"(0.7, 0.15, 0.0, 0.15)",0.7,0.15,0.0,0.15,0.4423,-4.334700000000001,-1.355
"(0.65, 0.15, 0.0, 0.2)",0.65,0.15,0.0,0.2,0.45826999999999996,-5.2492,-1.657
"(0.825, 0.15, 0.025, 0.0)",0.825,0.15,0.025,0.0,0.41230999999999995,-1.7528000000000004,-0.664
"(0.8, 0.15, 0.025, 0.025)",0.8,0.15,0.025,0.025,0.4152,-2.2099,-0.815
"(0.775, 0.15, 0.025, 0.05)",0.775,0.15,0.025,0.05,0.41881999999999997,-2.6673,-0.966
"(0.75, 0.15, 0.025, 0.075)",0.75,0.15,0.025,0.075,0.42375,-3.1244,-1.117
"(0.725, 0.15, 0.025, 0.1)",0.725,0.15,0.025,0.1,0.42969999999999997,-3.5818,-1.268
"(0.7, 0.15, 0.025, 0.125)",0.7,0.15,0.025,0.125,0.43626,-4.0394,-1.42
"(0.675, 0.15, 0.025, 0.15)",0.675,0.15,0.025,0.15,0.44345999999999997,-4.4968,-1.571
"(0.625, 0.15, 0.025, 0.2)",0.625,0.15,0.025,0.2,0.4595,-5.4113,-1.873
"(0.8, 0.15, 0.05, 0.0)",0.8,0.15,0.05,0.0,0.41318,-1.9148999999999998,-0.88
"(0.775, 0.15, 0.05, 0.025)",0.775,0.15,0.05,0.025,0.41607,-2.372,-1.031
"(0.75, 0.15, 0.05, 0.05)",0.75,0.15,0.05,0.05,0.41970999999999997,-2.8294000000000006,-1.182
"(0.725, 0.15, 0.05, 0.075)",0.725,0.15,0.05,0.075,0.42481,-3.2865,-1.333
"(0.7, 0.15, 0.05, 0.1)",0.7,0.15,0.05,0.1,0.43083000000000005,-3.7444,-1.485
"(0.675, 0.15, 0.05, 0.125)",0.675,0.15,0.05,0.125,0.43742000000000003,-4.201499999999999,-1.636
"(0.65, 0.15, 0.05, 0.15)",0.65,0.15,0.05,0.15,0.44462,-4.6589,-1.787
"(0.6, 0.15, 0.05, 0.2)",0.6,0.15,0.05,0.2,0.46071,-5.5736,-2.089
"(0.775, 0.15, 0.075, 0.0)",0.775,0.15,0.075,0.0,0.41402,-2.077,-1.096
"(0.75, 0.15, 0.075, 0.025)",0.75,0.15,0.075,0.025,0.41691,-2.5341,-1.247
"(0.725, 0.15, 0.075, 0.05)",0.725,0.15,0.075,0.05,0.42068000000000005,-2.9915,-1.398
"(0.7, 0.15, 0.075, 0.075)",0.7,0.15,0.075,0.075,0.42593,-3.4493,-1.55
"(0.675, 0.15, 0.075, 0.1)",0.675,0.15,0.075,0.1,0.43196999999999997,-3.9067,-1.701
"(0.65, 0.15, 0.075, 0.125)",0.65,0.15,0.075,0.125,0.43863,-4.3638,-1.852
"(0.625, 0.15, 0.075, 0.15)",0.625,0.15,0.075,0.15,0.44584999999999997,-4.8212,-2.003
"(0.75, 0.15, 0.1, 0.0)",0.75,0.15,0.1,0.0,0.41489,-2.2393,-1.312
"(0.725, 0.15, 0.1, 0.025)",0.725,0.15,0.1,0.025,0.41785,-2.6969000000000003,-1.464
"(0.7, 0.15, 0.1, 0.05)",0.7,0.15,0.1,0.05,0.42172,-3.1543,-1.615
"(0.675, 0.15, 0.1, 0.075)",0.675,0.15,0.1,0.075,0.42704,-3.6113999999999997,-1.766
"(0.65, 0.15, 0.1, 0.1)",0.65,0.15,0.1,0.1,0.43313,-4.0688,-1.917
"(0.625, 0.15, 0.1, 0.125)",0.625,0.15,0.1,0.125,0.43979,-4.5259,-2.068
"(0.6, 0.15, 0.1, 0.15)",0.6,0.15,0.1,0.15,0.44701,-4.9833,-2.219
"(0.725, 0.15, 0.125, 0.0)",0.725,0.15,0.125,0.0,0.41581,-2.4019,-1.529
"(0.7, 0.15, 0.125, 0.025)",0.7,0.15,0.125,0.025,0.41877,-2.859,-1.68
"(0.675, 0.15, 0.125, 0.05)",0.675,0.15,0.125,0.05,0.42289,-3.3164,-1.831
"(0.65, 0.15, 0.125, 0.075)",0.65,0.15,0.125,0.075,0.42823,-3.7735,-1.982
"(0.625, 0.15, 0.125, 0.1)",0.625,0.15,0.125,0.1,0.43428999999999995,-4.2309,-2.133
"(0.6, 0.15, 0.125, 0.125)",0.6,0.15,0.125,0.125,0.441,-4.688000000000001,-2.284
"(0.7, 0.15, 0.15, 0.0)",0.7,0.15,0.15,0.0,0.41673,-2.564,-1.745
"(0.675, 0.15, 0.15, 0.025)",0.675,0.15,0.15,0.025,0.41971,-3.0211,-1.896
"(0.65, 0.15, 0.15, 0.05)",0.65,0.15,0.15,0.05,0.42398,-3.4785000000000004,-2.047
"(0.625, 0.15, 0.15, 0.075)",0.625,0.15,0.15,0.075,0.42937000000000003,-3.9356,-2.198
"(0.6, 0.15, 0.15, 0.1)",0.6,0.15,0.15,0.1,0.43545,-4.393,-2.349
"(0.65, 0.15, 0.2, 0.0)",0.65,0.15,0.2,0.0,0.41857,-2.8882000000000003,-2.177
"(0.625, 0.15, 0.2, 0.025)",0.625,0.15,0.2,0.025,0.42164999999999997,-3.3453,-2.328
"(0.6, 0.15, 0.2, 0.05)",0.6,0.15,0.2,0.05,0.42630999999999997,-3.8027,-2.479
"(0.8, 0.2, 0.0, 0.0)",0.8,0.2,0.0,0.0,0.41227,-1.8433000000000002,-0.71
"(0.775, 0.2, 0.0, 0.025)",0.775,0.2,0.0,0.025,0.41520999999999997,-2.3009,-0.862
"(0.75, 0.2, 0.0, 0.05)",0.75,0.2,0.0,0.05,0.41886999999999996,-2.7583,-1.013
"(0.725, 0.2, 0.0, 0.075)",0.725,0.2,0.0,0.075,0.42384999999999995,-3.2154,-1.164
"(0.7, 0.2, 0.0, 0.1)",0.7,0.2,0.0,0.1,0.42984,-3.6727999999999996,-1.315
"(0.675, 0.2, 0.0, 0.125)",0.675,0.2,0.0,0.125,0.43648,-4.130199999999999,-1.466
"(0.65, 0.2, 0.0, 0.15)",0.65,0.2,0.0,0.15,0.4437,-4.587299999999999,-1.617
"(0.6, 0.2, 0.0, 0.2)",0.6,0.2,0.0,0.2,0.45976,-5.5023,-1.92
"(0.775, 0.2, 0.025, 0.0)",0.775,0.2,0.025,0.0,0.41319,-2.0058999999999996,-0.927
"(0.75, 0.2, 0.025, 0.025)",0.75,0.2,0.025,0.025,0.41608,-2.463,-1.078
"(0.725, 0.2, 0.025, 0.05)",0.725,0.2,0.025,0.05,0.41976,-2.9204000000000003,-1.229
"(0.7, 0.2, 0.025, 0.075)",0.7,0.2,0.025,0.075,0.42494,-3.3775,-1.38
"(0.675, 0.2, 0.025, 0.1)",0.675,0.2,0.025,0.1,0.43098,-3.8348999999999998,-1.531
"(0.6499999999999999, 0.2, 0.025, 0.125)",0.6499999999999999,0.2,0.025,0.125,0.43764000000000003,-4.2923,-1.682
"(0.625, 0.2, 0.025, 0.15)",0.625,0.2,0.025,0.15,0.44488,-4.7494000000000005,-1.833
"(0.75, 0.2, 0.05, 0.0)",0.75,0.2,0.05,0.0,0.41406,-2.1679999999999997,-1.143
"(0.725, 0.2, 0.05, 0.025)",0.725,0.2,0.05,0.025,0.41702,-2.6250999999999998,-1.294
"(0.7, 0.2, 0.05, 0.05)",0.7,0.2,0.05,0.05,0.42075999999999997,-3.0825000000000005,-1.445
"(0.675, 0.2, 0.05, 0.075)",0.675,0.2,0.05,0.075,0.4261,-3.5396,-1.596
"(0.6499999999999999, 0.2, 0.05, 0.1)",0.6499999999999999,0.2,0.05,0.1,0.43211,-3.997,-1.747
"(0.625, 0.2, 0.05, 0.125)",0.625,0.2,0.05,0.125,0.43879999999999997,-4.4549,-1.899
"(0.6, 0.2, 0.05, 0.15)",0.6,0.2,0.05,0.15,0.44604,-4.912000000000001,-2.05
"(0.725, 0.2, 0.075, 0.0)",0.725,0.2,0.075,0.0,0.41495000000000004,-2.3301,-1.359
"(0.7, 0.2, 0.075, 0.025)",0.7,0.2,0.075,0.025,0.41786,-2.7872,-1.51
"(0.675, 0.2, 0.075, 0.05)",0.675,0.2,0.075,0.05,0.42185,-3.2446,-1.661
"(0.65, 0.2, 0.075, 0.075)",0.65,0.2,0.075,0.075,0.42723999999999995,-3.7017,-1.812
"(0.625, 0.2, 0.075, 0.1)",0.625,0.2,0.075,0.1,0.43332,-4.1596,-1.964
"(0.6, 0.2, 0.075, 0.125)",0.6,0.2,0.075,0.125,0.44001,-4.617,-2.115
"(0.7, 0.2, 0.1, 0.0)",0.7,0.2,0.1,0.0,0.41581999999999997,-2.4922,-1.575
"(0.675, 0.2, 0.1, 0.025)",0.675,0.2,0.1,0.025,0.4188,-2.9493,-1.726
"(0.6499999999999999, 0.2, 0.1, 0.05)",0.6499999999999999,0.2,0.1,0.05,0.42296999999999996,-3.4067,-1.877
"(0.625, 0.2, 0.1, 0.075)",0.625,0.2,0.1,0.075,0.42835,-3.8643,-2.029
"(0.6, 0.2, 0.1, 0.1)",0.6,0.2,0.1,0.1,0.43446,-4.3217,-2.18
"(0.675, 0.2, 0.125, 0.0)",0.675,0.2,0.125,0.0,0.41674,-2.6543,-1.791
"(0.6499999999999999, 0.2, 0.125, 0.025)",0.6499999999999999,0.2,0.125,0.025,0.41974,-3.1114,-1.942
"(0.625, 0.2, 0.125, 0.05)",0.625,0.2,0.125,0.05,0.42413,-3.5693,-2.094
"(0.6, 0.2, 0.125, 0.075)",0.6,0.2,0.125,0.075,0.42954,-4.0266,-2.245
"(0.65, 0.2, 0.15, 0.0)",0.65,0.2,0.15,0.0,0.41766000000000003,-2.8171,-2.008
"(0.625, 0.2, 0.15, 0.025)",0.625,0.2,0.15,0.025,0.42076,-3.2742,-2.159
"(0.6, 0.2, 0.15, 0.05)",0.6,0.2,0.15,0.05,0.42524,-3.7316000000000003,-2.31
"(0.6, 0.2, 0.2, 0.0)",0.6,0.2,0.2,0.0,0.41957,-3.1413,-2.44
