weights,w_base,w_v12ext,w_v11g93,w_chronos,OOF_recency,OOF_bias_recency_pct,last_fold_bias_pct
"(0.85, 0.0, 0.15, 0.0)",0.85,0.0,0.15,0.0,0.41430999999999996,-1.8051,-0.957
"(0.825, 0.0, 0.15, 0.025)",0.825,0.0,0.15,0.025,0.41722000000000004,-2.2625,-1.108
"(0.8, 0.0, 0.15, 0.05)",0.8,0.0,0.15,0.05,0.4208,-2.7196,-1.259
"(0.775, 0.0, 0.15, 0.075)",0.775,0.0,0.15,0.075,0.42588000000000004,-3.177,-1.41
"(0.75, 0.0, 0.15, 0.1)",0.75,0.0,0.15,0.1,0.43172999999999995,-3.6341,-1.561
"(0.725, 0.0, 0.15, 0.125)",0.725,0.0,0.15,0.125,0.43826,-4.0915,-1.712
"(0.7, 0.0, 0.15, 0.15)",0.7,0.0,0.15,0.15,0.44541,-4.5489,-1.863
"(0.65, 0.0, 0.15, 0.2)",0.65,0.0,0.15,0.2,0.4614,-5.463900000000001,-2.166
"(0.8, 0.0, 0.2, 0.0)",0.8,0.0,0.2,0.0,0.41608,-2.1293,-1.389
"(0.775, 0.0, 0.2, 0.025)",0.775,0.0,0.2,0.025,0.41901,-2.5867,-1.54
"(0.75, 0.0, 0.2, 0.05)",0.75,0.0,0.2,0.05,0.42286999999999997,-3.0438,-1.691
"(0.725, 0.0, 0.2, 0.075)",0.725,0.0,0.2,0.075,0.42806,-3.5012,-1.842
"(0.7, 0.0, 0.2, 0.1)",0.7,0.0,0.2,0.1,0.43403,-3.9588,-1.994
"(0.675, 0.0, 0.2, 0.125)",0.675,0.0,0.2,0.125,0.44062999999999997,-4.4162,-2.145
"(0.65, 0.0, 0.2, 0.15)",0.65,0.0,0.2,0.15,0.44781000000000004,-4.8736,-2.296
"(0.6, 0.0, 0.2, 0.2)",0.6,0.0,0.2,0.2,0.46391,-5.7881,-2.598
"(0.975, 0.025, 0.0, 0.0)",0.975,0.025,0.0,0.0,0.41072999999999993,-0.9581,0.209
"(0.95, 0.025, 0.0, 0.025)",0.95,0.025,0.0,0.025,0.41276999999999997,-1.4155000000000002,0.058
"(0.925, 0.025, 0.0, 0.05)",0.925,0.025,0.0,0.05,0.41593,-1.8725999999999998,-0.093
"(0.9, 0.025, 0.0, 0.075)",0.9,0.025,0.0,0.075,0.42010000000000003,-2.33,-0.244
"(0.875, 0.025, 0.0, 0.1)",0.875,0.025,0.0,0.1,0.42577,-2.7874,-0.395
"(0.85, 0.025, 0.0, 0.125)",0.85,0.025,0.0,0.125,0.43215000000000003,-3.2445000000000004,-0.546
"(0.825, 0.025, 0.0, 0.15)",0.825,0.025,0.0,0.15,0.43914000000000003,-3.7024,-0.698
"(0.775, 0.025, 0.0, 0.2)",0.775,0.025,0.0,0.2,0.45481000000000005,-4.6169,-1.0
"(0.95, 0.025, 0.025, 0.0)",0.95,0.025,0.025,0.0,0.4105,-1.1202,-0.007
"(0.925, 0.025, 0.025, 0.025)",0.925,0.025,0.025,0.025,0.41324,-1.5776000000000001,-0.158
